"","basis_of_strength_ing","n_codes","ai_codes","top250"
"1","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE P1",1,"19831",NA
"2","ABOBOTULINUMTOXINA",1,"21617",NA
"3","ACETYLSALICYLIC ACID",1,"150",NA
"4","EPTACOG ALFA",1,"13301",NA
"5","ALBUMIN",2,"3275, 7867",NA
"6","ALCOHOL ANHYDROUS",1,"8890",NA
"7","ALENDRONIC ACID",1,"13353",NA
"8","ALISKIREN",1,"20175",NA
"9","ALLERGEN EXTRACT - ALUM PRECIPITATED",1,"12020",NA
"10","ALLERGEN EXTRACT - DIAGNOSTIC",1,"12022",NA
"11","ALLERGENIC EXTRACT NON-POLLEN",1,"13215",NA
"12","ALLERGENIC EXTRACTS",1,"3876",NA
"13","ALLERGENIC EXTRACTS POLLENS",1,"13214",NA
"14","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL",1,"3980",NA
"15","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",1,"2372",NA
"16","AMOXICILLIN",1,"11101",NA
"17","AMYLASE",1,"253",NA
"18","ANETHOLE TRITHIONE",1,"5080",NA
"19","SODIUM CARBONATE",1,"6648",NA
"20","MODIFIED VACCINIA VIRUS",1,"22173",NA
"21","APIS MELLIFERA VENOM PROTEIN EXTRACT",1,"7640",NA
"22","ASUNAPREVIR",1,"22694",NA
"23","ATORVASTATIN",1,"11366","ATORVASTATIN"
"24","INACT.JAPANESE ENCEPHAL VIRUS",1,"20523",NA
"25","AZILSARTAN MEDOXOMIL",1,"21230",NA
"26","AZITHROMYCIN",1,"424","AZITHROMYCIN"
"27","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE",1,"214",NA
"28","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT",1,"217",NA
"29","BELLADONNA",1,"672",NA
"30","BENZYLPENICILLOYL-POLYLYSINE",1,"8362",NA
"31","BETA-CAROTENE",1,"11079",NA
"32","BETAMETHASONE",1,"7610","BETAMETHASONE"
"33","BILE SALTS",1,"3671",NA
"34","BISMUTH DIPROPYLACETATE",1,"4161",NA
"35","BORTEZOMIB",1,"13053",NA
"36","BOSENTAN",1,"12538",NA
"37","APROTININ",2,"11567, 20461",NA
"38","BROMFENAC",1,"22591",NA
"39","BUFFER SOLUTION",1,"450",NA
"40","BUTANEDIOL",1,"12774",NA
"41","CALAMINE",1,"7296",NA
"42","CALCIPOTRIOL",1,"894","CALCITRIOL"
"43","D-PANTOTHENIC ACID",1,"5000",NA
"44","CALCIUM LEVULINATE",1,"4809",NA
"45","CALCIUM POLYSTYRENE SULFONATE",1,"2089",NA
"46","CALCIUM SACCHARATE",1,"18176",NA
"47","CAMPHOR",1,"9125",NA
"48","DELTA-9-TETRAHYDROCANNABINOL",1,"13359",NA
"49","CANNABIDIOL",1,"14448",NA
"50","CARBIDOPA",1,"2370",NA
"51","CATRIDECACOG",1,"21399",NA
"52","CEFADROXIL",1,"8348",NA
"53","CEFPROZIL",1,"188","CEFPROZIL"
"54","CEFTAZIDIME",1,"8344",NA
"55","CEPHALEXIN",1,"8376","CEPHALEXIN"
"56","CETRIMIDE",1,"2199",NA
"57","CHARCOAL ACTIVATED",1,"78",NA
"58","CHLOROQUINE DIPHOSPHATE",1,"6547",NA
