"","tm_set","total"
"1","LEVOTHYROXINE",104606699
"2","ATORVASTATIN",102401967
"3","ROSUVASTATIN",77000733
"4","METFORMIN",74608998
"5","PANTOPRAZOLE",73445029
"6","AMLODIPINE",65580335
"7","RAMIPRIL",55282124
"8","FUROSEMIDE",47202417
"9","METOPROLOL",46657666
"10","LORAZEPAM",44576649
"11","HYDROCHLOROTHIAZIDE",43542749
"12","CITALOPRAM",42264055
"13","QUETIAPINE",42076688
"14","VENLAFAXINE",41772628
"15","SALBUTAMOL",40132857
"16","AMOXICILLIN",34106368
"17","ZOPICLONE",32332723
"18","WARFARIN",32201922
"19","BISOPROLOL",31710669
"20","ACETAMINOPHEN!CAFFEINE!CODEINE",31006934
"21","CLONAZEPAM",30943659
"22","RABEPRAZOLE SODIUM",26543479
"23","PERINDOPRIL",24474982
"24","TRAZODONE",24464746
"25","CLOPIDOGREL",22272901
"26","ESOMEPRAZOLE",21740471
"27","ETHINYLESTRADIOL!LEVONORGESTREL",21731830
"28","CHOLECALCIFEROL",21277749
"29","ATENOLOL",21224527
"30","NAPROXEN",21174196
"31","TAMSULOSIN",20968571
"32","FLUTICASONE",20567623
"33","RISPERIDONE",20548604
"34","RISEDRONATE",19792357
"35","HYDROMORPHONE",19493859
"36","ESCITALOPRAM",19409293
"37","PREGABALIN",19374805
"38","GLICLAZIDE",19318600
"39","NIFEDIPINE",19164187
"40","AMITRIPTYLINE",18880540
"41","LANSOPRAZOLE",18252799
"42","DILTIAZEM",18207584
"43","OMEPRAZOLE",18163260
"44","MOMETASONE",18054567
"45","GABAPENTIN",17931721
"46","ACETAMINOPHEN!OXYCODONE",17026601
"47","SIMVASTATIN",16834085
"48","BUPROPION",16547678
"49","IRBESARTAN",16363800
"50","ALLOPURINOL",16193248
"51","CELECOXIB",15778935
"52","METHYLPHENIDATE",15700984
"53","SERTRALINE",15649258
"54","OLANZAPINE",15614600
"55","PREDNISONE",15591703
"56","ALENDRONATE",15364545
"57","OXAZEPAM",15282677
"58","VALSARTAN",15157733
"59","PAROXETINE",14982519
"60","ESTRADIOL",14830506
"61","RANITIDINE",14104259
"62","GLYBURIDE",13922450
"63","CANDESARTAN CILEXETIL",13743748
"64","EZETIMIBE",13523791
"65","FLUTICASONE!SALMETEROL",13467496
"66","CIPROFLOXACIN",13465580
"67","MIRTAZAPINE",13135564
"68","DOMPERIDONE",13025819
"69","DIVALPROEX",12997027
"70","OXYCODONE",12313198
"71","ETHINYLESTRADIOL!NORGESTIMATE",11989115
"72","AZITHROMYCIN",11979795
"73","CLARITHROMYCIN",11623664
"74","DONEPEZIL",11487402
"75","TIOTROPIUM BROMIDE",11483187
"76","METHADONE",11263138
"77","MORPHINE",10939455
"78","CYCLOBENZAPRINE",10721655
"79","DROSPIRENONE!ETHINYLESTRADIOL",10694529
"80","TELMISARTAN",10410127
"81","CEPHALEXIN",10298891
"82","BETAMETHASONE",10140550
