"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
"00648035","TEVA-METOPROLOL (metoprolol tartrate 50 mg oral tablet) TEVA CANADA LIMITED","00648035","TEVA-METOPROLOL","FILM COATED"
"00648043","TEVA-METOPROLOL (metoprolol tartrate 100 mg oral tablet) TEVA CANADA LIMITED","00648043","TEVA-METOPROLOL","FILM COATED"
"00842648","TEVA-METOPROLOL (metoprolol tartrate 50 mg oral tablet) TEVA CANADA LIMITED","00842648","TEVA-METOPROLOL","UNCOATED"
"00842656","TEVA-METOPROLOL (metoprolol tartrate 100 mg oral tablet) TEVA CANADA LIMITED","00842656","TEVA-METOPROLOL","UNCOATED"
"02028174","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE",""
"02025337","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","02025337","ACETAMINOPHEN, CAFFEINE & CODEINE",""
"02240113","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","02240113","COSOPT",""
"02240807","PMS-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PHARMASCIENCE INC","02240807","PMS-TERBINAFINE",""
"02244353","NOVORAPID (insulin aspart 100 unit per mL solution for injection 3 mL cartridge) NOVO NORDISK CANADA INC","02244353","NOVORAPID","3ML PENFILL CARTRIDGE"
"02258692","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","02258692","COSOPT","PRESERVATIVE-FREE"
"02269252","PMS-SIMVASTATIN (simvastatin 5 mg oral tablet) PHARMASCIENCE INC","02269252","PMS-SIMVASTATIN",""
"02269260","PMS-SIMVASTATIN (simvastatin 10 mg oral tablet) PHARMASCIENCE INC","02269260","PMS-SIMVASTATIN",""
"02269279","PMS-SIMVASTATIN (simvastatin 20 mg oral tablet) PHARMASCIENCE INC","02269279","PMS-SIMVASTATIN",""
"02269287","PMS-SIMVASTATIN (simvastatin 40 mg oral tablet) PHARMASCIENCE INC","02269287","PMS-SIMVASTATIN",""
"02269295","PMS-SIMVASTATIN (simvastatin 80 mg oral tablet) PHARMASCIENCE INC","02269295","PMS-SIMVASTATIN",""
"02281627","DOM-SIMVASTATIN (simvastatin 10 mg oral tablet) DOMINION PHARMACAL","02281627","DOM-SIMVASTATIN",""
"02281635","DOM-SIMVASTATIN (simvastatin 20 mg oral tablet) DOMINION PHARMACAL","02281635","DOM-SIMVASTATIN",""
