"","ntp_code_v9","ntp_formal_name","ntp_code_v11"
"1",9000015,"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000016
"2",9000016,"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000017
"3",9000017,"acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000018
"4",9000047,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",9000048
"5",9000048,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",9000049
"6",9000049,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000050
"7",9000055,"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000056
"8",9000057,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",9000058
"9",9000058,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",9000059
"10",9000059,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000060
"11",9000098,"acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000098
"12",9000033,"acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution",9000034
"13",9000052,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000053
"14",9000053,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",9000054
"15",9000077,"acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet",NA
"16",9000078,"acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet",9000078
"17",9000079,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000079
"18",9000083,"acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000083
"19",9000356,"acyclovir 5 % cutaneous cream",9000360
"20",9000357,"acyclovir 5 % cutaneous ointment",9000361
"21",9000353,"acyclovir 200 mg per 5 mL oral suspension",9000357
"22",9000352,"acyclovir 200 mg oral tablet",9000356
"23",9000354,"acyclovir 400 mg oral tablet",9000358
"24",9000358,"acyclovir 800 mg oral tablet",9000362
"25",9000351,"acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection",9000355
"26",9000349,"acyclovir (acyclovir sodium) 25 mg per mL solution for injection",9000353
"27",9000350,"acyclovir (acyclovir sodium) 50 mg per mL solution for injection",9000354
"28",9000421,"alendronic acid (alendronate sodium) 10 mg oral tablet",9000427
"29",9000422,"alendronic acid (alendronate sodium) 5 mg oral tablet",9000428
"30",9000425,"alendronic acid (alendronate sodium) 70 mg oral tablet",9000431
"31",9000423,"alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 2800 unit oral tablet",9000429
"32",9000424,"alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 5600 unit oral tablet",9000430
"33",9000431,"alfuzosin hydrochloride 10 mg prolonged release oral tablet",9000437
"34",9000452,"allopurinol 100 mg oral tablet",9000458
"35",9000453,"allopurinol 200 mg oral tablet",9000459
"36",9000454,"allopurinol 300 mg oral tablet",9000460
"37",9000465,"alprazolam 0.25 mg oral tablet",9000471
"38",9000466,"alprazolam 0.5 mg oral tablet",9000472
"39",9000467,"alprazolam 1 mg oral tablet",9000473
"40",9000468,"alprazolam 2 mg oral tablet",9000474
"41",9000506,"amiodarone hydrochloride 100 mg oral tablet",9000512
"42",9000507,"amiodarone hydrochloride 200 mg oral tablet",9000513
"43",9000508,"amiodarone hydrochloride 50 mg per mL solution for injection",9000514
"44",9000509,"amitriptyline hydrochloride 10 mg oral tablet",9000515
"45",9000510,"amitriptyline hydrochloride 25 mg oral tablet",9000516
"46",9000511,"amitriptyline hydrochloride 50 mg oral tablet",9000517
"47",9000512,"amitriptyline hydrochloride 75 mg oral tablet",9000518
"48",9000524,"amlodipine (amlodipine besylate) 10 mg oral tablet",9000530
"49",9000526,"amlodipine (amlodipine besylate) 2.5 mg oral tablet",9000532
"50",9000538,"amlodipine (amlodipine besylate) 5 mg oral tablet",9000544
"51",9000568,"amoxicillin 250 mg oral capsule",9000574
"52",9000576,"amoxicillin 500 mg oral capsule",9000582
"53",9000566,"amoxicillin 125 mg per 5 mL oral suspension",9000572
"54",9000569,"amoxicillin 250 mg per 5 mL oral suspension",9000575
"55",9000570,"amoxicillin 250 mg per 5 mL powder for oral solution",9000576
"56",9000567,"amoxicillin 125 mg per 5 mL powder for oral suspension",9000573
"57",9000571,"amoxicillin 250 mg per 5 mL powder for oral suspension",9000577
"58",9000577,"amphetamine aspartate monohydrate 1.25 mg and amphetamine sulfate 1.25 mg and dextroamphetamine saccharate 1.25 mg and dextroamphetamine sulfate 1.25 mg prolonged release oral capsule",9000583
"59",9000578,"amphetamine aspartate monohydrate 2.5 mg and amphetamine sulfate 2.5 mg and dextroamphetamine saccharate 2.5 mg and dextroamphetamine sulfate 2.5 mg prolonged release oral capsule",9000584
"60",9000579,"amphetamine aspartate monohydrate 3.75 mg and amphetamine sulfate 3.75 mg and dextroamphetamine saccharate 3.75 mg and dextroamphetamine sulfate 3.75 mg prolonged release oral capsule",9000585
"61",9000580,"amphetamine aspartate monohydrate 5 mg and amphetamine sulfate 5 mg and dextroamphetamine saccharate 5 mg and dextroamphetamine sulfate 5 mg prolonged release oral capsule",9000586
"62",9000581,"amphetamine aspartate monohydrate 6.25 mg and amphetamine sulfate 6.25 mg and dextroamphetamine saccharate 6.25 mg and dextroamphetamine sulfate 6.25 mg prolonged release oral capsule",9000587
"63",9000582,"amphetamine aspartate monohydrate 7.5 mg and amphetamine sulfate 7.5 mg and dextroamphetamine saccharate 7.5 mg and dextroamphetamine sulfate 7.5 mg prolonged release oral capsule",9000588
"64",9000687,"aripiprazole 300 mg per vial kit",9000693
"65",9000689,"aripiprazole 400 mg per vial kit",9000695
"66",9000682,"aripiprazole 10 mg oral tablet",9000688
"67",9000683,"aripiprazole 15 mg oral tablet",9000689
"68",9000684,"aripiprazole 2 mg oral tablet",9000690
"69",9000685,"aripiprazole 20 mg oral tablet",9000691
"70",9000686,"aripiprazole 30 mg oral tablet",9000692
"71",9000691,"aripiprazole 5 mg oral tablet",9000697
"72",9000688,"aripiprazole 300 mg per vial powder for prolonged-release suspension for injection",9000694
"73",9000690,"aripiprazole 400 mg per vial powder for prolonged-release suspension for injection",9000696
"74",9000710,"atenolol 100 mg oral tablet",9000716
"75",9000711,"atenolol 25 mg oral tablet",9000717
"76",9000713,"atenolol 50 mg oral tablet",9000719
"77",9000714,"atomoxetine (atomoxetine hydrochloride) 10 mg oral capsule",9000721
"78",9000715,"atomoxetine (atomoxetine hydrochloride) 100 mg oral capsule",9000722
"79",9000716,"atomoxetine (atomoxetine hydrochloride) 18 mg oral capsule",9000723
"80",9000717,"atomoxetine (atomoxetine hydrochloride) 25 mg oral capsule",9000724
"81",9000718,"atomoxetine (atomoxetine hydrochloride) 40 mg oral capsule",9000725
"82",9000719,"atomoxetine (atomoxetine hydrochloride) 60 mg oral capsule",9000726
"83",9000720,"atomoxetine (atomoxetine hydrochloride) 80 mg oral capsule",9000727
"84",9000725,"atorvastatin (atorvastatin calcium) 10 mg oral tablet",9000732
"85",9000726,"atorvastatin (atorvastatin calcium) 20 mg oral tablet",9000733
"86",9000727,"atorvastatin (atorvastatin calcium) 40 mg oral tablet",9000734
"87",9000728,"atorvastatin (atorvastatin calcium) 80 mg oral tablet",9000735
"88",9001201,"azathioprine 50 mg oral tablet",9001210
"89",9001200,"azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection",9001209
"90",9001209,"azithromycin (azithromycin dihydrate) 250 mg oral tablet",9001218
"91",9001218,"azithromycin (azithromycin monohydrate) 250 mg oral tablet",9001227
"92",9001221,"azithromycin (azithromycin monohydrate) 600 mg oral tablet",9001229
"93",9001216,"azithromycin (azithromycin monohydrate) 100 mg per 5 mL powder for oral suspension",9001225
"94",9001217,"azithromycin (azithromycin monohydrate) 200 mg per 5 mL powder for oral suspension",9001226
"95",9001219,"azithromycin (azithromycin monohydrate) 500 mg per 10 mL powder for solution for injection",NA
"96",9001220,"azithromycin (azithromycin monohydrate) 500 mg per vial powder for solution for injection",9001228
"97",9001254,"baclofen 10 mg oral tablet",9001262
"98",9001256,"baclofen 20 mg oral tablet",9001264
"99",9001252,"baclofen 0.05 mg per mL solution for injection",9001260
"100",9001253,"baclofen 0.5 mg per mL solution for injection",9001261
"101",9001255,"baclofen 2 mg per mL solution for injection",9001263
"102",9001259,"beclomethasone dipropionate 0.025 % cutaneous cream",9001267
"103",9001261,"beclomethasone dipropionate 50 mcg per actuation nasal spray, suspension",9001269
"104",9001263,"beclomethasone dipropionate 50 mcg per spray nasal spray, suspension",9001271
"105",9001260,"beclomethasone dipropionate 100 mcg per actuation pressurised inhalation",9001268
"106",9001262,"beclomethasone dipropionate 50 mcg per actuation pressurised inhalation",9001270
"107",9001328,"benzoyl peroxide 3 % and clindamycin (clindamycin phosphate) 1 % cutaneous gel",9001342
"108",9001330,"benzoyl peroxide 5 % and clindamycin (clindamycin phosphate) 1 % cutaneous gel",9001345
"109",9001340,"benzoyl peroxide 50 mg per g and clindamycin (clindamycin phosphate) 10 mg per g cutaneous gel",9001357
"110",9001342,"benztropine mesylate 0.4 mg per mL oral solution",9001359
"111",9001343,"benztropine mesylate 1 mg oral tablet",9001360
"112",9001345,"benztropine mesylate 2 mg oral tablet",9001362
"113",9001344,"benztropine mesylate 1 mg per mL solution for injection",9001361
"114",9001353,"betahistine hydrochloride 16 mg oral tablet",9001371
"115",9001354,"betahistine hydrochloride 24 mg oral tablet",9001372
"116",9001355,"betahistine hydrochloride 8 mg oral tablet",9001373
"117",9001361,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",9001377
"118",9001369,"betamethasone (betamethasone dipropionate) 0.5 mg per g cutaneous cream",NA
"119",9001375,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",9001388
"120",9001379,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",9001392
"121",9001385,"betamethasone dipropionate 0.05 % cutaneous cream",NA
"122",9001388,"betamethasone dipropionate 0.5 mg per g cutaneous cream",9001397
"123",9001389,"betamethasone valerate 0.1 % cutaneous cream",9001398
"124",9001390,"betamethasone valerate 0.12 % cutaneous foam",9001400
"125",9001362,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",9001378
"126",9001370,"betamethasone (betamethasone dipropionate) 0.5 mg per g cutaneous ointment",NA
"127",9001376,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",9001389
"128",9001380,"betamethasone (betamethasone valerate) 0.1 % cutaneous ointment",9001393
"129",9001382,"betamethasone (betamethasone valerate) 0.5 mg per g cutaneous ointment",NA
"130",9001386,"betamethasone dipropionate 0.05 % cutaneous ointment",NA
"131",9001391,"betamethasone valerate 1 mg per g cutaneous ointment",NA
"132",9001393,"betamethasone valerate 2.25 mg cutaneous patch",9001401
"133",9001363,"betamethasone (betamethasone dipropionate) 0.05 % lotion",9001379
"134",9001371,"betamethasone (betamethasone dipropionate) 0.5 mg per g lotion",NA
"135",9001377,"betamethasone (betamethasone valerate) 0.05 % lotion",9001390
"136",9001381,"betamethasone (betamethasone valerate) 0.1 % lotion",9001394
"137",9001387,"betamethasone dipropionate 0.05 % lotion",NA
"138",9001392,"betamethasone valerate 1.22 mg per g lotion",NA
"139",9001374,"betamethasone (betamethasone sodium phosphate) 5 mg per 100 mL rectal liquid",9001387
"140",9001384,"betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection",9001396
"141",9001406,"bimatoprost 0.03 % cutaneous solution",9001414
"142",9001405,"bimatoprost 0.01 % opthalmic drops, solution",9001413
"143",9001407,"bimatoprost 0.03 % opthalmic drops, solution",9001415
"144",9001431,"bisoprolol fumarate 10 mg oral tablet",9001439
"145",9001432,"bisoprolol fumarate 5 mg oral tablet",9001440
"146",9001455,"bromazepam 1.5 mg oral tablet",9001469
"147",9001456,"bromazepam 3 mg oral tablet",9001470
"148",9001457,"bromazepam 6 mg oral tablet",9001471
"149",9001482,"budesonide 100 mcg per actuation inhalation powder",9001496
"150",9001489,"budesonide 200 mcg per actuation inhalation powder",9001503
"151",9001492,"budesonide 400 mcg per actuation inhalation powder",9001506
"152",9001495,"budesonide 9 mg modified release tablet",9001509
"153",9001483,"budesonide 100 mcg per actuation nasal spray",9001497
"154",9001494,"budesonide 64 mcg per actuation nasal spray",9001508
"155",9001478,"budesonide 0.125 mg per mL nebuliser suspension",9001492
"156",9001479,"budesonide 0.25 mg per mL nebuliser suspension",9001493
"157",9001480,"budesonide 0.5 mg per mL nebuliser suspension",9001494
"158",9001484,"budesonide 100 mcg per actuation pressurised inhalation",9001498
"159",9001490,"budesonide 200 mcg per actuation pressurised inhalation",9001504
"160",9001493,"budesonide 400 mcg per actuation pressurised inhalation",9001507
"161",9001491,"budesonide 3 mg prolonged release oral capsule",9001505
"162",9001509,"buprenorphine (buprenorphine hydrochloride) 2 mg and naloxone (naloxone hydrochloride dihydrate) 0.5 mg oral tablet",9001523
