"","tm_code_v9","tm_formal_name","tm_code_v11"
"1",9000012,"acebutolol",8000012
"2",9000019,"acetaminophen and caffeine and codeine",8000019
"3",9000030,"acetaminophen and codeine",8000030
"4",9000054,"acetaminophen and oxycodone",8000054
"5",9000059,"acetaminophen and tramadol",8000059
"6",9000073,"acyclovir",8000073
"7",9000097,"alendronate",8000099
"8",9000098,"alendronate and cholecalciferol",8000100
"9",9000101,"alfuzosin",8000103
"10",9000106,"allopurinol",8000108
"11",9000111,"alprazolam",8000113
"12",9000128,"amiodarone",8000130
"13",9000129,"amitriptyline",8000131
"14",9000130,"amlodipine",8000132
"15",9000137,"amoxicillin",8000139
"16",9000139,"amphetamine and dextroamphetamine",8000141
"17",9000165,"aripiprazole",8000167
"18",9000176,"atenolol",8000179
"19",9000178,"atomoxetine",8000182
"20",9000179,"atorvastatin",8000183
"21",9000251,"azathioprine",8000256
"22",9000254,"azithromycin",8000259
"23",9000263,"baclofen",8000268
"24",9000266,"beclomethasone",8000271
"25",9000288,"benzoyl peroxide and clindamycin",8000293
"26",9000291,"benztropine",8000296
"27",9000294,"betahistine",8000300
"28",9000296,"betamethasone",8000302
"29",9000309,"bimatoprost",8000315
"30",9000317,"bisoprolol",8000323
"31",9000330,"bromazepam",8000337
"32",9000339,"budesonide",8000346
"33",9000346,"buprenorphine and naloxone",8000353
"34",9000347,"bupropion",8000354
"35",9000354,"calcitriol",8000361
"36",9000382,"candesartan cilexetil",8000389
"37",9000383,"candesartan cilexetil and hydrochlorothiazide",8000390
"38",9000388,"carbamazepine",8000395
"39",9000392,"carbidopa and levodopa",8000399
"40",9000402,"carvedilol",8000409
"41",9000411,"cefprozil",8000418
"42",9000416,"celecoxib",8000423
"43",9000417,"cephalexin",8000424
"44",9000420,"cetirizine",8000427
"45",9000435,"chlorhexidine",8000442
"46",9000464,"cholecalciferol",8000468
"47",9000472,"ciclesonide",8000476
"48",9000473,"ciclopirox",8000477
"49",9000477,"ciprofloxacin",8000481
"50",9000478,"ciprofloxacin and dexamethasone",8000482
"51",9000481,"citalopram",8000486
"52",9000483,"clarithromycin",8000488
"53",9000484,"clindamycin",8000489
"54",9000488,"clobazam",8000493
"55",9000489,"clobetasol",8000494
"56",9000495,"clonazepam",8000500
"57",9000496,"clonidine",8000501
"58",9000497,"clopidogrel",8000502
"59",9000502,"clozapine",8000507
"60",9000513,"codeine",8000517
"61",9000518,"colchicine",8000522
"62",9000528,"cyclobenzaprine",8000532
"63",9000533,"cyproterone and ethinylestradiol",8000538
"64",9000535,"dabigatran etexilate",8000540
"65",9000568,"desogestrel and ethinylestradiol",8000573
"66",9000571,"desvenlafaxine",8000576
"67",9000572,"dexamethasone",8000577
"68",9000576,"dexlansoprazole",8000581
"69",9000586,"dextroamphetamine",8000591
"70",9000600,"diazepam",8000605
"71",9000604,"dibucaine and esculin and framycetin and hydrocortisone",8000609
"72",9000605,"diclofenac",8000610
"73",9000606,"diclofenac and misoprostol",8000611
"74",9000613,"digoxin",8000617
"75",9000615,"diltiazem",8000619
"76",9000637,"divalproex",8000641
"77",9000645,"domperidone",8000649
"78",9000646,"donepezil",8000650
"79",9000649,"dorzolamide and timolol",8000653
"80",9000650,"doxazosin",8000654
"81",9000653,"doxycycline",8000657
"82",9000660,"drospirenone and ethinylestradiol",8000663
"83",9000663,"duloxetine",8000666
"84",9000664,"dutasteride",8000667
"85",9000685,"enalapril",8000689
"86",9000704,"epinephrine",8000708
"87",9000719,"erythromycin",8000723
"88",9000721,"escitalopram",8000725
"89",9000724,"esomeprazole",8000728
"90",9000725,"estradiol",8000730
"91",9000729,"estrogenic sub,conjugated",8000734
"92",9000737,"ethinylestradiol and etonogestrel",8000742
"93",9000738,"ethinylestradiol and levonorgestrel",8000743
"94",9000739,"ethinylestradiol and norelgestromin",8000744
"95",9000740,"ethinylestradiol and norethindrone",8000745
"96",9000741,"ethinylestradiol and norgestimate",8000746
"97",9000752,"ezetimibe",8000757
"98",9000755,"felodipine",8000760
"99",9000756,"fenofibrate",8000761
"100",9000757,"fentanyl",8000762
"101",9000763,"finasteride",8000768
"102",9000784,"fluoxetine",8000789
"103",9000787,"flurazepam",8000792
"104",9000790,"fluticasone",8000795
"105",9000791,"fluticasone and salmeterol",8000796
"106",9000795,"folic acid",8000800
"107",9000800,"fosinopril",8000805
"108",9000806,"furosemide",8000811
"109",9000807,"fusidic acid",8000812
"110",9000809,"gabapentin",8000814
"111",9000814,"galantamine",8000819
"112",9000827,"gliclazide",8000832
"113",9000832,"glyburide",8000837
"114",9000853,"haloperidol",8000858
"115",9000880,"human insulin isophane",8000883
"116",9000882,"hydrochlorothiazide",8000885
"117",9000883,"hydrochlorothiazide and irbesartan",8000886
"118",9000884,"hydrochlorothiazide and lisinopril",8000887
"119",9000885,"hydrochlorothiazide and losartan",8000888
"120",9000888,"hydrochlorothiazide and olmesartan medoxomil",8000891
"121",9000890,"hydrochlorothiazide and quinapril",8000893
"122",9000891,"hydrochlorothiazide and ramipril",8000894
"123",9000893,"hydrochlorothiazide and telmisartan",8000896
"124",9000894,"hydrochlorothiazide and triamterene",8000897
"125",9000895,"hydrochlorothiazide and valsartan",8000898
"126",9000899,"hydrocortisone",8000902
"127",9000904,"hydromorphone",8000907
"128",9000911,"hydroxychloroquine",8000914
"129",9000914,"hydroxyzine",8000917
"130",9000917,"ibuprofen",8000920
"131",9000933,"indapamide",8000936
"132",9000934,"indapamide and perindopril",8000937
"133",9000936,"indomethacin",8000939
"134",9000939,"insulin aspart",8000942
"135",9000941,"insulin detemir",8000944
"136",9000942,"insulin glargine",8000945
"137",9000943,"insulin lispro",8000946
"138",9000960,"ipratropium",8000963
"139",9000962,"irbesartan",8000965
"140",9000969,"isosorbide-5-mononitrate",8000971
"141",9000980,"ketorolac",8000983
"142",9000988,"lamotrigine",8000991
"143",9000992,"lansoprazole",8000995
"144",9000994,"latanoprost",8000997
"145",9001003,"levetiracetam",8001006
"146",9001007,"levofloxacin",8001010
"147",9001010,"levothyroxine",8001013
"148",9001024,"lisdexamfetamine",8001026
"149",9001025,"lisinopril",8001027
"150",9001026,"lithium",8001028
"151",9001035,"lorazepam",8001037
"152",9001036,"losartan",8001038
"153",9001051,"medroxyprogesterone",8001053
"154",9001055,"meloxicam",8001057
"155",9001067,"mesalamine",8001069
"156",9001068,"metformin",8001070
"157",9001071,"metformin and sitagliptin",8001072
"158",9001073,"methadone",8001074
"159",9001077,"methotrexate",8001078
"160",9001083,"methylphenidate",8001084
"161",9001086,"metoclopramide",8001087
"162",9001088,"metoprolol",8001089
"163",9001089,"metronidazole",8001090
"164",9001102,"minocycline",8001104
"165",9001105,"mirtazapine",8001107
"166",9001112,"mometasone",8001114
"167",9001114,"montelukast",8001116
"168",9001115,"morphine",8001117
