"","tm_set"
"1","ACEBUTOLOL"
"2","ACETAMINOPHEN!CAFFEINE!CODEINE"
"3","ACETAMINOPHEN!CODEINE"
"4","ACETAMINOPHEN!OXYCODONE"
"5","ACETAMINOPHEN!TRAMADOL"
"6","ACYCLOVIR"
"7","ALENDRONATE"
"8","ALENDRONATE!CHOLECALCIFEROL"
"9","ALFUZOSIN"
"10","ALLOPURINOL"
"11","ALPRAZOLAM"
"12","AMIODARONE"
"13","AMITRIPTYLINE"
"14","AMLODIPINE"
"15","AMPHETAMINE!DEXTROAMPHETAMINE"
"16","ARIPIPRAZOLE"
"17","ATENOLOL"
"18","ATOMOXETINE"
"19","ATORVASTATIN"
"20","AZATHIOPRINE"
"21","AZITHROMYCIN"
"22","BACLOFEN"
"23","BECLOMETHASONE"
"24","BENZOYL PEROXIDE!CLINDAMYCIN"
"25","BENZTROPINE"
"26","BETAHISTINE"
"27","BETAMETHASONE"
"28","BIMATOPROST"
"29","BISOPROLOL"
"30","BROMAZEPAM"
"31","BUDESONIDE"
"32","BUPRENORPHINE!NALOXONE"
"33","BUPROPION"
"34","CALCITRIOL"
"35","CANDESARTAN CILEXETIL"
"36","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE"
"37","CARBAMAZEPINE"
"38","CARBIDOPA!LEVODOPA"
"39","CARVEDILOL"
"40","CEFPROZIL"
"41","CELECOXIB"
"42","CEPHALEXIN"
"43","CETIRIZINE"
"44","CHLORHEXIDINE"
"45","CHOLECALCIFEROL"
"46","CICLESONIDE"
"47","CICLOPIROX"
"48","CIPROFLOXACIN"
"49","CIPROFLOXACIN!DEXAMETHASONE"
"50","CITALOPRAM"
"51","CLARITHROMYCIN"
"52","CLINDAMYCIN"
"53","CLOBAZAM"
"54","CLOBETASOL"
"55","CLONAZEPAM"
"56","CLONIDINE"
"57","CLOPIDOGREL"
"58","CLOZAPINE"
"59","CODEINE"
"60","COLCHICINE"
"61","CYCLOBENZAPRINE"
"62","CYPROTERONE!ETHINYLESTRADIOL"
"63","DABIGATRAN ETEXILATE"
"64","DESOGESTREL!ETHINYLESTRADIOL"
"65","DESVENLAFAXINE"
"66","DEXAMETHASONE"
"67","DEXLANSOPRAZOLE"
"68","DEXTROAMPHETAMINE"
"69","DIAZEPAM"
"70","DIBUCAINE!ESCULIN!FRAMYCETIN!HYDROCORTISONE"
"71","DICLOFENAC"
"72","DICLOFENAC!MISOPROSTOL"
"73","DIGOXIN"
"74","DILTIAZEM"
"75","DIVALPROEX"
"76","DOMPERIDONE"
"77","DONEPEZIL"
"78","DORZOLAMIDE!TIMOLOL"
"79","DOXAZOSIN"
"80","DOXYCYCLINE"
"81","DROSPIRENONE!ETHINYLESTRADIOL"
"82","DULOXETINE"
"83","DUTASTERIDE"
"84","ENALAPRIL"
"85","EPINEPHRINE"
"86","ERYTHROMYCIN"
"87","ESCITALOPRAM"
"88","ESOMEPRAZOLE"
"89","ESOMEPRAZOLE!NAPROXEN"
"90","ESTRADIOL"
"91","ESTROGENIC SUB,CONJUGATED"
"92","ETHINYLESTRADIOL!ETONOGESTREL"
"93","ETHINYLESTRADIOL!LEVONORGESTREL"
"94","ETHINYLESTRADIOL!NORELGESTROMIN"
"95","ETHINYLESTRADIOL!NORETHINDRONE"
"96","ETHINYLESTRADIOL!NORGESTIMATE"
"97","EZETIMIBE"
"98","FELODIPINE"
"99","FENOFIBRATE"
"100","FENTANYL"
"101","FINASTERIDE"
"102","FLUOXETINE"
"103","FLURAZEPAM"
"104","FLUTICASONE"
"105","FLUTICASONE!SALMETEROL"
"106","FOLIC ACID"
"107","FOSINOPRIL"
"108","FUROSEMIDE"
"109","FUSIDIC ACID"
"110","GABAPENTIN"
"111","GALANTAMINE"
"112","GLICLAZIDE"
"113","GLYBURIDE"
"114","HALOPERIDOL"
"115","HUMAN INSULIN ISOPHANE"
"116","HYDROCHLOROTHIAZIDE"
"117","HYDROCHLOROTHIAZIDE!IRBESARTAN"
"118","HYDROCHLOROTHIAZIDE!LISINOPRIL"
"119","HYDROCHLOROTHIAZIDE!LOSARTAN"
"120","HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL"
"121","HYDROCHLOROTHIAZIDE!QUINAPRIL"
"122","HYDROCHLOROTHIAZIDE!RAMIPRIL"
"123","HYDROCHLOROTHIAZIDE!TELMISARTAN"
"124","HYDROCHLOROTHIAZIDE!TRIAMTERENE"
"125","HYDROCHLOROTHIAZIDE!VALSARTAN"
"126","HYDROCORTISONE"
"127","HYDROMORPHONE"
"128","HYDROXYCHLOROQUINE"
"129","HYDROXYZINE"
"130","IBUPROFEN"
"131","INDAPAMIDE"
"132","INDAPAMIDE!PERINDOPRIL"
"133","INDOMETHACIN"
"134","INSULIN ASPART"
"135","INSULIN DETEMIR"
"136","INSULIN GLARGINE"
"137","INSULIN LISPRO"
"138","IPRATROPIUM"
"139","IRBESARTAN"
"140","ISOSORBIDE-5-MONONITRATE"
"141","KETOROLAC"
"142","LAMOTRIGINE"
"143","LANSOPRAZOLE"
"144","LATANOPROST"
"145","LEVETIRACETAM"
"146","LEVOFLOXACIN"
"147","LEVOTHYROXINE"
"148","LISDEXAMFETAMINE"
"149","LISINOPRIL"
"150","LITHIUM"
"151","LORAZEPAM"
"152","LOSARTAN"
"153","MEDROXYPROGESTERONE"
"154","MELOXICAM"
"155","MESALAMINE"
"156","METFORMIN"
"157","METFORMIN!SITAGLIPTIN"
"158","METHADONE"
"159","METHOTREXATE"
"160","METHYLPHENIDATE"
"161","METOCLOPRAMIDE"
"162","METOPROLOL"
"163","METRONIDAZOLE"
"164","MINOCYCLINE"
"165","MIRTAZAPINE"
"166","MOMETASONE"
"167","MONTELUKAST"
"168","MORPHINE"
"169","MOXIFLOXACIN"
"170","NAPROXEN"
"171","NIFEDIPINE"
"172","NITROFURANTOIN"
"173","NITROGLYCERIN"
"174","NORETHINDRONE"
"175","NORTRIPTYLINE"
"176","NYSTATIN"
"177","OLANZAPINE"
"178","OLMESARTAN MEDOXOMIL"
"179","OLOPATADINE"
"180","OMEPRAZOLE"
"181","OXAZEPAM"
"182","OXYBUTYNIN"
"183","OXYCODONE"
"184","PANTOPRAZOLE"
"185","PAROXETINE"
"186","PENICILLIN V"
"187","PERINDOPRIL"
"188","PHENYTOIN"
"189","PIOGLITAZONE"
"190","PRAMIPEXOLE"
"191","PRAVASTATIN"
"192","PREDNISOLONE"
"193","PREDNISONE"
"194","PREGABALIN"
"195","PROCYCLIDINE"
"196","PROGESTERONE"
"197","PROPRANOLOL"
"198","QUETIAPINE"
"199","QUINAPRIL"
"200","QUININE"
"201","RABEPRAZOLE SODIUM"
"202","RAMIPRIL"
"203","RANITIDINE"
"204","REPAGLINIDE"
"205","RISEDRONATE"
"206","RISPERIDONE"
"207","RIVAROXABAN"
"208","RIVASTIGMINE"
"209","RIZATRIPTAN"
"210","ROSUVASTATIN"
"211","SALBUTAMOL"
"212","SAXAGLIPTIN"
"213","SERTRALINE"
"214","SILDENAFIL"
"215","SIMVASTATIN"
"216","SITAGLIPTIN"
"217","SOLIFENACIN"
"218","SPIRONOLACTONE"
"219","SULFAMETHOXAZOLE!TRIMETHOPRIM"
"220","SUMATRIPTAN"
"221","TACROLIMUS"
"222","TADALAFIL"
"223","TAMSULOSIN"
"224","TELMISARTAN"
"225","TEMAZEPAM"
"226","TERAZOSIN"
"227","TERBINAFINE"
"228","TESTOSTERONE"
"229","TIMOLOL"
"230","TIOTROPIUM BROMIDE"
"231","TOLTERODINE"
"232","TOPIRAMATE"
"233","TRAMADOL"
"234","TRANDOLAPRIL"
"235","TRAVOPROST"
"236","TRAZODONE"
"237","TRIAMCINOLONE ACETONIDE"
"238","VALACYCLOVIR"
"239","VALSARTAN"
"240","VARENICLINE"
"241","VENLAFAXINE"
"242","VERAPAMIL"
"243","WARFARIN"
"244","ZOPICLONE"
