AI UNII,Active Ingredient,AM UNII,Active Moiety,Basis of Strength,RD UNII,Referenced Drug
FFM269698K,"((1-(.BETA.-MERCAPTO-.BETA.,.BETA.-CYCLOPENTAMETHYLENE PROPIONIC ACID), 2-(O-METHYL)TYROSINE))ARGININE VASOPRESSIN",FFM269698K,"((1-(.BETA.-MERCAPTO-.BETA.,.BETA.-CYCLOPENTAMETHYLENE PROPIONIC ACID), 2-(O-METHYL)TYROSINE))ARGININE VASOPRESSIN",Active Ingredient,,
F43I396OIS,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,F43I396OIS,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Active Ingredient,,
I909J9CFAT,.ALPHA.-AMYLASE (ASPERGILLUS ORYZAE),I909J9CFAT,.ALPHA.-AMYLASE (ASPERGILLUS ORYZAE),Active Ingredient,,
8ID597Z82X,.ALPHA.-KETOGLUTARIC ACID,8ID597Z82X,.ALPHA.-KETOGLUTARIC ACID,Active Ingredient,,
73Y7P0K73Y,.ALPHA.-LIPOIC ACID,73Y7P0K73Y,.ALPHA.-LIPOIC ACID,Active Ingredient,,
H4N855PNZ1,.ALPHA.-TOCOPHEROL,H4N855PNZ1,.ALPHA.-TOCOPHEROL,Active Ingredient,,
9E8X80D2L0,.ALPHA.-TOCOPHEROL ACETATE,H4N855PNZ1,.ALPHA.-TOCOPHEROL,,,
A7E6112E4N,".ALPHA.-TOCOPHEROL ACETATE, D-",N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",Active Moiety,,
WR1WPI7EW8,".ALPHA.-TOCOPHEROL ACETATE, DL-",7QWA1RIO01,".ALPHA.-TOCOPHEROL, DL-",Active Moiety,,
BVK87L5TNB,".ALPHA.-TOCOPHEROL CALCIUM SUCCINATE, D-",N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",,,
G0N132Q0ED,".ALPHA.-TOCOPHEROL LINOLEATE, D-",R0ZB2556P8,TOCOPHEROL,,,
G0N132Q0ED,".ALPHA.-TOCOPHEROL LINOLEATE, D-",N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",,,
P7Q15MLX1X,".ALPHA.-TOCOPHEROL PHOSPHATE, DL-",7QWA1RIO01,".ALPHA.-TOCOPHEROL, DL-",,,
LU4B53JYVE,".ALPHA.-TOCOPHEROL SUCCINATE, D-",N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",,,
N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",Active Ingredient,,
7QWA1RIO01,".ALPHA.-TOCOPHEROL, DL-",7QWA1RIO01,".ALPHA.-TOCOPHEROL, DL-",Active Ingredient,,
11P2JDE17B,.BETA.-ALANINE,11P2JDE17B,.BETA.-ALANINE,Active Ingredient,,
01YAE03M7J,.BETA.-CAROTENE,01YAE03M7J,.BETA.-CAROTENE,Active Ingredient,,
P01OUT964K,".BETA.-CITRONELLOL, (R)-",P01OUT964K,".BETA.-CITRONELLOL, (R)-",Active Ingredient,,
S347WMO6M4,.BETA.-SITOSTEROL,S347WMO6M4,.BETA.-SITOSTEROL,Active Ingredient,,
1ZHM019FLD,.GAMMA.-AMINO-.BETA.-HYDROXYBUTYRIC ACID,1ZHM019FLD,.GAMMA.-AMINO-.BETA.-HYDROXYBUTYRIC ACID,Active Ingredient,,
2ACZ6IPC6I,.GAMMA.-AMINOBUTYRIC ACID,2ACZ6IPC6I,.GAMMA.-AMINOBUTYRIC ACID,Active Ingredient,,
28U5R92Y7G,"1(2H)-QUINOLINECARBOXYLIC ACID, ETHYL ESTER",28U5R92Y7G,"1(2H)-QUINOLINECARBOXYLIC ACID, ETHYL ESTER",Active Ingredient,,
0739N04X3A,"1,1,2-TRICHLOROTRIFLUOROETHANE",0739N04X3A,"1,1,2-TRICHLOROTRIFLUOROETHANE",Active Ingredient,,
52QK2NZ2T0,"1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",52QK2NZ2T0,"1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",Active Ingredient,,
841B886EJ7,"SODIUM 1,2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHO-(1'-RAC-GLYCEROL)",841B886EJ7,"SODIUM 1,2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHO-(1'-RAC-GLYCEROL)",Active Ingredient,,
67XN5096N4,"1,3-BUTANEDIOL CYCLIC SULFITE",67XN5096N4,"1,3-BUTANEDIOL CYCLIC SULFITE",Active Ingredient,,
2900I92Z36,"1.ALPHA.,24S-DIHYDROXYVITAMIN D2",2900I92Z36,"1.ALPHA.,24S-DIHYDROXYVITAMIN D2",Active Ingredient,,
