"","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing"
"1","9267",1,"IMIPRAMINE HYDROCHLORIDE","IMIPRAMINE HYDROCHLORIDE","IMIPRAMINE HYDROCHLORIDE"
"2","1074",1,"SODIUM LACTATE","SODIUM LACTATE","SODIUM LACTATE"
"3","42",2,"DEXTROSE|DEXTROSE (DEXTROSE MONOHYDRATE)","DEXTROSE","DEXTROSE MONOHYDRATE"
"4","49",1,"MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE","MAGNESIUM CHLORIDE"
"5","51",1,"CALCIUM CHLORIDE","CALCIUM CHLORIDE","CALCIUM CHLORIDE"
"6","55",1,"SODIUM CHLORIDE","SODIUM CHLORIDE","SODIUM CHLORIDE"
"7","6311",1,"FLUOROURACIL","FLUOROURACIL","FLUOROURACIL"
"8","8642",2,"DOXYCYCLINE (DOXYCYCLINE HYCLATE)|DOXYCYCLINE (Doxycycline Monohydrate)","DOXYCYCLINE","DOXYCYCLINE HYCLATE|Doxycycline Monohydrate"
"9","10146",2,"HALOPERIDOL|HALOPERIDOL (HALOPERIDOL DECANOATE)","HALOPERIDOL","HALOPERIDOL DECANOATE"
"10","12399",1,"HYPROMELLOSE","HYPROMELLOSE","HYPROMELLOSE"
"11","710",1,"DEXTRAN 70","DEXTRAN 70","DEXTRAN 70"
"12","10110",1,"VERAPAMIL HYDROCHLORIDE","VERAPAMIL HYDROCHLORIDE","VERAPAMIL HYDROCHLORIDE"
"13","2037",1,"NAPROXEN SODIUM","NAPROXEN SODIUM","NAPROXEN SODIUM"
"14","2013",1,"DICLOFENAC SODIUM","DICLOFENAC SODIUM","DICLOFENAC SODIUM"
"15","53",1,"POTASSIUM CHLORIDE","POTASSIUM CHLORIDE","POTASSIUM CHLORIDE"
"16","6343",1,"PRAMOXINE HYDROCHLORIDE","PRAMOXINE HYDROCHLORIDE","PRAMOXINE HYDROCHLORIDE"
"17","7532",3,"HYDROCORTISONE|HYDROCORTISONE (HYDROCORTISONE ACETATE)|HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE)","HYDROCORTISONE","HYDROCORTISONE ACETATE|HYDROCORTISONE SODIUM SUCCINATE"
"18","10247",2,"DEXTROMETHORPHAN HYDROBROMIDE|DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)","DEXTROMETHORPHAN HYDROBROMIDE","DEXTROMETHORPHAN POLISTIREX"
"19","8520",1,"POLYMYXIN B (POLYMYXIN B SULFATE)","POLYMYXIN B","POLYMYXIN B SULFATE"
"20","8523",1,"GRAMICIDIN","GRAMICIDIN","GRAMICIDIN"
"21","8638",1,"NEOMYCIN (NEOMYCIN SULFATE)","NEOMYCIN","NEOMYCIN SULFATE"
"22","5040",1,"THIAMINE HYDROCHLORIDE","THIAMINE HYDROCHLORIDE","THIAMINE HYDROCHLORIDE"
"23","7160",1,"METHYLENE BLUE","METHYLENE BLUE","METHYLENE BLUE"
"24","47",1,"ACETIC ACID","ACETIC ACID","ACETIC ACID"
"25","9412",1,"NITROGLYCERIN","NITROGLYCERIN","NITROGLYCERIN"
"26","11253",1,"PYRANTEL (PYRANTEL PAMOATE)","PYRANTEL","PYRANTEL PAMOATE"
"27","2327",1,"KETOPROFEN","KETOPROFEN","KETOPROFEN"
"28","7617",1,"PREDNISOLONE ACETATE","PREDNISOLONE ACETATE","PREDNISOLONE ACETATE"
"29","8145",1,"SULFACETAMIDE SODIUM","SULFACETAMIDE SODIUM","SULFACETAMIDE SODIUM"
"30","20280",1,"HYDROMORPHONE HYDROCHLORIDE","HYDROMORPHONE HYDROCHLORIDE","HYDROMORPHONE HYDROCHLORIDE"
"31","626",1,"CHLORHEXIDINE GLUCONATE","CHLORHEXIDINE GLUCONATE","CHLORHEXIDINE GLUCONATE"
"32","10258",1,"PHENYLEPHRINE HYDROCHLORIDE","PHENYLEPHRINE HYDROCHLORIDE","PHENYLEPHRINE HYDROCHLORIDE"
"33","270",1,"ACETAMINOPHEN","ACETAMINOPHEN","ACETAMINOPHEN"
"34","150",1,"ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID"
"35","7610",4,"BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE DIPROPIONATE)|BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE VALERATE)","BETAMETHASONE","BETAMETHASONE 21-DISODIUM PHOSPHATE|BETAMETHASONE DIPROPIONATE|BETAMETHASONE SODIUM PHOSPHATE|BETAMETHASONE VALERATE"
"36","433",1,"DIMETHICONE","DIMETHICONE","DIMETHICONE"
"37","720",2,"MAGNESIUM HYDROXIDE|MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","MAGNESIUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL"
"38","721",2,"ALUMINUM HYDROXIDE|ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","ALUMINUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL"
"39","9131",1,"CODEINE PHOSPHATE","CODEINE PHOSPHATE","CODEINE PHOSPHATE"
"40","9358",1,"CAFFEINE","CAFFEINE","CAFFEINE"
"41","2609",1,"IBUPROFEN","IBUPROFEN","IBUPROFEN"
"42","4991",2,"FOLIC ACID|FOLIC ACID (SODIUM FOLATE)","FOLIC ACID","SODIUM FOLATE"
"43","3566",1,"PETROLATUM","PETROLATUM","PETROLATUM"
