"","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing"
"1","11162",1,"ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","ACEBUTOLOL","ACEBUTOLOL HYDROCHLORIDE"
"2","1950",2,"ACYCLOVIR|ACYCLOVIR (ACYCLOVIR SODIUM)","ACYCLOVIR","ACYCLOVIR SODIUM"
"3","9388",1,"ALLOPURINOL","ALLOPURINOL","ALLOPURINOL"
"4","2072",1,"ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM"
"5","11344",1,"AMLODIPINE (AMLODIPINE BESYLATE)","AMLODIPINE","AMLODIPINE BESYLATE"
"6","11101",3,"AMOXICILLIN|AMOXICILLIN (AMOXICILLIN TRIHYDRATE)|AMOXICILLIN (AMOXICILLIN)","AMOXICILLIN","AMOXICILLIN TRIHYDRATE|AMOXICILLIN"
"7","20435",1,"ARIPIPRAZOLE","ARIPIPRAZOLE","ARIPIPRAZOLE"
"8","2041",1,"ATENOLOL","ATENOLOL","ATENOLOL"
"9","13584",1,"ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)","ATOMOXETINE","ATOMOXETINE HYDROCHLORIDE"
"10","11366",2,"ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)|ATORVASTATIN (ATORVASTATIN CALCIUM)","ATORVASTATIN","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE|ATORVASTATIN CALCIUM"
"11","10128",2,"AZATHIOPRINE|AZATHIOPRINE (AZATHIOPRINE SODIUM)","AZATHIOPRINE","AZATHIOPRINE SODIUM"
"12","424",6,"AZITHROMYCIN|AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)|AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)|AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)|AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)|AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)","AZITHROMYCIN","AZITHROMYCIN DIHYDRATE|AZITHROMYCIN HYDROGEN CITRATE|AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE|AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE|AZITHROMYCIN MONOHYDRATE"
"13","2104",1,"BACLOFEN","BACLOFEN","BACLOFEN"
"14","7610",4,"BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE DIPROPIONATE)|BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)|BETAMETHASONE (BETAMETHASONE VALERATE)","BETAMETHASONE","BETAMETHASONE 21-DISODIUM PHOSPHATE|BETAMETHASONE DIPROPIONATE|BETAMETHASONE SODIUM PHOSPHATE|BETAMETHASONE VALERATE"
"15","12108",1,"BIMATOPROST","BIMATOPROST","BIMATOPROST"
"16","2007",1,"BROMAZEPAM","BROMAZEPAM","BROMAZEPAM"
"17","7581",1,"BUDESONIDE","BUDESONIDE","BUDESONIDE"
"18","4893",1,"CALCITRIOL","CALCITRIOL","CALCITRIOL"
"19","11814",1,"CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL"
"20","4182",1,"CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE"
