tm_set,dpd_values,tm_set_map,fda_map,precise_ing_NAME_CHANGE
ACETAMINOPHEN!CAFFEINE!CODEINE,"The ACETAMINOPHEN omponent is fine, but CAFFEINE could be:  CAFFEINE or CAFFEINE CITRATE",CAFFEINE,CAFFEINE,
ACETAMINOPHEN!CODEINE,"The ACETAMINOPHEN omponent is fine, but CODEINE could be:  CODEINE, CODEINE(CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate), CODEINE (CODEINE PHOSPHATE), CODEINE PHOSPHATE, CODEINE SULFATE",CODEINE,CODEINE ANHYDROUS,
ALENDRONATE,ALENDRONIC ACID,ALENDRONATE,ALENDRONIC ACID,
ALENDRONATE!CHOLECALCIFEROL,ALENDRONIC ACID,ALENDRONATE,ALENDRONIC ACID,
AMOXICILLIN,AMOXICILLIN,AMOXICILLIN,AMOXICILLIN ANHYDROUS,
AMOXICILLIN!CLAVULANIC ACID,CLAVULANIC ACID,DO NOT SHARE DRUG CODE,,
AZITHROMYCIN,AZITHROMYCIN,AZITHROMYCIN,AZITHROMYCIN ANHYDROUS,
BENZALKONIUM!DEXAMETHASONE!TOBRAMYCIN,BENZALKONIUM CHLORIDE,DO NOT SHARE DRUG CODE,,
BUDESONIDE!FORMOTEROL,FORMOTEROL FUMARATE,DO NOT SHARE DRUG CODE,,
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN,
CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE,CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE,CANDESARTAN CILEXETIL,CANDESARTAN,
CARBIDOPA!LEVODOPA,CARBIDOPA!LEVODOPA,CARBIDOPA,CARBIDOPA ANHYDROUS,
CEFPROZIL,CEFPROZIL,CEFPROZIL,CEFPROZIL ANHYDROUS,
CEPHALEXIN,CEPHALEXIN / CEPHALEXIN MONOHYDRATE,CEPHALEXIN,CEPHALEXIN ANHYDROUS,
CODEINE,AS PER ACETAMINOPHEN/CODEINE,CODEINE,CODEINE ANHYDROUS,
CYPROTERONE!ETHINYLESTRADIOL,CYPROTERONE ACETATE  /ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
DABIGATRAN ETEXILATE,DABIGATRAN ETEXILATE MESILATE,DABIGATRAN ETEXILATE,DABIGATRAN,DABIGATRAN ETEXILATE MESYLATE
DESOGESTREL!ETHINYLESTRADIOL,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
DIVALPROEX,VALPROIC ACID (DIVALPROEX SODIUM),DIVALPROEX,VALPROIC ACID,
DORZOLAMIDE!TIMOLOL,DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE) / TIMOLOL MALEATE,TIMOLOL,TIMOLOL ANHYDROUS,
DOXYCYCLINE,"DOXYCYCLINE, DOXYCYCLINE HYCLATE, DOXYCYCLINE MONOHYDRATE, DOXYCYCLINE SUCCINATE",DOXYCYCLINE,DOXYCYCLINE ANHYDROUS,
DROSPIRENONE!ETHINYLESTRADIOL,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
ENALAPRIL,"ENALAPRIL MALEATE, ENAPRIL SODIUM, ENALAPRILAT",ENALAPRIL,ENALAPRILAT ANHYDROUS,
ESOMEPRAZOLE!NAPROXEN,"ESOMEPRAZOLE MAGNESIUM TRIHYDRATE, ESOMEPRAZOLE MAGNESIUM, ESOMEPRAZOLE MAGNESIUM DIHYDRATE",DO NOT SHARE DRUG CODE,ESOMEPRAZOLE,
"ESTROGENIC SUB,CONJUGATED",CONJUGATED ESTROGENS,"ESTROGENIC SUB,CONJUGATED","ESTROGENS, CONJUGATED","ESTROGENS, CONJUGATED"
ETHINYLESTRADIOL!ETONOGESTREL,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
ETHINYLESTRADIOL!LEVONORGESTREL,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
ETHINYLESTRADIOL!NORELGESTROMIN,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
ETHINYLESTRADIOL!NORETHINDRONE,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
ETHINYLESTRADIOL!NORGESTIMATE,ETHINYL ESTRADIOL (2 WORDS),ETHINYLESTRADIOL,ETHINYL ESTRADIOL,
FENOFIBRATE,FENOFIBRATE,FENOFIBRATE,FENOFIBRIC ACID,
FOSINOPRIL,FOSINOPRIL SODIUM,FOSINOPRIL,FOSINOPRILAT,
HUMAN INSULIN ISOPHANE,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,HUMAN INSULIN ISOPHANE,INSULIN HUMAN,INSULIN HUMAN
HUMAN INSULIN!HUMAN INSULIN ISOPHANE,??,,,
HYDROCHLOROTHIAZIDE!LISINOPRIL,LISINOPRIL DIHYDRATE,LISINOPRIL,LISINOPRIL ANHYDROUS,LISINOPRIL
HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL,OLMESARTAN  MEDOXOMIL,OLMESARTAN MEDOXOMIL,OLMESARTAN,OLMESARTAN MEDOXOMIL
HYDROCHLOROTHIAZIDE!QUINAPRIL,QUINAPRIL HYDROCHLORIDE,QUINAPRIL,QUINAPRILAT,
HYDROCHLOROTHIAZIDE!RAMIPRIL,RAMIPRIL,RAMIPRIL,RAMIPRILAT,
