"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","DPD_BRAND_NAME","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","COMPANY_NAME","ai_set","ai_group","AI_GROUP_NO"
"1","12421","01926543","SECTRAL","ACEBUTOLOL 100 MG","TABLET","ORAL","SANOFI-AVENTIS CANADA INC","ACEBUTOLOL","0131282","0131282001"
"2","17826","02147602","APO-ACEBUTOLOL","ACEBUTOLOL 100 MG","TABLET","ORAL","APOTEX INC","ACEBUTOLOL","0131282","0131282001"
"3","19939","02164396","ACEBUTOLOL-100-TAB 100MG","ACEBUTOLOL 100 MG","TABLET","ORAL","PRO DOC LIMITEE","ACEBUTOLOL","0131282","0131282001"
"4","42996","02204517","TEVA-ACEBUTOLOL","ACEBUTOLOL 100 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACEBUTOLOL","0131282","0131282001"
"5","61075","02237721","MYLAN-ACEBUTOLOL","ACEBUTOLOL 100 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282001"
"6","61246","02237885","MYLAN-ACEBUTOLOL (TYPE S)","ACEBUTOLOL 100 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282001"
"7","74284","02257599","SANDOZ ACEBUTOLOL","ACEBUTOLOL 100 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","ACEBUTOLOL","0131282","0131282001"
"8","77170","02286246","ACEBUTOLOL","ACEBUTOLOL 100 MG","TABLET","ORAL","SANIS HEALTH INC","ACEBUTOLOL","0131282","0131282001"
"9","12422","01926551","SECTRAL","ACEBUTOLOL 200 MG","TABLET","ORAL","SANOFI-AVENTIS CANADA INC","ACEBUTOLOL","0131282","0131282003"
"10","17827","02147610","APO-ACEBUTOLOL","ACEBUTOLOL 200 MG","TABLET","ORAL","APOTEX INC","ACEBUTOLOL","0131282","0131282003"
"11","19940","02164418","ACEBUTOLOL-200 - TAB 200MG","ACEBUTOLOL 200 MG","TABLET","ORAL","PRO DOC LIMITEE","ACEBUTOLOL","0131282","0131282003"
"12","42997","02204525","TEVA-ACEBUTOLOL","ACEBUTOLOL 200 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACEBUTOLOL","0131282","0131282003"
"13","61076","02237722","MYLAN-ACEBUTOLOL","ACEBUTOLOL 200 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282003"
"14","61247","02237886","MYLAN-ACEBUTOLOL (TYPE S)","ACEBUTOLOL 200 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282003"
"15","74285","02257602","SANDOZ ACEBUTOLOL","ACEBUTOLOL 200 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","ACEBUTOLOL","0131282","0131282003"
"16","77171","02286254","ACEBUTOLOL","ACEBUTOLOL 200 MG","TABLET","ORAL","SANIS HEALTH INC","ACEBUTOLOL","0131282","0131282003"
"17","12423","01926578","SECTRAL","ACEBUTOLOL 400 MG","TABLET","ORAL","SANOFI-AVENTIS CANADA INC","ACEBUTOLOL","0131282","0131282002"
"18","17828","02147629","APO-ACEBUTOLOL","ACEBUTOLOL 400 MG","TABLET","ORAL","APOTEX INC","ACEBUTOLOL","0131282","0131282002"
"19","19941","02164426","ACEBUTOLOL - 400 - TAB 400MG","ACEBUTOLOL 400 MG","TABLET","ORAL","PRO DOC LIMITEE","ACEBUTOLOL","0131282","0131282002"
"20","42998","02204533","TEVA-ACEBUTOLOL","ACEBUTOLOL 400 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACEBUTOLOL","0131282","0131282002"
"21","61077","02237723","MYLAN-ACEBUTOLOL","ACEBUTOLOL 400 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282002"
"22","61248","02237887","MYLAN-ACEBUTOLOL (TYPE S)","ACEBUTOLOL 400 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACEBUTOLOL","0131282","0131282002"
"23","74286","02257610","SANDOZ ACEBUTOLOL","ACEBUTOLOL 400 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","ACEBUTOLOL","0131282","0131282002"
"24","77172","02286262","ACEBUTOLOL","ACEBUTOLOL 400 MG","TABLET","ORAL","SANIS HEALTH INC","ACEBUTOLOL","0131282","0131282002"
"25","66193","02242468","RIVACOCET","ACETAMINOPHEN 325 MG!OXYCODONE 5 MG","TABLET","ORAL","LABORATOIRE RIVA INC","ACETAMINOPHEN!OXYCODONE","0241262","0241262001"
"26","69866","02245758","PMS-OXYCODONE - ACETAMINOPHEN","ACETAMINOPHEN 325 MG!OXYCODONE 5 MG","TABLET","ORAL","PHARMASCIENCE INC","ACETAMINOPHEN!OXYCODONE","0241262","0241262001"
"27","11416","00886157","ZOVIRAX","ACYCLOVIR 200 MG","SUSPENSION","ORAL","GLAXOSMITHKLINE INC","ACYCLOVIR","0115506","0115506003"
"28","15896","02078627","RATIO-ACYCLOVIR","ACYCLOVIR 200 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506002"
"29","43018","02207621","APO-ACYCLOVIR - TAB 200MG","ACYCLOVIR 200 MG","TABLET","ORAL","APOTEX INC","ACYCLOVIR","0115506","0115506002"
"30","66607","02242784","MYLAN-ACYCLOVIR","ACYCLOVIR 200 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACYCLOVIR","0115506","0115506002"
"31","77144","02285959","TEVA-ACYCLOVIR","ACYCLOVIR 200 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506002"
"32","60208","02236916","ACYCLOVIR SODIUM INJECTION","ACYCLOVIR 25 MG","SOLUTION","INTRAVENOUS","HOSPIRA HEALTHCARE CORPORATION","ACYCLOVIR","0115506","0115506008"
"33","15895","02078635","RATIO-ACYCLOVIR","ACYCLOVIR 400 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506004"
"34","43019","02207648","APO-ACYCLOVIR - TAB 400MG","ACYCLOVIR 400 MG","TABLET","ORAL","APOTEX INC","ACYCLOVIR","0115506","0115506004"
"35","66188","02242463","MYLAN-ACYCLOVIR","ACYCLOVIR 400 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACYCLOVIR","0115506","0115506004"
"36","77145","02285967","TEVA-ACYCLOVIR","ACYCLOVIR 400 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506004"
"37","77201","02286564","ACYCLOVIR","ACYCLOVIR 400 MG","TABLET","ORAL","SANIS HEALTH INC","ACYCLOVIR","0115506","0115506004"
"38","15525","02039524","ZOVIRAX","ACYCLOVIR 5 %","CREAM","TOPICAL","VALEANT CANADA LP/VALEANT CANADA S.E.C.","ACYCLOVIR","0115506","0115506007"
"39","4959","00569771","ZOVIRAX","ACYCLOVIR 5 %","OINTMENT","TOPICAL","VALEANT CANADA LP/VALEANT CANADA S.E.C.","ACYCLOVIR","0115506","0115506007"
"40","60218","02236926","ACYCLOVIR SODIUM INJECTION","ACYCLOVIR 50 MG","SOLUTION","INTRAVENOUS","FRESENIUS KABI CANADA LTD","ACYCLOVIR","0115506","0115506007"
"41","50497","02231190","ACYCLOVIR SODIUM FOR INJECTION","ACYCLOVIR 500 MG","POWDER FOR SOLUTION","INTRAVENOUS","NOVOPHARM LIMITED","ACYCLOVIR","0115506","0115506001"
"42","15894","02078651","RATIO-ACYCLOVIR","ACYCLOVIR 800 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506005"
"43","43020","02207656","APO-ACYCLOVIR - TAB 800MG","ACYCLOVIR 800 MG","TABLET","ORAL","APOTEX INC","ACYCLOVIR","0115506","0115506005"
"44","66189","02242464","MYLAN-ACYCLOVIR","ACYCLOVIR 800 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ACYCLOVIR","0115506","0115506005"
"45","77146","02285975","TEVA-ACYCLOVIR","ACYCLOVIR 800 MG","TABLET","ORAL","TEVA CANADA LIMITED","ACYCLOVIR","0115506","0115506005"
"46","4276","00402818","ZYLOPRIM","ALLOPURINOL 100 MG","TABLET","ORAL","AA PHARMA INC","ALLOPURINOL","0103654","0103654001"
"47","4724","00555681","ALLOPURINOL-100","ALLOPURINOL 100 MG","TABLET","ORAL","PRO DOC LIMITEE","ALLOPURINOL","0103654","0103654001"
"48","88136","02396327","MAR-ALLOPURINOL","ALLOPURINOL 100 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","ALLOPURINOL","0103654","0103654001"
"49","88760","02402769","APO-ALLOPURINOL","ALLOPURINOL 100 MG","TABLET","ORAL","APOTEX INC","ALLOPURINOL","0103654","0103654001"
"50","90624","02421593","JAMP-ALLOPURINOL","ALLOPURINOL 100 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALLOPURINOL","0103654","0103654001"
"51","19183","02130157","ALLOPURINOL-200","ALLOPURINOL 200 MG","TABLET","ORAL","PRO DOC LIMITEE","ALLOPURINOL","0103654","0103654002"
"52","4303","00479799","ZYLOPRIM","ALLOPURINOL 200 MG","TABLET","ORAL","AA PHARMA INC","ALLOPURINOL","0103654","0103654002"
"53","88137","02396335","MAR-ALLOPURINOL","ALLOPURINOL 200 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","ALLOPURINOL","0103654","0103654002"
"54","88761","02402777","APO-ALLOPURINOL","ALLOPURINOL 200 MG","TABLET","ORAL","APOTEX INC","ALLOPURINOL","0103654","0103654002"
"55","90625","02421607","JAMP-ALLOPURINOL","ALLOPURINOL 200 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALLOPURINOL","0103654","0103654002"
"56","1892","00294322","ALLOPURINOL","ALLOPURINOL 300 MG","TABLET","ORAL","APOTEX INC","ALLOPURINOL","0103654","0103654003"
"57","4302","00402796","ZYLOPRIM","ALLOPURINOL 300 MG","TABLET","ORAL","AA PHARMA INC","ALLOPURINOL","0103654","0103654003"
"58","4725","00555703","ALLOPURINOL-300","ALLOPURINOL 300 MG","TABLET","ORAL","PRO DOC LIMITEE","ALLOPURINOL","0103654","0103654003"
"59","88138","02396343","MAR-ALLOPURINOL","ALLOPURINOL 300 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","ALLOPURINOL","0103654","0103654003"
"60","88762","02402785","APO-ALLOPURINOL","ALLOPURINOL 300 MG","TABLET","ORAL","APOTEX INC","ALLOPURINOL","0103654","0103654003"
"61","90626","02421615","JAMP-ALLOPURINOL","ALLOPURINOL 300 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALLOPURINOL","0103654","0103654003"
