"","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"1","IMIPRAMINE HYDROCHLORIDE 75 MG","TABLET","ORAL","1",1,"0103832",1,1,"0103832004"
"2","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 2.5 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162043"
"3","FLUOROURACIL 50 MG","SOLUTION","INTRAVENOUS","1",2,"0107505",1,1,"0107505001"
"4","DOXYCYCLINE 100 MG","TABLET","ORAL","1",5,"0105569",1,1,"0105569001"
"5","HALOPERIDOL 5 MG","LIQUID","INTRAMUSCULAR","1",1,"0101774",1,1,"0101774001"
"6","DEXTRAN 70 0.1 %|HYPROMELLOSE 0.3 %","DROPS","OPHTHALMIC","2",3,"0228553",1,1,"0228553001"
"7","VERAPAMIL HYDROCHLORIDE 80 MG","TABLET","ORAL","1",3,"0113846",1,1,"0113846002"
"8","NAPROXEN SODIUM 275 MG","TABLET","ORAL","1",5,"0113934",1,1,"0113934001"
"9","DICLOFENAC SODIUM 25 MG","TABLET (ENTERIC-COATED)","ORAL","1",2,"0114417",1,1,"0114417003"
"10","DICLOFENAC SODIUM 50 MG","TABLET (ENTERIC-COATED)","ORAL","1",4,"0114417",1,1,"0114417002"
"11","SODIUM CHLORIDE 900 MG","LIQUID","INTRAVENOUS","1",1,"0100053",1,1,"0100053002"
"12","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG","LIQUID","INTRAVENOUS","2",1,"0200305",1,1,"0200305001"
"13","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG","SOLUTION","INTRAVENOUS","2",1,"0200305",1,1,"0200305003"
"14","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 450 MG","SOLUTION","INTRAVENOUS","3",2,"0300097",1,1,"0300097005"
"15","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 450 MG","SOLUTION","INTRAVENOUS","3",2,"0300097",1,1,"0300097003"
