"","ai_set_str","ai_set","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"1","ACEBUTOLOL 100 MG","ACEBUTOLOL","TABLET","ORAL","1",8,"0131282",1,1,"0131282001"
"2","ACEBUTOLOL 200 MG","ACEBUTOLOL","TABLET","ORAL","1",8,"0131282",1,1,"0131282003"
"3","ACEBUTOLOL 400 MG","ACEBUTOLOL","TABLET","ORAL","1",8,"0131282",1,1,"0131282002"
"4","ACETAMINOPHEN 325 MG!OXYCODONE 5 MG","ACETAMINOPHEN!OXYCODONE","TABLET","ORAL","2",2,"0241262",1,1,"0241262001"
"5","ACYCLOVIR 200 MG","ACYCLOVIR","SUSPENSION","ORAL","1",1,"0115506",1,1,"0115506003"
"6","ACYCLOVIR 5 %","ACYCLOVIR","CREAM","TOPICAL","1",1,"0115506",1,1,"0115506007"
"7","ACYCLOVIR 800 MG","ACYCLOVIR","TABLET","ORAL","1",4,"0115506",1,1,"0115506005"
"8","ACYCLOVIR 400 MG","ACYCLOVIR","TABLET","ORAL","1",5,"0115506",1,1,"0115506004"
"9","ACYCLOVIR 200 MG","ACYCLOVIR","TABLET","ORAL","1",4,"0115506",1,1,"0115506002"
"10","ACYCLOVIR 5 %","ACYCLOVIR","OINTMENT","TOPICAL","1",1,"0115506",1,1,"0115506007"
"11","ACYCLOVIR 500 MG","ACYCLOVIR","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0115506",1,1,"0115506001"
"12","ACYCLOVIR 25 MG","ACYCLOVIR","SOLUTION","INTRAVENOUS","1",1,"0115506",1,1,"0115506008"
"13","ACYCLOVIR 50 MG","ACYCLOVIR","SOLUTION","INTRAVENOUS","1",1,"0115506",1,1,"0115506007"
"14","ALLOPURINOL 300 MG","ALLOPURINOL","TABLET","ORAL","1",6,"0103654",1,1,"0103654003"
"15","ALLOPURINOL 200 MG","ALLOPURINOL","TABLET","ORAL","1",5,"0103654",1,1,"0103654002"
"16","ALLOPURINOL 100 MG","ALLOPURINOL","TABLET","ORAL","1",5,"0103654",1,1,"0103654001"
"17","ALPRAZOLAM 0.25 MG","ALPRAZOLAM","TABLET","ORAL","1",9,"0115008",1,1,"0115008001"
"18","ALPRAZOLAM 0.5 MG","ALPRAZOLAM","TABLET","ORAL","1",9,"0115008",1,1,"0115008002"
"19","ALPRAZOLAM 1 MG","ALPRAZOLAM","TABLET","ORAL","1",7,"0115008",1,1,"0115008003"
"20","ALPRAZOLAM 2 MG","ALPRAZOLAM","TABLET","ORAL","1",6,"0115008",1,1,"0115008004"
"21","AMLODIPINE 5 MG","AMLODIPINE","TABLET","ORAL","1",24,"0131437",1,1,"0131437002"
"22","AMLODIPINE 10 MG","AMLODIPINE","TABLET","ORAL","1",24,"0131437",1,1,"0131437001"
"23","AMLODIPINE 2.5 MG","AMLODIPINE","TABLET","ORAL","1",14,"0131437",1,1,"0131437003"
"24","AMOXICILLIN 500 MG","AMOXICILLIN","CAPSULE","ORAL","1",11,"0131314",1,1,"0131314006"
"25","AMOXICILLIN 250 MG","AMOXICILLIN","CAPSULE","ORAL","1",10,"0131314",1,1,"0131314001"
"26","AMOXICILLIN 250 MG","AMOXICILLIN","SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314003"
"27","AMOXICILLIN 125 MG","AMOXICILLIN","SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314002"
"28","AMOXICILLIN 250 MG","AMOXICILLIN","TABLET (CHEWABLE)","ORAL","1",1,"0131314",1,1,"0131314001"
"29","AMOXICILLIN 125 MG","AMOXICILLIN","TABLET (CHEWABLE)","ORAL","1",1,"0131314",1,1,"0131314009"
"30","AMOXICILLIN 50 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314003"
"31","AMOXICILLIN 25 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314002"
"32","AMOXICILLIN 250 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",5,"0131314",1,1,"0131314003"
