"tm_code","formal_description_tm","en_display","fr_display","status","tm_status_effective_time"
9000012,"acebutolol","","","active","20060303"
9000019,"acetaminophen and caffeine and codeine","","","active","20060106"
9000030,"acetaminophen and codeine","","","active","20040611"
9000055,"acetaminophen and oxycodone","","","active","20160704"
9000060,"acetaminophen and tramadol","","","active","20140206"
9000074,"acyclovir","","","active","20040422"
9000100,"alendronate","","","active","20090427"
9000101,"alendronate and cholecalciferol","","","active","20131021"
9000104,"alfuzosin","","","active","20100430"
9000109,"allopurinol","","","active","20110125"
9000114,"alprazolam","","","active","20060220"
9000131,"amiodarone","","","active","20060317"
9000132,"amitriptyline","","","active","20020226"
9000133,"amlodipine","","","active","20090720"
9000140,"amoxicillin","","","active","20001227"
9000142,"amphetamine and dextroamphetamine","","","active","20151203"
9000169,"aripiprazole","","","active","20150818"
9000180,"atenolol","","","active","20040429"
9000182,"atomoxetine","","","active","20080501"
9000183,"atorvastatin","","","active","20100211"
9000255,"azathioprine","","","active","20090921"
9000258,"azithromycin","","","active","20100813"
9000267,"baclofen","","","active","20081017"
9000269,"beclomethasone","","","active","20100816"
9000291,"benzoyl peroxide and clindamycin","","","active","20121219"
9000294,"benztropine","","","active","20090127"
9000297,"betahistine","","","active","20140127"
9000299,"betamethasone","","","active","20030810"
9000312,"bimatoprost","","","active","20080915"
9000320,"bisoprolol","","","active","20061211"
9000335,"bromazepam","","","active","20060307"
9000344,"budesonide","","","active","20060307"
9000351,"buprenorphine and naloxone","","","active","20150108"
9000352,"bupropion","","","active","20081208"
9000359,"calcitriol","","","active","20091201"
9000388,"candesartan cilexetil","","","active","20100114"
9000389,"candesartan cilexetil and hydrochlorothiazide","","","active","20090929"
9000394,"carbamazepine","","","active","20020517"
9000398,"carbidopa and levodopa","","","active","20080509"
9000408,"carvedilol","","","active","20040507"
9000417,"cefprozil","","","active","20070717"
9000422,"celecoxib","","","active","20131219"
9000423,"cephalexin","","","active","19990412"
9000426,"cetirizine","","","active","20090601"
9000441,"chlorhexidine","","","active","20030810"
9000471,"cholecalciferol","","","active","20160819"
9000479,"ciclesonide","","","active","20130226"
9000480,"ciclopirox","","","active","20100416"
9000484,"ciprofloxacin","","","active","20040404"
9000485,"ciprofloxacin and dexamethasone","","","active","20061214"
9000488,"citalopram","","","active","20040503"
9000490,"clarithromycin","","","active","20070823"
9000491,"clindamycin","","","active","20060303"
9000495,"clobazam","","","active","20140929"
9000496,"clobetasol","","","active","20020119"
9000502,"clonazepam","","","active","20020223"
9000503,"clonidine","","","active","20030716"
9000504,"clopidogrel","","","active","20090409"
9000509,"clozapine","","","active","20091102"
9000520,"codeine","","","active","20011220"
9000525,"colchicine","","","active","20090709"
9000535,"cyclobenzaprine","","","active","20081017"
9000540,"cyproterone and ethinylestradiol","","","active","20100621"
9000542,"dabigatran etexilate","","","active","20130409"
9000575,"desogestrel and ethinylestradiol","","","active","20130206"
9000578,"desvenlafaxine","","","active","20161006"
9000579,"dexamethasone","","","active","20040809"
9000583,"dexlansoprazole","","","active","20161130"
9000593,"dextroamphetamine","","","active","20151203"
9000607,"diazepam","","","active","20060306"
9000611,"dibucaine and esculin and framycetin and hydrocortisone","","","active","20060518"
9000612,"diclofenac","","","active","20060404"
9000613,"diclofenac and misoprostol","","","active","20130125"
9000620,"digoxin","","","active","20070213"
9000622,"diltiazem","","","active","20030323"
9000644,"divalproex","","","active","20010824"
9000652,"domperidone","","","active","20110609"
9000653,"donepezil","","","active","20060821"
9000656,"dorzolamide and timolol","","","active","20110207"
9000657,"doxazosin","","","active","20011022"
9000660,"doxycycline","","","active","20040716"
9000667,"drospirenone and ethinylestradiol","","","active","20110624"
9000670,"duloxetine","","","active","20160513"
9000671,"dutasteride","","","active","20090320"
9000692,"enalapril","","","active","20100114"
9000711,"epinephrine","","","active","20080605"
9000726,"erythromycin","","","active","20080221"
9000728,"escitalopram","","","active","20070228"
9000731,"esomeprazole","","","active","20121218"
9000732,"estradiol","","","active","20060605"
9000736,"estrogenic sub,conjugated","","","active","20020517"
9000744,"ethinylestradiol and etonogestrel","","","active","20130123"
9000745,"ethinylestradiol and levonorgestrel","","","active","20080716"
9000746,"ethinylestradiol and norelgestromin","","","active","20090210"
9000747,"ethinylestradiol and norethindrone","","","active","20060306"
9000748,"ethinylestradiol and norgestimate","","","active","20060322"
9000759,"ezetimibe","","","active","20120208"
9000762,"felodipine","","","active","20060829"
9000763,"fenofibrate","","","active","20051206"
9000765,"fentanyl","","","active","20091102"
9000771,"finasteride","","","active","20070802"
9000792,"fluoxetine","","","active","20030508"
9000795,"flurazepam","","","active","20060329"
9000798,"fluticasone","","","active","20060411"
9000799,"fluticasone and salmeterol","","","active","20071003"
9000803,"folic acid","","","active","20110610"
9000808,"fosinopril","","","active","20090819"
9000814,"furosemide","","","active","20100302"
9000815,"fusidic acid","","","active","20141117"
9000817,"gabapentin","","","active","20020415"
9000822,"galantamine","","","active","20061031"
9000835,"gliclazide","","","active","20060310"
9000840,"glyburide","","","active","20060310"
9000861,"haloperidol","","","active","20040429"
9000888,"human insulin isophane","","","active","20130927"
9000890,"hydrochlorothiazide","","","active","20090903"
9000891,"hydrochlorothiazide and irbesartan","","","active","20100114"
9000892,"hydrochlorothiazide and lisinopril","","","active","20090903"
9000893,"hydrochlorothiazide and losartan","","","active","20110210"
9000896,"hydrochlorothiazide and olmesartan medoxomil","","","active","20120808"
9000898,"hydrochlorothiazide and quinapril","","","active","20090903"
9000899,"hydrochlorothiazide and ramipril","","","active","20100204"
9000901,"hydrochlorothiazide and telmisartan","","","active","20120307"
9000902,"hydrochlorothiazide and triamterene","","","active","20090903"
9000903,"hydrochlorothiazide and valsartan","","","active","20090812"
9000907,"hydrocortisone","","","active","20060124"
9000912,"hydromorphone","","","active","20080606"
9000919,"hydroxychloroquine","","","active","20060303"
9000922,"hydroxyzine","","","active","20100930"
9000925,"ibuprofen","","","active","20060309"
9000941,"indapamide","","","active","20090921"
9000942,"indapamide and perindopril","","","active","20090921"
9000944,"indomethacin","","","active","20100930"
9000947,"insulin aspart","","","active","20150805"
9000949,"insulin detemir","","","active","20140619"
9000950,"insulin glargine","","","active","20100506"
9000951,"insulin lispro","","","active","20130822"
9000968,"ipratropium","","","active","20010522"
9000970,"irbesartan","","","active","20090812"
9000977,"isosorbide-5-mononitrate","","","active","20060517"
9000988,"ketorolac","","","active","20060503"
9000996,"lamotrigine","","","active","20051115"
9001000,"lansoprazole","","","active","20090611"
9001002,"latanoprost","","","active","20111017"
9001011,"levetiracetam","","","active","20061201"
9001015,"levofloxacin","","","active","20120124"
9001018,"levothyroxine","","","active","20150505"
9001032,"lisdexamfetamine","","","active","20151203"
9001033,"lisinopril","","","active","20100114"
9001034,"lithium","","","active","20051208"
9001043,"lorazepam","","","active","20020528"
9001044,"losartan","","","active","20090921"
9001059,"medroxyprogesterone","","","active","20040908"
9001063,"meloxicam","","","active","20040503"
9001075,"mesalamine","","","active","20060504"
9001076,"metformin","","","active","20020108"
9001079,"metformin and sitagliptin","","","active","20111004"
9001081,"methadone","","","active","20091130"
9001085,"methotrexate","","","active","20090127"
9001092,"methylphenidate","","","active","20131108"
9001095,"metoclopramide","","","active","20060303"
9001097,"metoprolol","","","active","20030303"
9001098,"metronidazole","","","active","20050502"
9001111,"minocycline","","","active","20050504"
9001114,"mirtazapine","","","active","20040601"
9001121,"mometasone","","","active","20051123"
9001123,"montelukast","","","active","20080805"
9001124,"morphine","","","active","20050525"
9001125,"moxifloxacin","","","active","20051108"
9001218,"naproxen","","","active","20060309"
9001228,"nifedipine","","","active","20040430"
9001236,"nitrofurantoin","","","active","20110518"
9001239,"nitroglycerin","","","active","20060116"
9001246,"norethindrone","","","active","20060323"
9001248,"nortriptyline","","","active","20080319"
9001250,"nystatin","","","active","20060227"
9001288,"olanzapine","","","active","20050805"
9001291,"olmesartan medoxomil","","","active","20120514"
9001293,"olopatadine","","","active","20120921"
9001296,"omeprazole","","","active","20060517"
9001304,"oxazepam","","","active","20020517"
9001308,"oxybutynin","","","active","20131230"
9001309,"oxycodone","","","active","20081216"
9001321,"pantoprazole","","","active","20080411"
9001324,"paroxetine","","","active","20130527"
9001335,"penicillin v","","","active","19990412"
9001342,"perindopril","","","active","20160715"
9001361,"phenytoin","","","active","20060412"
9001367,"pioglitazone","","","active","20071219"
9001393,"pramipexole","","","active","20081215"
9001396,"pravastatin","","","active","20040517"
9001400,"prednisolone","","","active","20050419"
9001402,"prednisone","","","active","20050805"
9001403,"pregabalin","","","active","20071128"
9001410,"procyclidine","","","active","20150424"
9001411,"progesterone","","","active","20090529"
9001415,"propranolol","","","active","20060228"
9001425,"quetiapine","","","active","20070303"
9001427,"quinapril","","","active","20100726"
9001429,"quinine","","","active","20131118"
9001431,"rabeprazole sodium","","","active","20080616"
9001434,"ramipril","","","active","20090901"
9001437,"ranitidine","","","active","20010531"
9001442,"repaglinide","","","active","20040806"
9001451,"risedronate","","","active","20100728"
9001452,"risperidone","","","active","20061024"
9001455,"rivaroxaban","","","active","20131204"
9001456,"rivastigmine","","","active","20150527"
9001457,"rizatriptan","","","active","20080114"
9001465,"rosuvastatin","","","active","20060714"
9001469,"salbutamol","","","active","20071003"
9001475,"saxagliptin","","","active","20150220"
9001481,"sertraline","","","active","20021127"
9001484,"sildenafil","","","active","20121115"
9001490,"simvastatin","","","active","20040817"
9001494,"sitagliptin","","","active","20120627"
9001497,"solifenacin","","","active","20131230"
9001504,"spironolactone","","","active","20130125"
9001515,"sulfamethoxazole and trimethoprim","","","active","20060228"
9001520,"sumatriptan","","","active","20051028"
9001522,"tacrolimus","","","active","20090709"
9001523,"tadalafil","","","active","20080408"
9001526,"tamsulosin","","","active","20100430"
9001532,"telmisartan","","","active","20120209"
9001533,"temazepam","","","active","20061122"
9001540,"terazosin","","","active","20100430"
9001541,"terbinafine","","","active","20060420"
9001547,"testosterone","","","active","20080207"
9001568,"timolol","","","active","20080206"
9001571,"tiotropium bromide","","","active","20101102"
9001580,"tolterodine","","","active","20131230"
9001582,"topiramate","","","active","20051205"
9001585,"tramadol","","","active","20140205"
9001586,"trandolapril","","","active","20151007"
9001592,"travoprost","","","active","20130208"
9001593,"trazodone","","","active","20020302"
9001597,"triamcinolone acetonide","","","active","20050810"
9001617,"valacyclovir","","","active","20060816"
9001619,"valsartan","","","active","20090812"
9001622,"varenicline","","","active","20080704"
9001629,"venlafaxine","","","active","20080509"
9001630,"verapamil","","","active","20030323"
9001639,"warfarin","","","active","20050512"
9001649,"zopiclone","","","active","20060309"
