"ntp_code","formal_description_ntp","en_display","fr_display","status","ntp_status_effective_time"
9000015,"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",NA,NA,"active","20060303"
9000016,"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",NA,NA,"active","20060303"
9000017,"acebutolol (acebutolol hydrochloride) 400 mg oral tablet",NA,NA,"active","20060303"
9000049,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",NA,NA,"active","20060106"
9000050,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",NA,NA,"active","20060106"
9000051,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",NA,NA,"active","20131029"
9000057,"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",NA,NA,"active","20131115"
9000059,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",NA,NA,"active","20150429"
9000060,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",NA,NA,"active","20150429"
9000061,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",NA,NA,"active","20150429"
9000102,"acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",NA,NA,"active","20160620"
9000054,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",NA,NA,"active","20060223"
9000055,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",NA,NA,"active","20040611"
9000080,"acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet",NA,NA,"active","20160704"
9000081,"acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet",NA,NA,"active","20160704"
9000082,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",NA,NA,"active","20160704"
9000086,"acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",NA,NA,"active","20140206"
9000362,"acyclovir 5 % per w/w cutaneous cream",NA,NA,"active","20140919"
9000363,"acyclovir 5 % per w/w cutaneous ointment",NA,NA,"active","20140919"
9000358,"acyclovir 200 mg oral tablet",NA,NA,"active","20100108"
9000360,"acyclovir 400 mg oral tablet",NA,NA,"active","20100106"
9000364,"acyclovir 800 mg oral tablet",NA,NA,"active","20060308"
9000357,"acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection",NA,NA,"active","20040422"
9000430,"alendronic acid (alendronate sodium) 10 mg oral tablet",NA,NA,"active","20090427"
9000431,"alendronic acid (alendronate sodium) 5 mg oral tablet",NA,NA,"active","20090427"
9000434,"alendronic acid (alendronate sodium) 70 mg oral tablet",NA,NA,"active","20090427"
9000432,"alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 2800 unit oral tablet",NA,NA,"active","20131021"
9000433,"alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 5600 unit oral tablet",NA,NA,"active","20131021"
9000440,"alfuzosin hydrochloride 10 mg prolonged release oral tablet",NA,NA,"active","20100430"
9000461,"allopurinol 100 mg oral tablet",NA,NA,"active","20110125"
9000462,"allopurinol 200 mg oral tablet",NA,NA,"active","20110125"
9000463,"allopurinol 300 mg oral tablet",NA,NA,"active","20110125"
9000474,"alprazolam 0.25 mg oral tablet",NA,NA,"active","20060220"
9000475,"alprazolam 0.5 mg oral tablet",NA,NA,"active","20060220"
9000476,"alprazolam 1 mg oral tablet",NA,NA,"active","20060220"
9000477,"alprazolam 2 mg oral tablet",NA,NA,"active","20060308"
9000515,"amiodarone hydrochloride 100 mg oral tablet",NA,NA,"active","20070508"
9000516,"amiodarone hydrochloride 200 mg oral tablet",NA,NA,"active","20060317"
9000518,"amitriptyline hydrochloride 10 mg oral tablet",NA,NA,"active","20030508"
9000519,"amitriptyline hydrochloride 25 mg oral tablet",NA,NA,"active","20020226"
9000520,"amitriptyline hydrochloride 50 mg oral tablet",NA,NA,"active","20020226"
9000521,"amitriptyline hydrochloride 75 mg oral tablet",NA,NA,"active","20120924"
9000533,"amlodipine (amlodipine besylate) 10 mg oral tablet",NA,NA,"active","20090720"
9000535,"amlodipine (amlodipine besylate) 2.5 mg oral tablet",NA,NA,"active","20090724"
9000547,"amlodipine (amlodipine besylate) 5 mg oral tablet",NA,NA,"active","20090720"
9000577,"amoxicillin 250 mg oral capsule",NA,NA,"active","20080501"
9000581,"amoxicillin 500 mg oral capsule",NA,NA,"active","20080501"
9000586,"amphetamine aspartate monohydrate 1.25 mg and amphetamine sulfate 1.25 mg and dextroamphetamine saccharate 1.25 mg and dextroamphetamine sulfate 1.25 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000587,"amphetamine aspartate monohydrate 2.5 mg and amphetamine sulfate 2.5 mg and dextroamphetamine saccharate 2.5 mg and dextroamphetamine sulfate 2.5 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000588,"amphetamine aspartate monohydrate 3.75 mg and amphetamine sulfate 3.75 mg and dextroamphetamine saccharate 3.75 mg and dextroamphetamine sulfate 3.75 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000589,"amphetamine aspartate monohydrate 5 mg and amphetamine sulfate 5 mg and dextroamphetamine saccharate 5 mg and dextroamphetamine sulfate 5 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000590,"amphetamine aspartate monohydrate 6.25 mg and amphetamine sulfate 6.25 mg and dextroamphetamine saccharate 6.25 mg and dextroamphetamine sulfate 6.25 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000591,"amphetamine aspartate monohydrate 7.5 mg and amphetamine sulfate 7.5 mg and dextroamphetamine saccharate 7.5 mg and dextroamphetamine sulfate 7.5 mg prolonged release oral capsule",NA,NA,"active","20151203"
9000696,"aripiprazole 300 mg per vial kit",NA,NA,"active","20150818"
9000698,"aripiprazole 400 mg per vial kit",NA,NA,"active","20150818"
9000691,"aripiprazole 10 mg oral tablet",NA,NA,"active","20150818"
9000692,"aripiprazole 15 mg oral tablet",NA,NA,"active","20150818"
9000693,"aripiprazole 2 mg oral tablet",NA,NA,"active","20150818"
9000694,"aripiprazole 20 mg oral tablet",NA,NA,"active","20150818"
9000695,"aripiprazole 30 mg oral tablet",NA,NA,"active","20150818"
9000700,"aripiprazole 5 mg oral tablet",NA,NA,"active","20150818"
9000697,"aripiprazole 300 mg per vial powder for prolonged-release suspension for injection",NA,NA,"active","20150818"
9000699,"aripiprazole 400 mg per vial powder for prolonged-release suspension for injection",NA,NA,"active","20150818"
9000719,"atenolol 100 mg oral tablet",NA,NA,"active","20040429"
9000720,"atenolol 25 mg oral tablet",NA,NA,"active","20061129"
9000722,"atenolol 50 mg oral tablet",NA,NA,"active","20040429"
9000723,"atomoxetine (atomoxetine hydrochloride) 10 mg oral capsule",NA,NA,"active","20080501"
9000724,"atomoxetine (atomoxetine hydrochloride) 100 mg oral capsule",NA,NA,"active","20100205"
9000725,"atomoxetine (atomoxetine hydrochloride) 18 mg oral capsule",NA,NA,"active","20080501"
9000726,"atomoxetine (atomoxetine hydrochloride) 25 mg oral capsule",NA,NA,"active","20080501"
9000727,"atomoxetine (atomoxetine hydrochloride) 40 mg oral capsule",NA,NA,"active","20080501"
9000728,"atomoxetine (atomoxetine hydrochloride) 60 mg oral capsule",NA,NA,"active","20080501"
9000729,"atomoxetine (atomoxetine hydrochloride) 80 mg oral capsule",NA,NA,"active","20100205"
9000734,"atorvastatin (atorvastatin calcium) 10 mg oral tablet",NA,NA,"active","20100602"
9000735,"atorvastatin (atorvastatin calcium) 20 mg oral tablet",NA,NA,"active","20101217"
9000736,"atorvastatin (atorvastatin calcium) 40 mg oral tablet",NA,NA,"active","20100211"
9000737,"atorvastatin (atorvastatin calcium) 80 mg oral tablet",NA,NA,"active","20100211"
9001223,"azathioprine 50 mg oral tablet",NA,NA,"active","20090921"
9001222,"azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection",NA,NA,"active","20160705"
9001231,"azithromycin (azithromycin dihydrate) 250 mg oral tablet",NA,NA,"active","20140502"
9001240,"azithromycin (azithromycin monohydrate) 250 mg oral tablet",NA,NA,"active","20150505"
9001243,"azithromycin (azithromycin monohydrate) 600 mg oral tablet",NA,NA,"active","20150505"
9001242,"azithromycin (azithromycin monohydrate) 500 mg per vial powder for solution for injection",NA,NA,"active","20111103"
9001276,"baclofen 10 mg oral tablet",NA,NA,"active","20081017"
