"tm_code","formal_description_tm","en_display","fr_display","status","tm_status_effective_time"
9000012,"acebutolol",NA,NA,"active","20060303"
9000019,"acetaminophen and caffeine and codeine",NA,NA,"active","20060106"
9000030,"acetaminophen and codeine",NA,NA,"active","20040611"
9000055,"acetaminophen and oxycodone",NA,NA,"active","20160704"
9000060,"acetaminophen and tramadol",NA,NA,"active","20140206"
9000074,"acyclovir",NA,NA,"active","20040422"
9000100,"alendronate",NA,NA,"active","20090427"
9000101,"alendronate and cholecalciferol",NA,NA,"active","20131021"
9000104,"alfuzosin",NA,NA,"active","20100430"
9000109,"allopurinol",NA,NA,"active","20110125"
9000114,"alprazolam",NA,NA,"active","20060220"
9000131,"amiodarone",NA,NA,"active","20060317"
9000132,"amitriptyline",NA,NA,"active","20020226"
9000133,"amlodipine",NA,NA,"active","20090720"
9000140,"amoxicillin",NA,NA,"active","20001227"
9000142,"amphetamine and dextroamphetamine",NA,NA,"active","20151203"
9000169,"aripiprazole",NA,NA,"active","20150818"
9000180,"atenolol",NA,NA,"active","20040429"
9000182,"atomoxetine",NA,NA,"active","20080501"
9000183,"atorvastatin",NA,NA,"active","20100211"
9000255,"azathioprine",NA,NA,"active","20090921"
9000258,"azithromycin",NA,NA,"active","20100813"
9000267,"baclofen",NA,NA,"active","20081017"
9000269,"beclomethasone",NA,NA,"active","20100816"
9000291,"benzoyl peroxide and clindamycin",NA,NA,"active","20121219"
9000294,"benztropine",NA,NA,"active","20090127"
9000297,"betahistine",NA,NA,"active","20140127"
9000299,"betamethasone",NA,NA,"active","20030810"
9000312,"bimatoprost",NA,NA,"active","20080915"
9000320,"bisoprolol",NA,NA,"active","20061211"
9000335,"bromazepam",NA,NA,"active","20060307"
9000344,"budesonide",NA,NA,"active","20060307"
9000351,"buprenorphine and naloxone",NA,NA,"active","20150108"
9000352,"bupropion",NA,NA,"active","20081208"
9000359,"calcitriol",NA,NA,"active","20091201"
9000388,"candesartan cilexetil",NA,NA,"active","20100114"
9000389,"candesartan cilexetil and hydrochlorothiazide",NA,NA,"active","20090929"
9000394,"carbamazepine",NA,NA,"active","20020517"
9000398,"carbidopa and levodopa",NA,NA,"active","20080509"
9000408,"carvedilol",NA,NA,"active","20040507"
9000417,"cefprozil",NA,NA,"active","20070717"
9000422,"celecoxib",NA,NA,"active","20131219"
9000423,"cephalexin",NA,NA,"active","19990412"
9000426,"cetirizine",NA,NA,"active","20090601"
9000441,"chlorhexidine",NA,NA,"active","20030810"
9000471,"cholecalciferol",NA,NA,"active","20160819"
9000479,"ciclesonide",NA,NA,"active","20130226"
9000480,"ciclopirox",NA,NA,"active","20100416"
9000484,"ciprofloxacin",NA,NA,"active","20040404"
9000485,"ciprofloxacin and dexamethasone",NA,NA,"active","20061214"
9000488,"citalopram",NA,NA,"active","20040503"
9000490,"clarithromycin",NA,NA,"active","20070823"
9000491,"clindamycin",NA,NA,"active","20060303"
9000495,"clobazam",NA,NA,"active","20140929"
9000496,"clobetasol",NA,NA,"active","20020119"
9000502,"clonazepam",NA,NA,"active","20020223"
9000503,"clonidine",NA,NA,"active","20030716"
9000504,"clopidogrel",NA,NA,"active","20090409"
9000509,"clozapine",NA,NA,"active","20091102"
9000520,"codeine",NA,NA,"active","20011220"
9000525,"colchicine",NA,NA,"active","20090709"
9000535,"cyclobenzaprine",NA,NA,"active","20081017"
9000540,"cyproterone and ethinylestradiol",NA,NA,"active","20100621"
9000542,"dabigatran etexilate",NA,NA,"active","20130409"
9000575,"desogestrel and ethinylestradiol",NA,NA,"active","20130206"
9000578,"desvenlafaxine",NA,NA,"active","20161006"
9000579,"dexamethasone",NA,NA,"active","20040809"
9000583,"dexlansoprazole",NA,NA,"active","20161130"
9000593,"dextroamphetamine",NA,NA,"active","20151203"
9000607,"diazepam",NA,NA,"active","20060306"
9000611,"dibucaine and esculin and framycetin and hydrocortisone",NA,NA,"active","20060518"
9000612,"diclofenac",NA,NA,"active","20060404"
9000613,"diclofenac and misoprostol",NA,NA,"active","20130125"
