"mp_code"|"mp_formal_name"|"ntp_code"|"ntp_formal_name"|"tm_code"|"tm_formal_name"
"01926543"|"SECTRAL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANOFI-AVENTIS CANADA INC"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"01926551"|"SECTRAL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANOFI-AVENTIS CANADA INC"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"01926578"|"SECTRAL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANOFI-AVENTIS CANADA INC"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02147602"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] APOTEX INC"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"02147610"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] APOTEX INC"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"02147629"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] APOTEX INC"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02164396"|"ACEBUTOLOL-100-TAB 100MG [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] PRO DOC LIMITEE"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"02164418"|"ACEBUTOLOL-200 - TAB 200MG [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] PRO DOC LIMITEE"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"02164426"|"ACEBUTOLOL - 400 - TAB 400MG [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] PRO DOC LIMITEE"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02204517"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] TEVA CANADA LIMITED"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"02204525"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] TEVA CANADA LIMITED"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"02204533"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] TEVA CANADA LIMITED"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02237721"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"02237722"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"02237723"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02237885"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
"02237886"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000016|"acebutolol (acebutolol hydrochloride) 200 mg oral tablet"|9000012|"acebutolol"
"02237887"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|9000017|"acebutolol (acebutolol hydrochloride) 400 mg oral tablet"|9000012|"acebutolol"
"02257599"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANDOZ CANADA INCORPORATED"|9000015|"acebutolol (acebutolol hydrochloride) 100 mg oral tablet"|9000012|"acebutolol"
