"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
"8000026","nortriptyline","9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","00015229","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC"
"8000026","nortriptyline","9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","00015237","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC"
"8000795","acetylsalicylic acid","9006943","acetylsalicylic acid 325 mg gastro-resistant tablet","00010332","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000803","dexamethasone (base) and neomycin (neomycin sulfate) and polymyxin b sulfate","9008764","dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops","00042676","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"
"8000029","quinine sulfate","9000040","quinine sulfate 300 mg oral capsule","00021016","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED"
"8000009","hydroxyzine","9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC"
"8000794","betamethasone acetate and betamethasone (base)","9001611","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","00028096","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC"
"8000799","phenobarbital","9011369","phenobarbital 15 mg oral tablet","00178799","PHENOBARB (phenobarbital 15 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000799","phenobarbital","9011370","phenobarbital 30 mg oral tablet","00178802","PHENOBARB (phenobarbital 30 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000799","phenobarbital","9011372","phenobarbital 60 mg oral tablet","00178810","PHENOBARB (phenobarbital 60 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000799","phenobarbital","9011368","phenobarbital 100 mg oral tablet","00178829","PHENOBARB (phenobarbital 100 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000018","medroxyprogesterone","9000027","medroxyprogesterone acetate 5 mg oral tablet","00030937","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC"
"8000008","hydrocortisone","9000011","hydrocortisone 10 mg oral tablet","00030910","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC"
"8000008","hydrocortisone","9000012","hydrocortisone 20 mg oral tablet","00030929","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC"
"8000018","medroxyprogesterone","9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC"
"8000795","acetylsalicylic acid","9006957","acetylsalicylic acid 650 mg gastro-resistant tablet","00010340","ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8000014","prednisone","9000024","prednisone 5 mg oral tablet","00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED"
"8000797","epinephrine and lidocaine hydrochloride","9009259","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection","00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC."
"8000797","epinephrine and lidocaine hydrochloride","9009263","epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection","00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC."
"8000005","phenytoin (base)","9000009","phenytoin 125 mg per 5 mL oral suspension","00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC"
