"ntp_code","ntp_formal_name","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type"
"9000002","levothyroxine sodium 50 mcg oral tablet",NA,NA,"active","19511230",NA
"9000006","phenytoin sodium 100 mg oral capsule",NA,NA,"active","19511231",NA
"9000007","phenytoin sodium 30 mg oral capsule",NA,NA,"active","19511231",NA
"9000008","phenytoin 50 mg oral tablet",NA,NA,"active","19521231",NA
"9000009","phenytoin 125 mg per 5 mL oral suspension",NA,NA,"active","19531231",NA
"9000011","hydrocortisone 10 mg oral tablet",NA,NA,"active","19541231",NA
"9000012","hydrocortisone 20 mg oral tablet",NA,NA,"active","19541231",NA
"9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup",NA,NA,"active","19561231",NA
"9000015","methylphenidate hydrochloride 10 mg oral tablet",NA,NA,"active","19561231",NA
"9000016","hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet",NA,NA,"active","19571231",NA
"9000017","hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension",NA,NA,"active","19571231",NA
"9000018","hydroxychloroquine sulfate 200 mg oral tablet",NA,NA,"active","19571231",NA
"9000019","warfarin sodium 10 mg oral tablet",NA,NA,"active","19571231",NA
"9000020","warfarin sodium 1 mg oral tablet",NA,NA,"active","19571231",NA
"9000021","warfarin sodium 5 mg oral tablet",NA,NA,"active","19571231",NA
"9000022","hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",NA,NA,"active","19581231",NA
"9000023","methylphenidate hydrochloride 20 mg oral tablet",NA,NA,"active","19581231",NA
"9000024","prednisone 5 mg oral tablet",NA,NA,"active","19591231",NA
"9000025","spironolactone 25 mg oral tablet",NA,NA,"active","19591231",NA
"9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",NA,NA,"active","19601231",NA
"9000027","medroxyprogesterone acetate 5 mg oral tablet",NA,NA,"active","19611231",NA
"9000028","norethindrone acetate 5 mg oral tablet",NA,NA,"active","19611231",NA
"9000029","hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",NA,NA,"active","19621231",NA
"9000030","conjugated estrogens 0.625 mg oral tablet",NA,NA,"active","19631231",NA
"9000031","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",NA,NA,"active","19641231",NA
"9000032","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",NA,NA,"active","19641231",NA
"9000033","amitriptyline hydrochloride 10 mg oral tablet",NA,NA,"active","19651231",NA
"9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",NA,NA,"active","19651231",NA
"9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",NA,NA,"active","19651231",NA
"9000036","azathioprine 50 mg oral tablet",NA,NA,"active","19661231",NA
"9000038","hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",NA,NA,"active","19661231",NA
"9000039","quinine sulfate 200 mg oral capsule",NA,NA,"active","19661231",NA
"9000040","quinine sulfate 300 mg oral capsule",NA,NA,"active","19661231",NA
"9000041","triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",NA,NA,"active","19661231",NA
"9000042","hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",NA,NA,"active","19671231",NA
"9000043","hydrochlorothiazide 25 mg oral tablet",NA,NA,"active","19681231",NA
"9000044","hydrochlorothiazide 50 mg oral tablet",NA,NA,"active","19681231",NA
"9000045","phenytoin 30 mg per 5 mL oral suspension",NA,NA,"active","19681231",NA
"9000046","amitriptyline hydrochloride 50 mg oral tablet",NA,NA,"active","19691231",NA
"9000047","carbamazepine 200 mg oral tablet",NA,NA,"active","19691231",NA
"9000049","erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension",NA,NA,"inactive","20170901",NA
"9000050","metronidazole 10 % vaginal cream",NA,NA,"active","19701231",NA
"9000051","pentazocine (pentazocine hydrochloride) 50 mg oral tablet",NA,NA,"active","19701231",NA
"9000054","lithium carbonate 300 mg oral capsule",NA,NA,"active","19711231",NA
"9000055","metronidazole 250 mg oral tablet",NA,NA,"active","19711231",NA
"9000056","amitriptyline hydrochloride 25 mg oral tablet",NA,NA,"active","19721231",NA
"9000057","cephalexin 500 mg oral tablet",NA,NA,"active","19721231",NA
"9000059","ibuprofen 200 mg oral tablet",NA,NA,"active","19721231",NA
"9000062","norethindrone 0.35 mg oral tablet",NA,NA,"active","19721231",NA
"9000063","prednisone 50 mg oral tablet",NA,NA,"active","19721231",NA
"9000068","erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",NA,NA,"active","19731231",NA
"9000069","oxycodone hydrochloride 10 mg suppository",NA,NA,"active","19731231",NA
"9000070","oxycodone hydrochloride 20 mg suppository",NA,NA,"active","19731231",NA
"9000071","triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",NA,NA,"active","19731231",NA
"9000072","triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",NA,NA,"active","19731231",NA
"9000073","allopurinol 300 mg oral tablet",NA,NA,"active","19741231",NA
"9000074","colchicine 0.6 mg oral tablet",NA,NA,"active","19741231",NA
"9000075","diazepam 5 mg oral tablet",NA,NA,"active","19741231",NA
"9000078","levothyroxine sodium 150 mcg oral tablet",NA,NA,"active","19741231",NA
"9000079","nitrofurantoin 100 mg oral tablet",NA,NA,"active","19741231",NA
"9000080","nitrofurantoin 50 mg oral tablet",NA,NA,"active","19741231",NA
"9000081","prednisolone acetate 0.12 % ophthalmic drops",NA,NA,"active","19741231",NA
"9000082","prednisolone acetate 1 % ophthalmic drops",NA,NA,"active","19741231",NA
"9000083","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",NA,NA,"active","19751231",NA
"9000084","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",NA,NA,"active","19751231",NA
"9000085","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",NA,NA,"active","19751231",NA
"9000086","betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",NA,NA,"active","19751231",NA
"9000087","carbidopa 25 mg and levodopa 250 mg oral tablet",NA,NA,"active","19751231",NA
"9000090","spironolactone 100 mg oral tablet",NA,NA,"active","19751231",NA
"9000091","betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",NA,NA,"active","19761231",NA
"9000094","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",NA,NA,"active","19771231",NA
