"tm_code","tm_formal_name","tm_status","tm_status_effective_time"
"8000782","meperidine","active","19441231"
"8000001","levothyroxine","active","19511230"
"8000795","acetylsalicylic acid","active","19511231"
"8000796","benzalkonium","active","19511231"
"8000003","epinephrine","active","19511231"
"8000004","phenytoin sodium","active","19511231"
"8000005","phenytoin (base)","active","19521231"
"8000006","testosterone","active","19531231"
"8000797","epinephrine and lidocaine hydrochloride","active","19541231"
"8000008","hydrocortisone","active","19541231"
"8000009","hydroxyzine","active","19561231"
"8000010","methylphenidate","active","19561231"
"8000798","clioquinol and hydrocortisone","active","19571231"
"8000778","hydrocodone and phenyltoloxamine","active","19571231"
"8000012","hydroxychloroquine","active","19571231"
"8000799","phenobarbital","active","19571231"
"8000013","warfarin","active","19571231"
"8000800","bisacodyl","active","19581231"
"8000788","belladonna and ergotamine and phenobarbital","active","19590101"
"8000014","prednisone","active","19591231"
"8000015","spironolactone","active","19591231"
"8000801","codeine and pseudoephedrine hydrochloride and triprolidine hydrochloride","active","19601231"
"8000802","hydrochlorothiazide and spironolactone","active","19601231"
"8000018","medroxyprogesterone","active","19601231"
"8000020","norethindrone","active","19611231"
"8000021","conjugated estrogens","active","19631231"
"8000803","dexamethasone (base) and neomycin (neomycin sulfate) and polymyxin b sulfate","active","19631231"
"8000023","acetaminophen and caffeine and codeine","active","19641231"
"8000024","amitriptyline","active","19651231"
"8000794","betamethasone acetate and betamethasone (base)","active","19651231"
"8000026","nortriptyline","active","19651231"
"8000027","azathioprine","active","19661231"
"8000028","dexamethasone (base)","active","19661231"
"8001046","ephedrine sulfate","active","19661231"
"8000029","quinine sulfate","active","19661231"
"8000030","triamcinolone acetonide","active","19661231"
"8000804","ethacrynic acid","active","19681231"
"8000031","hydrochlorothiazide","active","19681231"
"8000032","carbamazepine","active","19691231"
"8000805","acetylsalicylic acid and butalbital and caffeine and codeine","active","19701231"
"8000806","acetylsalicylic acid and caffeine and codeine","active","19701231"
"8000807","betamethasone valerate and gentamicin (gentamicin sulfate)","active","19701231"
"8000036","clindamycin","active","19701231"
"8000037","erythromycin","active","19701231"
"8000038","metronidazole","active","19701231"
"8000786","pentazocine","active","19701231"
"8000808","acetylsalicylic acid and butalbital and caffeine","active","19711231"
"8000040","cephalexin","active","19711231"
"8000041","lithium carbonate","active","19711231"
"8000809","chlorhexidine","active","19721231"
"8000043","ibuprofen","active","19721231"
"8000044","nitroglycerin","active","19721231"
"8000045","oxycodone","active","19731231"
"8000046","allopurinol","active","19741231"
"8001047","chlorpropamide","active","19741231"
"8000047","colchicine","active","19741231"
"8000050","nitrofurantoin","active","19741231"
"8000051","prednisolone","active","19741231"
"8000810","prednisolone and sulfacetamide sodium","active","19741231"
"8000791","betamethasone dipropionate","active","19751231"
"8000054","carbidopa and levodopa","active","19751231"
"8000811","docusate and sennosides","active","19751231"
"8000055","folic acid","active","19751231"
"8000812","hydrocortisone and zinc sulfate","active","19751231"
"8001048","tolbutamide","active","19751231"
"8000813","chlorthalidone","active","19761231"
"8000057","furosemide","active","19761231"
"8000814","metronidazole and nystatin","active","19761231"
"8000059","acetaminophen and oxycodone","active","19771231"
"8000815","benserazide (benserazide hydrochloride) and levodopa","active","19771231"
"8000061","clonazepam","active","19771231"
"8000048","diazepam","active","19771231"
"8000816","epinephrine and prilocaine hydrochloride","active","19771231"
"8000063","metoprolol","active","19771231"
"8000064","penicillin v","active","19771231"
"8000065","acetaminophen and codeine","active","19781231"
"8000817","alcohol anhydrous","active","19781231"
"8000066","baclofen","active","19781231"
"8000067","benztropine","active","19781231"
"8000069","codeine","active","19781231"
"8000818","hydrocortisone and pramoxine hydrochloride and zinc sulfate","active","19781231"
