"mp_code","mp_formal_name","ntp_code","ntp_formal_name","tm_code","tm_formal_name"
"00015229","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC","9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","8000026","nortriptyline"
"00015237","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC","9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","8000026","nortriptyline"
"00021016","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED","9000040","quinine sulfate 300 mg oral capsule","8000029","quinine sulfate"
"00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC","9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","8000009","hydroxyzine"
"00028096","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC","9001611","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","8000794","betamethasone acetate and betamethasone (base)"
"00030937","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC","9000027","medroxyprogesterone acetate 5 mg oral tablet","8000018","medroxyprogesterone"
"00030910","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC","9000011","hydrocortisone 10 mg oral tablet","8000008","hydrocortisone"
"00030929","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC","9000012","hydrocortisone 20 mg oral tablet","8000008","hydrocortisone"
"00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC","9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","8000018","medroxyprogesterone"
"00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED","9000024","prednisone 5 mg oral tablet","8000014","prednisone"
"00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC","9000009","phenytoin 125 mg per 5 mL oral suspension","8000005","phenytoin (base)"
"00268313","SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C.","9009370","ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection","8000804","ethacrynic acid"
"00021008","TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED","9000039","quinine sulfate 200 mg oral capsule","8000029","quinine sulfate"
"00156876","PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE","9000024","prednisone 5 mg oral tablet","8000014","prednisone"
"00023442","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA INC","9000045","phenytoin 30 mg per 5 mL oral suspension","8000005","phenytoin (base)"
"00010405","TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","9000047","carbamazepine 200 mg oral tablet","8000032","carbamazepine"
