"mp_code","drug_identification_number","brand_name","reason"
"02383381","02383381","SANDOZ MOXIFLOXACIN","New DIN, existing TM"
"02399202","02399202","APO-BOSENTAN","New DIN, existing TM"
"02399210","02399210","APO-BOSENTAN","New DIN, existing TM"
"02433087","02433087","MOXIFLOXACIN INJECTION","New DIN, existing TM"
"02441527","02441527","PANTOPRAZOLE SODIUM FOR INJECTION","New DIN, existing TM"
"02444445","02444445","PRIVA-AMLODIPINE","New DIN, existing TM"
"02444453","02444453","PRIVA-AMLODIPINE","New DIN, existing TM"
"02444461","02444461","PRIVA-AMLODIPINE","New DIN, existing TM"
"02453908","02453908","ACT BUPRENORPHINE/NALOXONE","New DIN, existing TM"
"02453916","02453916","ACT BUPRENORPHINE/NALOXONE","New DIN, existing TM"
"02456230","02456230","MONOPROST","New DIN, existing TM"
"02458411","02458411","JAMP-OLOPATADINE","New DIN, existing TM"
"02458969","02458969","PANTOPRAZOLE FOR INJECTION","New DIN, existing TM"
"02459914","02459914","CCP-CITALOPRAM","New DIN, existing TM"
"02459922","02459922","CCP-CITALOPRAM","New DIN, existing TM"
"02460653","02460653","APO-METFORMIN ER","New DIN, existing TM"
"02460912","02460912","APO-PHENYTOIN SODIUM","New DIN, existing TM"
"02461986","02461986","SANDOZ LEVETIRACETAM","New DIN, existing TM"
"02461994","02461994","SANDOZ LEVETIRACETAM","New DIN, existing TM"
"02462001","02462001","SANDOZ LEVETIRACETAM","New DIN, existing TM"
"02464594","02464594","EURO D 10 000","New DIN, existing TM"
"02465124","02465124","MAR-KETOROLAC","New DIN, existing TM"
"02465167","02465167","MINT-FENOFIBRATE E","New DIN, existing TM"
"02466120","02466120","CLARITHROMYCIN","New DIN, existing TM"
"02466147","02466147","PANTOPRAZOLE T","New DIN, existing TM"
"02466392","02466392","AURO-NITROFURANTOIN","New DIN, existing TM"
"02466465","02466465","ATENOLOL","New DIN, existing TM"
"02466473","02466473","ATENOLOL","New DIN, existing TM"
"02466538","02466538","BIO-BOSENTAN","New DIN, existing TM"
"02466546","02466546","BIO-BOSENTAN","New DIN, existing TM"
"02467313","02467313","M-PREGABALIN","New DIN, existing TM"
"02467372","02467372","M-PANTOPRAZOLE","New DIN, existing TM"
"02467437","02467437","M-EZETIMIBE","New DIN, existing TM"
"02467453","02467453","M-DONEPEZIL","New DIN, existing TM"
"02467461","02467461","M-DONEPEZIL","New DIN, existing TM"
"02467747","02467747","ATOMOXETINE","New DIN, existing TM"
"02467755","02467755","ATOMOXETINE","New DIN, existing TM"
"02467763","02467763","ATOMOXETINE","New DIN, existing TM"
"02467771","02467771","ATOMOXETINE","New DIN, existing TM"
"02467798","02467798","ATOMOXETINE","New DIN, existing TM"
"02467801","02467801","ATOMOXETINE","New DIN, existing TM"
"02467828","02467828","ATOMOXETINE","New DIN, existing TM"
"02468026","02468026","M-AMLODIPINE","New DIN, existing TM"
"02469979","02469979","PHARMA-SIMVASTATIN","New DIN, existing TM"
"00010332","00010332","ENTROPHEN 325MG TABLETS","New DIN, existing TM"
"00178799","00178799","PHENOBARB","New DIN, existing TM"
"00178802","00178802","PHENOBARB","New DIN, existing TM"
"00178810","00178810","PHENOBARB","New DIN, existing TM"
"00178829","00178829","PHENOBARB","New DIN, existing TM"
"00010340","00010340","ENTROPHEN ECT 650MG","New DIN, existing TM"
"00038121","00038121","EPHEDRINE SULFATE INJECTION USP","New DIN, existing TM"
"00030570","00030570","DALACIN C 150 MG","New DIN, existing TM"
"700522","00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP","New DIN, existing TM"
"700523","00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP","New DIN, existing TM"
"00027944","00027944","VALISONE SCALP LOTION","New DIN, existing TM"
"00225851","00225851","DALACIN C FLAVOURED GRANULES","New DIN, existing TM"
"00029246","00029246","DELATESTRYL","New DIN, existing TM"
"00030783","00030783","DEPO-TESTOSTERONE INJ 100MG/ML","New DIN, existing TM"
"00245097","00245097","HIBITANE SKIN CLEANSER","New DIN, existing TM"
"00155365","00155365","ADRENALIN CHLORIDE SOL 1:1000","New DIN, existing TM"
"00254142","00254142","DULCOLAX","New DIN, existing TM"
"00003875","00003875","DULCOLAX","New DIN, existing TM"
"700524","00260436","DALACIN C PHOSPHATE","New DIN, existing TM"
"700525","00260436","DALACIN C PHOSPHATE","New DIN, existing TM"
"700526","00260436","DALACIN C PHOSPHATE","New DIN, existing TM"
"700527","00260436","DALACIN C PHOSPHATE","New DIN, existing TM"
"00013668","00013668","ATASOL FORTE TAB 500MG","New DIN, existing TM"
"00026123","00026123","SENOKOT S","New DIN, existing TM"
"00319589","00319589","STING STOP 0.1%","New DIN, existing TM"
"00356557","00356557","FOLIC ACID TAB 25MG","New DIN, existing TM"
"00229296","00229296","NOVASEN","New DIN, existing TM"
"00042560","00042560","MAXIDEX","New DIN, existing TM"
"00382752","00382752","ACETAMINOPHENE 325TAB","New DIN, existing TM"
"00386626","00386626","ACETAMINOPHENE 500TAB","New DIN, existing TM"
"00040851","00040851","PMS-ASA","New DIN, existing TM"
"00419508","00419508","ENTROPHEN ECT 975MG","New DIN, existing TM"
"00426849","00426849","APO FOLIC ACID TAB 5MG","New DIN, existing TM"
"00394394","00394394","DEHYDRATED ALCOHOL INJECTION USP","New DIN, existing TM"
"00392561","00392561","MORPHINE SULFATE INJ 15MG/ML USP","New DIN, existing TM"
"00392588","00392588","MORPHINE SULFATE INJ 10MG/ML USP","New DIN, existing TM"
"00443832","00443832","DEPAKENE","New DIN, existing TM"
"00465763","00465763","MYDFRIN","New DIN, existing TM"
"00216666","00216666","NOVASEN","New DIN, existing TM"
"00509558","00509558","EPIPEN","New DIN, existing TM"
"00511528","00511528","MOGADON","New DIN, existing TM"
"00511536","00511536","MOGADON","New DIN, existing TM"
"00500895","00500895","NALCROM","New DIN, existing TM"
"00497193","00497193","AMINOPHYLLINE INJECTION USP","New DIN, existing TM"
"00476374","00476374","CHOLEDYL EXPECTORANT ELIXIR","New DIN, existing TM"
"00404802","00404802","RATIO-BISACODYL","New DIN, existing TM"
"00530336","00530336","ASA 325MG","New DIN, existing TM"
"00535427","00535427","RATIO-ECTOSONE MILD CREAM 0.05%","New DIN, existing TM"
"00535435","00535435","RATIO-ECTOSONE REGULAR CREAM 0.1%","New DIN, existing TM"
"00513962","00513962","TOBREX","New DIN, existing TM"
"00042579","00042579","MAXIDEX","New DIN, existing TM"
"00544981","00544981","APO ACETAMINOPHEN TAB 325MG","New DIN, existing TM"
"00545007","00545007","APO ACETAMINOPHEN TAB 500MG","New DIN, existing TM"
"00442968","00442968","CLEARASIL DAILY CLEAR ACNE TREATMENT CREAM BP PLUS","New DIN, existing TM"
"00510696","00510696","ENTERIC COATED ASA TABLETS 325MG","New DIN, existing TM"
"00545023","00545023","APO-BISACODYL","New DIN, existing TM"
"00389218","00389218","NOVO-GESIC","New DIN, existing TM"
"00482323","00482323","NOVO-GESIC FORTE","New DIN, existing TM"
"00559393","00559393","TYLENOL REGULAR STRENGTH TAB 325MG","New DIN, existing TM"
"00559407","00559407","TYLENOL EXTRA STRENGTH TAB 500MG","New DIN, existing TM"
"00533688","00533688","TOBRAMYCIN FOR INJECTION","New DIN, existing TM"
"00549703","00549703","ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH","New DIN, existing TM"
"00605751","00605751","ACETAMINOPHEN TABLETS 325 MG","New DIN, existing TM"
"00605778","00605778","EXTRA STRENGTH ACETAMINOPHEN TABLETS 500 MG","New DIN, existing TM"
"00582654","00582654","AMINOPHYLLINE INJ 50MG/ML","New DIN, existing TM"
"00582662","00582662","AMINOPHYLLINE INJ 25MG/ML","New DIN, existing TM"
"00614254","00614254","TOBREX","New DIN, existing TM"
"00125083","00125083","DILAUDID","New DIN, existing TM"
"00125121","00125121","DILAUDID","New DIN, existing TM"
"00578657","00578657","EPIPEN JR","New DIN, existing TM"
"00645575","00645575","PHENOBARB ELIXIR","New DIN, existing TM"
"00596965","00596965","STATEX SUPPOSITORIES 20MG","New DIN, existing TM"
"00621935","00621935","STATEX DROPS 20MG/ML","New DIN, existing TM"
"00632201","00632201","STATEX-SUPPOSITORIES 10MG","New DIN, existing TM"
"00591475","00591475","STATEX SYRUP 5MG/ML","New DIN, existing TM"
"00591467","00591467","STATEX SYRUP 1MG/ML","New DIN, existing TM"
"00627410","00627410","ELIXIR DE THEOPHYLLINE","New DIN, existing TM"
"00614491","00614491","DOLORAL 1","New DIN, existing TM"
"00514888","00514888","SELAX CAP 100MG","New DIN, existing TM"
"00607762","00607762","RATIO-MORPHINE","New DIN, existing TM"
