"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_description"
"8000003","epinephrine","9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","700522","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC","00155357",""
"8000003","epinephrine","9000004","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","00155365","ADRENALIN CHLORIDE SOL 1:1000 (epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray) ERFA CANADA 2012 INC","00155365",""
"8000003","epinephrine","9000005","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","700523","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC","00155357",""
"8000003","epinephrine","9000272","epinephrine 1 mg per 10 mL solution for injection syringe","00710814","EPINEPHRINE INJ 0.1MG/ML USP (epinephrine 1 mg per 10 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION","00710814",""
"8000003","epinephrine","9000294","epinephrine 1 mg per 1 mL solution for injection ampoule","00721891","EPINEPHRINE INJ 1MG/ML USP (epinephrine 1 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","00721891",""
"8000003","epinephrine","9000294","epinephrine 1 mg per 1 mL solution for injection ampoule","02435810","EPINEPHRINE INJECTION (epinephrine 1 mg per 1 mL solution for injection ampoule) TELIGENT OU","02435810","SINGLE USE"
"8000003","epinephrine","9001298","epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","00578657","EPIPEN JR (epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe) MYLAN SPECIALTY LP","00578657","0.15MG/0.3ML AUTO-INJECTOR"
"8000003","epinephrine","9001298","epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","02430959","TARO-EPINEPHRINE AUTO-INJECTOR (epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe) TARO PHARMACEUTICALS INC","02430959","0.15MG/0.3ML AUTO-INJECTOR"
"8000003","epinephrine","9001299","epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","00509558","EPIPEN (epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe) MYLAN SPECIALTY LP","00509558","0.3MG/0.3ML AUTO-INJECTOR"
"8000003","epinephrine","9001299","epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","02430940","TARO-EPINEPHRINE AUTO-INJECTOR (epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe) TARO PHARMACEUTICALS INC","02430940","AUTO-INJECTOR"
"8000003","epinephrine","9006260","epinephrine racemic 2.25 % inhalation solution","00525103","S2 (epinephrine racemic 2.25 % inhalation solution) NEPHRON PHARMACEUTICALS CORPORATION","00525103",""
"8000004","phenytoin sodium","9000006","phenytoin sodium 100 mg oral capsule","02460912","APO-PHENYTOIN SODIUM (phenytoin sodium 100 mg oral capsule) APOTEX INC","02460912",""
"8000006","testosterone","9000010","testosterone cypionate 1000 mg per 10 mL solution for injection vial","00030783","DEPO-TESTOSTERONE INJ 100MG/ML (testosterone cypionate 1000 mg per 10 mL solution for injection vial) PFIZER CANADA INC","00030783",""
"8000006","testosterone","9000013","testosterone enanthate 1000 mg per 5 mL solution for injection ampoule","00029246","DELATESTRYL (testosterone enanthate 1000 mg per 5 mL solution for injection ampoule) VALEANT CANADA LP/VALEANT CANADA S.E.C.","00029246",""
"8000006","testosterone","9000928","testosterone 12.2 mg transdermal patch","02239653","ANDRODERM (testosterone 12.2 mg transdermal patch) ALLERGAN PHARMA CO.","02239653",""
"8000006","testosterone","9000982","testosterone 1 % cutaneous gel","02249499","ANDROGEL (testosterone 1 % cutaneous gel) BGP PHARMA ULC","02249499","METERED DOSE PUMP (1.25G/DOSE)"
"8000006","testosterone","9000982","testosterone 1 % cutaneous gel","02280248","TESTIM 1% (testosterone 1 % cutaneous gel) PALADIN LABS INC","02280248",""
"8000006","testosterone","9000982","testosterone 1 % cutaneous gel","02463792","TARO-TESTOSTERONE GEL (testosterone 1 % cutaneous gel) TARO PHARMACEUTICALS INC","02463792","2.5G/PACKET"
"8000006","testosterone","9000982","testosterone 1 % cutaneous gel","02463806","TARO-TESTOSTERONE GEL (testosterone 1 % cutaneous gel) TARO PHARMACEUTICALS INC","02463806","5G/PACKET"
"8000006","testosterone","9000983","testosterone 1 % cutaneous gel 2.5 g sachet","02245345","ANDROGEL (testosterone 1 % cutaneous gel 2.5 g sachet) BGP PHARMA ULC","02245345","2.5G/PACKET"
"8000006","testosterone","9000984","testosterone 1 % cutaneous gel 5 g sachet","02245346","ANDROGEL (testosterone 1 % cutaneous gel 5 g sachet) BGP PHARMA ULC","02245346","5G/PACKET"
"8000006","testosterone","9000999","testosterone 24.3 mg transdermal patch","02245972","ANDRODERM (testosterone 24.3 mg transdermal patch) ALLERGAN PHARMA CO.","02245972",""
"8000006","testosterone","9001294","testosterone undecanoate 40 mg oral capsule","02322498","PMS-TESTOSTERONE (testosterone undecanoate 40 mg oral capsule) PHARMASCIENCE INC","02322498",""
"8000006","testosterone","9001294","testosterone undecanoate 40 mg oral capsule","02421186","TARO-TESTOSTERONE (testosterone undecanoate 40 mg oral capsule) TARO PHARMACEUTICALS INC","02421186",""
"8000006","testosterone","9001458","testosterone 4.5 % nasal gel","02450550","NATESTO (testosterone 4.5 % nasal gel) ACERUS BIOPHARMA INC","02450550","METERED-DOSE PUMP DELIVERING 5.5MG TESTOSTERONE/ACTUATION"
