"greater_than_5_AIs","ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name","n_mp"
"FALSE","9000003",NA,NA,"active","1951-12-31",NA,"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","1"
"FALSE","9000004",NA,NA,"active","1951-12-31",NA,"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","1"
"FALSE","9000005",NA,NA,"active","1951-12-31",NA,"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","1"
"FALSE","9001498",NA,NA,"active","1951-12-31",NA,"acetylsalicylic acid 325 mg gastro-resistant tablet","9"
"FALSE","9000010",NA,NA,"active","1953-12-31",NA,"testosterone cypionate 1000 mg per 10 mL solution for injection vial","1"
"FALSE","9000013",NA,NA,"active","1955-12-31",NA,"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule","1"
"FALSE","9001556",NA,NA,"active","1957-12-31",NA,"phenobarbital 100 mg oral tablet","1"
"FALSE","9001557",NA,NA,"active","1957-12-31",NA,"phenobarbital 15 mg oral tablet","1"
"FALSE","9001558",NA,NA,"active","1957-12-31",NA,"phenobarbital 30 mg oral tablet","1"
"FALSE","9001559",NA,NA,"active","1957-12-31",NA,"phenobarbital 60 mg oral tablet","1"
"FALSE","9001563",NA,NA,"active","1958-12-31",NA,"bisacodyl 10 mg suppository","6"
"FALSE","9001564",NA,NA,"active","1958-12-31",NA,"bisacodyl 5 mg gastro-resistant tablet","4"
"FALSE","9001583",NA,NA,"active","1961-12-31",NA,"acetaminophen 325 mg oral tablet","21"
"FALSE","9001616",NA,NA,"active","1965-12-31",NA,"phenobarbital 5 mg per mL oral solution","1"
"FALSE","9000037",NA,NA,"active","1966-12-31",NA,"dexamethasone 0.1 % ophthalmic ointment","1"
"FALSE","9006536",NA,NA,"active","1966-12-31",NA,"ephedrine sulfate 50 mg per 1 mL solution for injection","1"
"FALSE","9001623",NA,NA,"active","1967-12-31",NA,"acetylsalicylic acid 650 mg gastro-resistant tablet","5"
"FALSE","9001640",NA,NA,"active","1969-12-31",NA,"acetylsalicylic acid 325 mg oral tablet","4"
"FALSE","9000048",NA,NA,"active","1970-12-31",NA,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule","6"
"FALSE","9001653",NA,NA,"active","1970-12-31",NA,"acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","2"
"FALSE","9000058",NA,NA,"active","1972-12-31",NA,"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution","1"
"FALSE","9001683",NA,NA,"active","1972-12-31",NA,"chlorhexidine gluconate 4 % cutaneous solution","4"
"FALSE","9000064",NA,NA,"active","1973-12-31",NA,"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","3"
"FALSE","9000065",NA,NA,"active","1973-12-31",NA,"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","3"
"FALSE","9000066",NA,NA,"active","1973-12-31",NA,"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial","2"
"FALSE","9000067",NA,NA,"active","1973-12-31",NA,"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","3"
"FALSE","9000089",NA,NA,"active","1975-12-31",NA,"folic acid 25 mg oral tablet","1"
"FALSE","9001728",NA,NA,"active","1975-12-31",NA,"acetaminophen 500 mg oral tablet","37"
"FALSE","9001735",NA,NA,"active","1975-12-31",NA,"docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet","1"
"FALSE","9000099",NA,NA,"active","1977-12-31",NA,"dexamethasone 0.1 % ophthalmic drops","1"
"FALSE","9000109",NA,NA,"active","1978-12-31",NA,"folic acid 5 mg oral tablet","3"
"FALSE","9000111",NA,NA,"active","1978-12-31",NA,"morphine sulfate 15 mg per 1 mL solution for injection ampoule","1"
"FALSE","9000299",NA,NA,"active","1978-12-31",NA,"morphine sulfate 10 mg per 1 mL solution for injection ampoule","2"
"FALSE","9001799",NA,NA,"active","1978-12-31",NA,"acetylsalicylic acid 975 mg gastro-resistant tablet","1"
"FALSE","9001800",NA,NA,"active","1978-12-31",NA,"alcohol anhydrous 100 % solution for injection","1"
"FALSE","9006541",NA,NA,"active","1978-12-31",NA,"valproic acid (sodium valproate) 250 mg per 5 mL oral solution","1"
"FALSE","9000119",NA,NA,"active","1979-12-31",NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream","3"
"FALSE","9000120",NA,NA,"active","1979-12-31",NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment","2"
"FALSE","9000121",NA,NA,"active","1979-12-31",NA,"betamethasone (betamethasone valerate) 0.1 % lotion","4"
"FALSE","9000163",NA,NA,"active","1979-12-31",NA,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream","3"
"FALSE","9001847",NA,NA,"active","1979-12-31",NA,"guaifenesin 100 mg per 5 mL syrup","8"
"FALSE","9001852",NA,NA,"active","1979-12-31",NA,"metronidazole 500 mg and nystatin 100000 unit pessary","1"
"FALSE","9001859",NA,NA,"active","1979-12-31",NA,"phenylephrine hydrochloride 2.5 % ophthalmic drops","2"
"FALSE","9001867",NA,NA,"active","1980-11-04",NA,"benzalkonium chloride 0.1 % cutaneous liquid","5"
"FALSE","9001299",NA,NA,"active","1980-12-31",NA,"epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","2"
"FALSE","9001892",NA,NA,"active","1980-12-31",NA,"nitrazepam 10 mg oral tablet","1"
"FALSE","9001893",NA,NA,"active","1980-12-31",NA,"nitrazepam 5 mg oral tablet","1"
"FALSE","9001907",NA,NA,"active","1981-12-31",NA,"cromolyn sodium 100 mg oral capsule","1"
"FALSE","9001909",NA,NA,"active","1981-12-31",NA,"guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution","1"
"FALSE","9001920",NA,NA,"active","1981-12-31",NA,"tobramycin 0.3 % ophthalmic drops","2"
"FALSE","9012367",NA,NA,"active","1981-12-31",NA,"aminophylline 250 mg per 10 mL solution for injection vial","2"
"FALSE","9001927",NA,NA,"active","1982-12-31",NA,"acetaminophen 325 mg and codeine phosphate 8 mg and doxylamine succinate 5 mg oral tablet","1"
"FALSE","9001934",NA,NA,"active","1982-12-31",NA,"benzoyl peroxide 5 % cutaneous cream","4"
"FALSE","9001997",NA,NA,"active","1983-12-31",NA,"tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection","2"
"FALSE","9000202",NA,NA,"active","1984-12-31",NA,"hydromorphone hydrochloride 2 mg oral tablet","4"
"FALSE","9000204",NA,NA,"active","1984-12-31",NA,"hydromorphone hydrochloride 4 mg oral tablet","4"
"FALSE","9000209",NA,NA,"active","1984-12-31",NA,"morphine hydrochloride 1 mg per mL syrup","2"
"FALSE","9000210",NA,NA,"active","1984-12-31",NA,"morphine sulfate 1 mg per mL syrup","1"
"FALSE","9000211",NA,NA,"active","1984-12-31",NA,"morphine sulfate 20 mg per mL oral drops","1"
"FALSE","9000212",NA,NA,"active","1984-12-31",NA,"morphine sulfate 5 mg per mL syrup","1"
"FALSE","9001298",NA,NA,"active","1984-12-31",NA,"epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","2"
"FALSE","9002035",NA,NA,"active","1984-12-31",NA,"tobramycin 0.3 % ophthalmic ointment","1"
"FALSE","9012370",NA,NA,"active","1984-12-31",NA,"aminophylline 500 mg per 10 mL solution for injection vial","1"
"FALSE","9000228",NA,NA,"active","1985-12-31",NA,"morphine hydrochloride 5 mg per mL syrup","2"
"FALSE","9000229",NA,NA,"active","1985-12-31",NA,"morphine sulfate 10 mg oral tablet","2"
"FALSE","9000230",NA,NA,"active","1985-12-31",NA,"morphine sulfate 10 mg suppository","1"
"FALSE","9000231",NA,NA,"active","1985-12-31",NA,"morphine sulfate 20 mg suppository","1"
"FALSE","9000232",NA,NA,"active","1985-12-31",NA,"morphine sulfate 25 mg oral tablet","1"
"FALSE","9000233",NA,NA,"active","1985-12-31",NA,"morphine sulfate 5 mg oral tablet","2"
"FALSE","9001863",NA,NA,"active","1985-12-31",NA,"theophylline 80 mg per 15 mL oral solution","1"
"FALSE","9002038",NA,NA,"active","1985-12-31",NA,"acetaminophen 160 mg per 5 mL syrup","1"
"FALSE","9002047",NA,NA,"active","1985-12-31",NA,"docusate sodium 100 mg oral capsule","21"
"FALSE","9000244",NA,NA,"active","1986-12-31",NA,"betamethasone (betamethasone valerate) 0.05 % lotion","1"
"FALSE","9000253",NA,NA,"active","1986-12-31",NA,"hydromorphone hydrochloride 1 mg oral tablet","4"
"FALSE","9000258",NA,NA,"active","1986-12-31",NA,"morphine hydrochloride 10 mg per mL syrup","1"
"FALSE","9000259",NA,NA,"active","1986-12-31",NA,"morphine hydrochloride 20 mg per mL syrup","1"
"FALSE","9000260",NA,NA,"active","1986-12-31",NA,"morphine sulfate 150 mg per 30 mL solution for injection vial","1"
"FALSE","9000262",NA,NA,"active","1986-12-31",NA,"morphine sulfate 30 mg per 30 mL solution for injection vial","1"
"FALSE","9000263",NA,NA,"active","1986-12-31",NA,"morphine sulfate 50 mg oral tablet","1"
"FALSE","9000264",NA,NA,"active","1986-12-31",NA,"morphine sulfate 50 mg per mL oral drops","1"
"FALSE","9000315",NA,NA,"active","1986-12-31",NA,"dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial","2"
"FALSE","9002060",NA,NA,"active","1986-12-31",NA,"acetaminophen 500 mg and caffeine 65 mg oral tablet","5"
"FALSE","9002070",NA,NA,"active","1986-12-31",NA,"docusate calcium 240 mg oral capsule","7"
"FALSE","9000269",NA,NA,"active","1987-12-31",NA,"enalapril sodium 16 mg oral tablet","8"
"FALSE","9000270",NA,NA,"active","1987-12-31",NA,"enalapril sodium 4 mg oral tablet","8"
"FALSE","9000271",NA,NA,"active","1987-12-31",NA,"enalapril sodium 8 mg oral tablet","8"
"FALSE","9000272",NA,NA,"active","1987-12-31",NA,"epinephrine 1 mg per 10 mL solution for injection syringe","1"
"FALSE","9000280",NA,NA,"active","1987-12-31",NA,"morphine sulfate 10 mg per mL syrup","1"
"FALSE","9002103",NA,NA,"active","1987-12-31",NA,"cyproterone acetate 50 mg oral tablet","4"
"FALSE","9002104",NA,NA,"active","1987-12-31",NA,"docusate sodium 4 mg per mL syrup","3"
"FALSE","9002117",NA,NA,"active","1987-12-31",NA,"theophylline 400 mg prolonged-release oral tablet","2"
"FALSE","9002118",NA,NA,"active","1987-12-31",NA,"theophylline 600 mg prolonged-release oral tablet","2"
"FALSE","9006211",NA,NA,"active","1987-12-31",NA,"morphine sulfate 250 mg per 5 mL solution for injection vial","1"
"FALSE","9006212",NA,NA,"active","1987-12-31",NA,"morphine sulfate 500 mg per 10 mL solution for injection vial","1"
"FALSE","9006213",NA,NA,"active","1987-12-31",NA,"morphine sulfate 50 mg per 1 mL solution for injection vial","1"
"FALSE","9006214",NA,NA,"active","1987-12-31",NA,"morphine sulfate 50 mg per mL solution for injection 50 mL vial","1"
"FALSE","9000294",NA,NA,"active","1988-12-31",NA,"epinephrine 1 mg per 1 mL solution for injection ampoule","2"
"FALSE","9001366",NA,NA,"active","1988-12-31",NA,"betamethasone (betamethasone valerate) 0.1 % cutaneous ointment","2"
"FALSE","9000328",NA,NA,"active","1989-12-31",NA,"hydromorphone hydrochloride 8 mg oral tablet","4"
"FALSE","9000338",NA,NA,"active","1989-12-31",NA,"salbutamol (salbutamol sulfate) 5 mg per mL inhalation solution 10 mL bottle","2"
"FALSE","9002165",NA,NA,"active","1989-12-31",NA,"acetaminophen 650 mg per pck and phenylephrine hydrochloride 10 mg per pck oral powder","1"
"FALSE","9002228",NA,NA,"active","1989-12-31",NA,"triazolam 0.25 mg oral tablet","1"
"FALSE","9002648",NA,NA,"active","1989-12-31",NA,"chlorhexidine gluconate 20 % cutaneous solution","3"
"FALSE","9000352",NA,NA,"active","1990-12-31",NA,"dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL solution for injection vial","2"
"FALSE","9001619",NA,NA,"active","1990-12-31",NA,"ephedrine sulfate 50 mg per mL solution for injection","1"
"FALSE","9002235",NA,NA,"active","1990-12-31",NA,"acetaminophen 16 mg per mL oral solution","1"
"FALSE","9002236",NA,NA,"active","1990-12-31",NA,"acetaminophen 32 mg per mL oral solution","2"
"FALSE","9002237",NA,NA,"active","1990-12-31",NA,"acetaminophen 80 mg per mL oral solution","4"
"FALSE","9002239",NA,NA,"active","1990-12-31",NA,"acetylsalicylic acid 150 mg suppository","1"
"FALSE","9002240",NA,NA,"active","1990-12-31",NA,"acetylsalicylic acid 500 mg gastro-resistant tablet","1"
"FALSE","9002241",NA,NA,"active","1990-12-31",NA,"acetylsalicylic acid 650 mg suppository","1"
"FALSE","9002244",NA,NA,"active","1990-12-31",NA,"benzalkonium chloride 4 mg per mL pad","1"
"FALSE","9002245",NA,NA,"active","1990-12-31",NA,"betamethasone (betamethasone dipropionate) 0.05 % and clotrimazole 1 % cutaneous cream","1"
"FALSE","9002266",NA,NA,"active","1990-12-31",NA,"chloral hydrate 100 mg per mL syrup","2"
"FALSE","9002272",NA,NA,"active","1990-12-31",NA,"cyproterone acetate 100 mg per mL solution for injection","1"
"FALSE","9002273",NA,NA,"active","1990-12-31",NA,"dexamethasone 0.1 % and tobramycin 0.3 % ophthalmic drops","1"
"FALSE","9002274",NA,NA,"active","1990-12-31",NA,"dexamethasone 0.1 % and tobramycin 0.3 % ophthalmic ointment","1"
"FALSE","9002298",NA,NA,"active","1990-12-31",NA,"docusate sodium 10 mg per mL oral drops","1"
"FALSE","9002299",NA,NA,"active","1990-12-31",NA,"docusate sodium 200 mg oral capsule","2"
"FALSE","9002300",NA,NA,"active","1990-12-31",NA,"docusate sodium 50 mg per mL syrup","2"
"FALSE","9002301",NA,NA,"active","1990-12-31",NA,"enalapril sodium 8 mg and hydrochlorothiazide 25 mg oral tablet","1"
"FALSE","9002309",NA,NA,"active","1990-12-31",NA,"hydralazine hydrochloride 10 mg oral tablet","2"
"FALSE","9002327",NA,NA,"active","1990-12-31",NA,"terbutaline sulfate 0.5 mg per actuation inhalation powder","1"
"FALSE","9003552",NA,NA,"active","1990-12-31",NA,"chlorhexidine gluconate 2 % cutaneous solution","6"
"FALSE","9006551",NA,NA,"active","1990-12-31",NA,"dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial","1"
"FALSE","9006552",NA,NA,"active","1990-12-31",NA,"fluconazole 200 mg per 100 mL solution for injection bottle","2"
"FALSE","9006567",NA,NA,"active","1990-12-31",NA,"folic acid (sodium folate) 50 mg per 10 mL solution for injection vial","2"
"FALSE","9000377",NA,NA,"active","1991-12-31",NA,"clindamycin (clindamycin phosphate) 1 % cutaneous solution","3"
"FALSE","9000384",NA,NA,"active","1991-12-31",NA,"hydromorphone hydrochloride 1 mg per mL syrup","1"
