"mp_code","drug_code","drug_identification_number","mp_formal_name","tm_code","ccdd"
700066,60218,"02236926","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000095,TRUE
700065,60218,"02236926","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000095,TRUE
700522,940,"00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC",8000003,TRUE
700523,940,"00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC",8000003,TRUE
700094,71180,"02246953","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED",8000269,TRUE
700095,71180,"02246953","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED",8000269,TRUE
700092,69797,"02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",8000269,TRUE
700080,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700093,69797,"02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 300 mg per 6 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",8000269,TRUE
700081,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700082,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700207,70586,"02246414","AVELOX I.V. (moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bag) BAYER INC",8000291,TRUE
700208,70586,"02246414","AVELOX I.V. (moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bottle) BAYER INC",8000291,TRUE
700169,86244,"02376857","CALDOLOR (ibuprofen 400 mg per 4 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC",8000043,TRUE
700170,86244,"02376857","CALDOLOR (ibuprofen 800 mg per 8 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC",8000043,TRUE
700556,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700557,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700558,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700559,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700685,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700686,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700687,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700577,49612,"02230540","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700576,49612,"02230540","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700573,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700574,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700575,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700524,1620,"00260436","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) PFIZER CANADA INC",8000036,TRUE
700525,1620,"00260436","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) PFIZER CANADA INC",8000036,TRUE
700526,1620,"00260436","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) PFIZER CANADA INC",8000036,TRUE
700527,1620,"00260436","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) PFIZER CANADA INC",8000036,TRUE
700569,36481,"02204274","DEXAMETHASONE-OMEGA (dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial) OMEGA LABORATORIES LTD",8000114,TRUE
700570,36481,"02204274","DEXAMETHASONE-OMEGA (dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD",8000114,TRUE
700568,36480,"02204266","DEXAMETHASONE-OMEGA (dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per 1 mL solution for injection vial) OMEGA LABORATORIES LTD",8000114,TRUE
700070,61553,"02238162","DIASTAT (diazepam 15 mg per 3 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC",8000048,TRUE
700067,61553,"02238162","DIASTAT (diazepam 2.5 mg per 0.5 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC",8000048,TRUE
700071,61553,"02238162","DIASTAT (diazepam 20 mg per 4 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC",8000048,TRUE
700068,61553,"02238162","DIASTAT (diazepam 5 mg per 1 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC",8000048,TRUE
700069,61553,"02238162","DIASTAT (diazepam 7.5 mg per 1.5 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC",8000048,TRUE
700650,5936,"00622133","DILAUDID HP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PURDUE PHARMA",8000106,TRUE
700652,5936,"00622133","DILAUDID HP (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) PURDUE PHARMA",8000106,TRUE
700651,5936,"00622133","DILAUDID HP (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) PURDUE PHARMA",8000106,TRUE
700086,68717,"02244728","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000122,TRUE
700058,49026,"02230274","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) TEVA CANADA LIMITED",8000122,TRUE
700087,68717,"02244728","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000122,TRUE
700059,49026,"02230274","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED",8000122,TRUE
700631,87402,"02388499","ENALAPRILAT INJECTION USP (enalaprilat 1.25 mg per 1 mL solution for injection vial) STERIMAX INC",NA,FALSE
700632,87402,"02388499","ENALAPRILAT INJECTION USP (enalaprilat 2.5 mg per 2 mL solution for injection vial) STERIMAX INC",NA,FALSE
700516,12664,"00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",8000127,TRUE
700519,12664,"00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",8000127,TRUE
700521,12664,"00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",8000127,TRUE
700517,12664,"00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",8000127,TRUE
700518,12664,"00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",8000127,TRUE
