"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","calculation","V6","V7","V8"
69790,"vial",10,"mL","N",NA,NA,NA
73683,"cartridge",3,"mL","N",NA,NA,NA
93005,"cartridge",3,"mL","N",NA,NA,NA
77967,"pen",3,"mL","N",NA,NA,NA
93006,"pen",3,"mL","N",NA,NA,NA
71180,"vial",3,"mL","Y",NA,NA,NA
66036,"vial",3,"mL","Y",NA,NA,NA
86000,"syringe",3,"mL","Y",NA,NA,NA
66036,"vial",9,"mL","Y",NA,NA,NA
71180,"vial",18,"mL","Y",NA,NA,NA
66036,"vial",18,"mL","Y",NA,NA,NA
69271,"vial",3,"mL","Y",NA,NA,NA
19798,"unit dose vial",1,"mL","Y",NA,NA,NA
19798,"unit dose vial",2,"mL","Y",NA,NA,NA
50443,"bottle",20,"mL","N",NA,NA,NA
50551,"unit dose vial",1,"mL","Y",NA,NA,NA
50552,"unit dose vial",2,"mL","Y",NA,NA,NA
43176,"unit dose vial",1,"mL","Y",NA,NA,NA
43176,"unit dose vial",2,"mL","Y",NA,NA,NA
62586,"bottle",20,"mL","N",NA,NA,NA
62586,"unit dose vial",1,"mL","Y",NA,NA,NA
62586,"unit dose vial",2,"mL","Y",NA,NA,NA
50824,"unit dose vial",2,"mL","Y",NA,NA,NA
16947,"bottle",20,"mL","N",NA,NA,NA
67766,"unit dose vial",2,"mL","Y",NA,NA,NA
43798,"unit dose vial",2,"mL","Y",NA,NA,NA
50442,"unit dose vial",2,"mL","Y",NA,NA,NA
69797,"vial",3,"mL","Y",NA,NA,NA
69797,"vial",6,"mL","Y",NA,NA,NA
60208,"vial",20,"mL","Y",NA,NA,NA
60218,"vial",10,"mL","Y",NA,NA,NA
60218,"vial",20,"mL","Y",NA,NA,NA
17277,"ampoule",1,"mL","Y",NA,NA,NA
89827,"ampoule",1,"mL","Y",NA,NA,NA
17954,"ampoule",20,"mL","Y",NA,NA,NA
89828,"ampoule",20,"mL","Y",NA,NA,NA
17276,"ampoule",5,"mL","Y",NA,NA,NA
89829,"ampoule",5,"mL","Y",NA,NA,NA
62344,"vial",2,"mL","Y",NA,NA,NA
69787,"ampoule",1,"mL","Y",NA,NA,NA
88422,"ampoule",1,"mL","Y",NA,NA,NA
88423,"ampoule",2,"mL","Y",NA,NA,NA
4232,"ampoule",1,"mL","Y",NA,NA,NA
4806,"ampoule",1,"mL","Y",NA,NA,NA
4233,"ampoule",1,"mL","Y",NA,NA,NA
3721,"ampoule",2,"mL","N",NA,NA,NA
67132,"ampoule",2,"mL","N",NA,NA,NA
87102,"ampoule",2,"mL","Y",NA,NA,NA
87173,"ampoule",2,"mL","N",NA,NA,NA
15756,"ampoule",1,"mL","Y",NA,NA,NA
15757,"ampoule",2,"mL","Y",NA,NA,NA
49026,"vial",5,"mL","Y",NA,NA,NA
49026,"vial",10,"mL","Y",NA,NA,NA
68717,"vial",5,"mL","Y",NA,NA,NA
68717,"vial",10,"mL","Y",NA,NA,NA
12650,"vial",2,"mL","Y",NA,NA,NA
87402,"vial",1,"mL","Y",NA,NA,NA
87402,"vial",2,"mL","Y",NA,NA,NA
12664,"ampoule",2,"mL","Y",NA,NA,NA
12664,"ampoule",5,"mL","Y",NA,NA,NA
12664,"ampoule",10,"mL","Y",NA,NA,NA
12664,"ampoule",20,"mL","Y",NA,NA,NA
12664,"vial",10,"mL","Y",NA,NA,NA
12664,"vial",20,"mL","Y",NA,NA,NA
63983,"ampoule",2,"mL","Y",NA,NA,NA
63983,"vial",5,"mL","Y",NA,NA,NA
63983,"vial",10,"mL","Y",NA,NA,NA
63983,"vial",20,"mL","Y",NA,NA,NA
63983,"vial",50,"mL","Y",NA,NA,NA
86987,"ampoule",2,"mL","Y",NA,NA,NA
86987,"ampoule",10,"mL","Y",NA,NA,NA
87103,"ampoule",2,"mL","Y",NA,NA,NA
87103,"ampoule",10,"mL","Y",NA,NA,NA
12218,"vial",25,"mL","N",NA,NA,NA
4431,"ampoule",2,"mL","Y",NA,NA,NA
4431,"ampoule",4,"mL","Y",NA,NA,NA
4910,"ampoule",2,"mL","Y",NA,NA,NA
4910,"ampoule",4,"mL","Y",NA,NA,NA
4910,"syringe",2,"mL","Y",NA,NA,NA
4910,"syringe",4,"mL","Y",NA,NA,NA
84533,"vial",2,"mL","Y",NA,NA,NA
84533,"vial",4,"mL","Y",NA,NA,NA
84539,"vial",25,"mL","N",NA,NA,NA
86837,"ampoule",2,"mL","Y",NA,NA,NA
86837,"ampoule",4,"mL","Y",NA,NA,NA
86984,"ampoule",2,"mL","N",NA,NA,NA
16902,"ampoule",1,"mL","Y",NA,NA,NA
16902,"vial",5,"mL","Y",NA,NA,NA
49967,"vial",1,"mL","Y",NA,NA,NA
49967,"vial",5,"mL","Y",NA,NA,NA
16901,"vial",5,"mL","Y",NA,NA,NA
49965,"vial",5,"mL","Y",NA,NA,NA
10026,"ampoule",1,"mL","Y",NA,NA,NA
85088,"vial",1,"mL","Y",NA,NA,NA
89112,"vial",1,"mL","Y",NA,NA,NA
89112,"vial",10,"mL","Y",NA,NA,NA
63112,"vial",1,"mL","Y",NA,NA,NA
63111,"vial",5,"mL","Y",NA,NA,NA
5936,"vial",1,"mL","Y",NA,NA,NA
5936,"vial",5,"mL","Y",NA,NA,NA
5936,"vial",50,"mL","N",NA,NA,NA
18323,"vial",1,"mL","Y",NA,NA,NA
18323,"vial",5,"mL","Y",NA,NA,NA
18323,"vial",10,"mL","Y",NA,NA,NA
18323,"vial",50,"mL","N",NA,NA,NA
86845,"vial",1,"mL","Y",NA,NA,NA
