"mp_code","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time","mp_type","Health_Canada_identifier","Health_Canada_product_name"
"00356557","FOLIC ACID TAB 25MG (folic acid 25 mg oral tablet) KRIPPS PHARMACY LTD.",NA,NA,"active","19751231","DIN","00356557","FOLIC ACID TAB 25MG"
"00426849","APO FOLIC ACID TAB 5MG (folic acid 5 mg oral tablet) APOTEX INC",NA,NA,"active","19781231","DIN","00426849","APO FOLIC ACID TAB 5MG"
"00816086","FOLIC ACID INJECTION USP (folic acid (sodium folate) 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA,"active","19901231","DIN","00816086","FOLIC ACID INJECTION USP"
"00441619","APO-HYDRALAZINE (hydralazine hydrochloride 10 mg oral tablet) APOTEX INC",NA,NA,"active","19901231","DIN","00441619","APO-HYDRALAZINE"
"00441627","APO-HYDRALAZINE (hydralazine hydrochloride 25 mg oral tablet) APOTEX INC",NA,NA,"active","19911231","DIN","00441627","APO-HYDRALAZINE"
"00441635","APO-HYDRALAZINE (hydralazine hydrochloride 50 mg oral tablet) APOTEX INC",NA,NA,"active","19911231","DIN","00441635","APO-HYDRALAZINE"
"02139480","FOLIC ACID INJECTION (folic acid (sodium folate) 50 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD",NA,NA,"active","19960814","DIN","02139480","FOLIC ACID INJECTION"
"02243116","TRIMETHOPRIM TABLETS (trimethoprim 100 mg oral tablet) AA PHARMA INC",NA,NA,"active","20010101","DIN","02243116","TRIMETHOPRIM TABLETS"
"02243117","TRIMETHOPRIM TABLETS (trimethoprim 200 mg oral tablet) AA PHARMA INC",NA,NA,"active","20010730","DIN","02243117","TRIMETHOPRIM TABLETS"
"02285673","SANDOZ FOLIC ACID (folic acid 5 mg oral tablet) SANDOZ CANADA INCORPORATED",NA,NA,"active","20061127","DIN","02285673","SANDOZ FOLIC ACID"
"02366061","JAMP-FOLIC ACID (folic acid 5 mg oral tablet) JAMP PHARMA CORPORATION",NA,NA,"active","20110610","DIN","02366061","JAMP-FOLIC ACID"
"02409720","TUDORZA GENUAIR (aclidinium bromide 400 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC",NA,NA,"active","20130913","DIN","02409720","TUDORZA GENUAIR"
