"ntp_code","ntp_formal_name","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type"
"9000089","folic acid 25 mg oral tablet",NA,NA,"active","19751231",NA
"9000109","folic acid 5 mg oral tablet",NA,NA,"active","19781231",NA
"9006567","folic acid (sodium folate) 50 mg per 10 mL solution for injection vial",NA,NA,"active","19901231",NA
"9002309","hydralazine hydrochloride 10 mg oral tablet",NA,NA,"active","19901231",NA
"9002373","hydralazine hydrochloride 25 mg oral tablet",NA,NA,"active","19911231",NA
"9002374","hydralazine hydrochloride 50 mg oral tablet",NA,NA,"active","19911231",NA
"9006567","folic acid (sodium folate) 50 mg per 10 mL solution for injection vial",NA,NA,"active","19901231",NA
"9003551","trimethoprim 100 mg oral tablet",NA,NA,"active","20010101",NA
"9003627","trimethoprim 200 mg oral tablet",NA,NA,"active","20010730",NA
"9000109","folic acid 5 mg oral tablet",NA,NA,"active","19781231",NA
"9000109","folic acid 5 mg oral tablet",NA,NA,"active","19781231",NA
"9005324","aclidinium bromide 400 mcg per actuation inhalation powder",NA,NA,"active","20130913",NA
"9005740","aclidinium bromide 400 mcg per actuation and formoterol fumarate 12 mcg per actuation inhalation powder",NA,NA,"active","20150709",NA
"9002309","hydralazine hydrochloride 10 mg oral tablet",NA,NA,"active","19901231",NA
"9002373","hydralazine hydrochloride 25 mg oral tablet",NA,NA,"active","19911231",NA
"9002374","hydralazine hydrochloride 50 mg oral tablet",NA,NA,"active","19911231",NA
"9000109","folic acid 5 mg oral tablet",NA,NA,"active","19781231",NA
"9012367","aminophylline 250 mg per 10 mL solution for injection vial",NA,NA,"active","19811231",NA
"9012370","aminophylline 500 mg per 10 mL solution for injection vial",NA,NA,"active","19841231",NA
"9012367","aminophylline 250 mg per 10 mL solution for injection vial",NA,NA,"active","19811231",NA
"9012384","hydralazine hydrochloride 20 mg per 1 mL solution for injection vial",NA,NA,"active","19921231",NA
"9012376","brinzolamide 1 % ophthalmic drops",NA,NA,"active","19981111",NA
"9012377","budesonide 100 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder",NA,NA,"active","20020208",NA
"9012378","budesonide 200 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder",NA,NA,"active","20020208",NA
"9012375","brinzolamide 1 % and timolol (timolol maleate) 0.5 % ophthalmic drops",NA,NA,"active","20090825",NA
"9012380","formoterol fumarate 5 mcg per actuation and mometasone furoate 100 mcg per actuation pressurised inhalation",NA,NA,"active","20110310",NA
"9012381","formoterol fumarate 5 mcg per actuation and mometasone furoate 200 mcg per actuation pressurised inhalation",NA,NA,"active","20110617",NA
