"tm_code","tm_formal_name","tm_status","tm_status_effective_time"
"8000055","folic acid","active","19751231"
"8001049","aminophylline","active","19811231"
"8000851","hydralazine","active","19901231"
"8001100","brinzolamide","active","19981111"
"8000919","trimethoprim","active","20010101"
"8000930","budesonide and formoterol","active","20020208"
"8001099","brinzolamide and timolol","active","20090825"
"8000982","formoterol and mometasone","active","20110310"
"8001070","aclidinium","active","20130913"
"8001071","aclidinium and formoterol","active","20150709"
