ntp_code,ntp_formal_name,changes
"9001948","oxtriphylline 100 mg oral tablet","ADDED"
"9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","ADDED"
"9004951","dutasteride 0.5 mg and tamsulosin hydrochloride 0.4 mg modified-release oral capsule","ADDED"
"9002118","theophylline 600 mg prolonged-release oral tablet","ADDED"
"9001949","oxtriphylline 200 mg oral tablet","ADDED"
"9000119","betamethasone (betamethasone valerate) 0.05 % cutaneous cream","ADDED"
"9002616","theophylline 300 mg prolonged-release oral tablet","ADDED"
"9003026","dorzolamide (dorzolamide hydrochloride) 2 % ophthalmic drops","ADDED"
"9005625","linaclotide 290 mcg oral capsule","ADDED"
"9005460","glycopyrronium (glycopyrronium bromide) 50 mcg and indacaterol (indacaterol maleate) 110 mcg inhalation powder capsule","ADDED"
"9005209","mirabegron 25 mg prolonged-release oral tablet","ADDED"
"9012436","methylphenidate hydrochloride 25 mg modified-release oral capsule","ADDED"
"9003846","almotriptan (almotriptan malate) 12.5 mg oral tablet","ADDED"
"9002226","tamoxifen (tamoxifen citrate) 10 mg oral tablet","ADDED"
"9005156","glycopyrronium (glycopyrronium bromide) 50 mcg inhalation powder capsule","ADDED"
"9012431","thiotepa 100 mg per vial powder for solution for injection","ADDED"
"9012430","amitriptyline hydrochloride 100 mg oral tablet","ADDED"
"9012467","buprenorphine (buprenorphine hydrochloride) 75 mcg buccal film","ADDED"
"9012429","cysteamine (cysteamine bitartrate) 75 mg gastro-resistant capsule","ADDED"
"9012447","ozenoxacin 1 % cutaneous cream","ADDED"
"9000794","fluticasone propionate 100 mcg inhalation powder","ntp_formal_name: ""fluticasone propionate 100 mcg inhalation powder"" -> ""fluticasone propionate 100 mcg per actuation inhalation powder"""
"9012465","buprenorphine (buprenorphine hydrochloride) 300 mcg buccal film","ADDED"
"9001299","epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","ADDED"
"9000075","diazepam 5 mg oral tablet","ntp_status_effective_time: ""19771231"" -> ""19741231"""
"9005022","fesoterodine fumarate 4 mg prolonged-release oral tablet","ADDED"
"9005527","canagliflozin 300 mg oral tablet","ADDED"
"9001863","theophylline 80 mg per 15 mL oral solution","ADDED"
"9001909","guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution","ADDED"
"9002327","terbutaline sulfate 0.5 mg per actuation inhalation powder","ADDED"
"9001766","oxtriphylline 100 mg per 5 mL oral solution","ADDED"
"9012453","fluoxetine (fluoxetine hydrochloride) 40 mg oral capsule","ADDED"
"9002105","doxylamine succinate 25 mg oral tablet","ADDED"
"9001298","epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","ADDED"
"9000004","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","ADDED"
"9012437","methylphenidate hydrochloride 35 mg modified-release oral capsule","ADDED"
"9012438","methylphenidate hydrochloride 45 mg modified-release oral capsule","ADDED"
"9000965","ketorolac tromethamine 30 mg per mL solution for injection","ntp_status: ""INACTIVE"" -> ""DEPRECATED""
ntp_status_effective_time: ""20170804"" -> ""20180312"""
"9012397","vandetanib 300 mg oral tablet","ADDED"
"9002228","triazolam 0.25 mg oral tablet","ADDED"
"9003113","formoterol fumarate 12 mcg inhalation powder capsule","ADDED"
"9000244","betamethasone (betamethasone valerate) 0.05 % lotion","ADDED"
"9003613","misoprostol 100 mcg oral tablet","ADDED"
"9012379","formoterol fumarate 12 mcg per actuation inhalation powder","ADDED"
"9001454","fluticasone furoate 100 mcg inhalation powder","ntp_formal_name: ""fluticasone furoate 100 mcg inhalation powder"" -> ""fluticasone furoate 100 mcg per actuation inhalation powder"""
"9002909","anastrozole 1 mg oral tablet","ADDED"
"9012462","chlorambucil 2 mg oral tablet","ADDED"
"9012419","glecaprevir 100 mg and pibrentasvir 40 mg oral tablet","ADDED"
"9006616","betamethasone valerate 0.1 % cutaneous patch","ADDED"
