tm_code,tm_formal_name,changes
"8001112","eletriptan","ADDED"
"8000905","salmeterol","ADDED"
"8001102","letrozole","ADDED"
"8001016","canagliflozin and metformin","ADDED"
"8001086","orciprenaline","ADDED"
"8000969","estradiol and levonorgestrel","ADDED"
"8000003","epinephrine","ADDED"
"8001093","nabilone","ADDED"
"8001127","brimonidine and brinzolamide","ADDED"
"8001145","methyldopa","ADDED"
"8001092","nitrazepam","ADDED"
"8001109","exemestane","ADDED"
"8001131","cysteamine","ADDED"
"8001111","brimonidine and timolol","ADDED"
"8001066","mepolizumab","ADDED"
"8001120","silodosin","ADDED"
"8001103","brimonidine","ADDED"
"8001082","glycopyrronium","ADDED"
"8001121","zolpidem","ADDED"
"8000048","diazepam","tm_status_effective_time: ""19771231"" -> ""19741231"""
"8001114","darifenacin","ADDED"
"8001125","linaclotide","ADDED"
"8000955","timolol and travoprost","ADDED"
"8001104","naratriptan","ADDED"
"8000826","guaifenesin and oxtriphylline","ADDED"
"8000988","dutasteride and tamsulosin","ADDED"
"8000921","misoprostol","ADDED"
"8001042","hydrochlorothiazide and methyldopa","ADDED"
"8001003","acyclovir and hydrocortisone","ADDED"
"8000792","betamethasone valerate","ADDED"
"8001123","fesoterodine","ADDED"
"8001095","triazolam","ADDED"
"8001126","canagliflozin","ADDED"
"8001081","fluticasone and vilanterol","ADDED"
"8001096","tamoxifen","ADDED"
"8000846","betamethasone dipropionate and clotrimazole","ADDED"
"8001084","indacaterol","ADDED"
"8000908","fusidic acid and hydrocortisone","ADDED"
"8001091","chlorambucil","ADDED"
"8001078","ephedrine","ADDED"
"8001033","doxylamine","ADDED"
"8001110","almotriptan","ADDED"
"8001085","olodaterol and tiotropium","ADDED"
"8001088","terbutaline","ADDED"
"8001122","vandetanib","ADDED"
"8001101","anastrozole","ADDED"
"8001115","trospium","ADDED"
"8000899","dorzolamide","ADDED"
"8001069","oxtriphylline","ADDED"
"8001053","zafirlukast","ADDED"
"8001129","ozenoxacin","ADDED"
"8000902","formoterol","ADDED"
"8001094","theophylline","ADDED"
"8001083","glycopyrronium and indacaterol","ADDED"
"8000970","drospirenone and estradiol","ADDED"
"8001128","thiotepa","ADDED"
"8001124","mirabegron","ADDED"
"8001067","reslizumab","ADDED"
"8001136","glecaprevir and pibrentasvir","ADDED"
