"mp_code","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time","mp_type","Health_Canada_identifier","Health_Canada_product_name"
"02245689","LANTUS (insulin glargine 100 unit per mL solution for injection 10 mL vial) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20020724","DIN","02245689","LANTUS"
"02251930","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20060504","DIN","02251930","LANTUS"
"02444844","BASAGLAR (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) ELI LILLY CANADA INC","NA","NA","Active","20151218","DIN","02444844","BASAGLAR"
"02294338","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL pen) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20070924","DIN","02294338","LANTUS"
"02444852","BASAGLAR KWIKPEN - 60 UNITS PER INJECTION DELIVERY (insulin glargine 100 unit per mL solution for injection 3 mL pen) ELI LILLY CANADA INC","NA","NA","Active","20151218","DIN","02444852","BASAGLAR"
"700094","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180223","CCDD","02246953","AMIODARONE FOR INJECTION 50MG/ML"
"700080","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"02374684","AMIODARONE SYRINGE (amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe) SANDOZ CANADA INCORPORATED","NA","NA","Active","20150812","DIN","02374684","AMIODARONE SYRINGE"
"700081","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"700095","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180223","CCDD","02246953","AMIODARONE FOR INJECTION 50MG/ML"
"700082","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"02245248","AMIODARONE HYDROCHLORIDE INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","NA","Active","20020423","DIN","02245248","AMIODARONE HYDROCHLORIDE INJECTION"
"700092","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","NA","NA","Active","20020829","CCDD","02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"700093","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 300 mg per 6 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","NA","NA","Active","20020829","CCDD","02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"02236916","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial) PFIZER CANADA INC","NA","NA","Active","19980318","DIN","02236916","ACYCLOVIR SODIUM INJECTION"
"700065","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","NA","Active","19980508","CCDD","02236926","ACYCLOVIR SODIUM INJECTION"
"700066","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","NA","Active","19980508","CCDD","02236926","ACYCLOVIR SODIUM INJECTION"
"02131048","LIORESAL INTRATHECAL 0.05MG/ML (baclofen 0.05 mg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","NA","NA","Active","19941231","DIN","02131048","LIORESAL INTRATHECAL 0.05MG/ML"
"02413620","BACLOFEN INJECTION (baclofen 0.05 mg per 1 mL solution for injection ampoule) STERIMAX INC","NA","NA","Active","20140606","DIN","02413620","BACLOFEN INJECTION"
"02131056","LIORESAL INTRATHECAL 0.5MG/ML (baclofen 10 mg per 20 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","NA","NA","Active","19941231","DIN","02131056","LIORESAL INTRATHECAL 0.5MG/ML"
"02413639","BACLOFEN INJECTION (baclofen 10 mg per 20 mL solution for injection ampoule) STERIMAX INC","NA","NA","Active","20140606","DIN","02413639","BACLOFEN INJECTION"
