"ntp_code","ntp_en_description","ntp_fr_description","ntp_formal_name","ntp_status","ntp_type","ntp_status_effective_time"
"9000001","NA","NA","meperidine hydrochloride 50 mg oral tablet","Active","NA","19441231"
"9000002","NA","NA","levothyroxine sodium 50 mcg oral tablet","Active","NA","19511230"
"9000005","NA","NA","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","Active","NA","19511231"
"9000007","NA","NA","phenytoin sodium 30 mg oral capsule","Active","NA","19511231"
"9000003","NA","NA","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","Active","NA","19511231"
"9000004","NA","NA","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","Active","NA","19511231"
"9000006","NA","NA","phenytoin sodium 100 mg oral capsule","Active","NA","19511231"
"9000008","NA","NA","phenytoin 50 mg oral tablet","Active","NA","19521231"
"9000009","NA","NA","phenytoin 125 mg per 5 mL oral suspension","Active","NA","19531231"
"9000012","NA","NA","hydrocortisone 20 mg oral tablet","Active","NA","19541231"
"9000011","NA","NA","hydrocortisone 10 mg oral tablet","Active","NA","19541231"
"9000014","NA","NA","hydroxyzine hydrochloride 10 mg per 5 mL syrup","Active","NA","19561231"
"9000015","NA","NA","methylphenidate hydrochloride 10 mg oral tablet","Active","NA","19561231"
"9000021","NA","NA","warfarin sodium 5 mg oral tablet","Active","NA","19571231"
"9000016","NA","NA","hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet","Active","NA","19571231"
"9001559","NA","NA","phenobarbital 60 mg oral tablet","Active","NA","19571231"
"9001556","NA","NA","phenobarbital 100 mg oral tablet","Active","NA","19571231"
"9001558","NA","NA","phenobarbital 30 mg oral tablet","Active","NA","19571231"
"9000017","NA","NA","hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension","Active","NA","19571231"
"9000018","NA","NA","hydroxychloroquine sulfate 200 mg oral tablet","Active","NA","19571231"
"9000020","NA","NA","warfarin sodium 1 mg oral tablet","Active","NA","19571231"
"9001557","NA","NA","phenobarbital 15 mg oral tablet","Active","NA","19571231"
"9000019","NA","NA","warfarin sodium 10 mg oral tablet","Active","NA","19571231"
"9012462","NA","NA","chlorambucil 2 mg oral tablet","Active","NA","19571231"
"9001563","NA","NA","bisacodyl 10 mg suppository","Active","NA","19581231"
"9000022","NA","NA","hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection","Active","NA","19581231"
"9001564","NA","NA","bisacodyl 5 mg gastro-resistant tablet","Active","NA","19581231"
"9012518","NA","NA","methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule","Active","NA","19581231"
"9000023","NA","NA","methylphenidate hydrochloride 20 mg oral tablet","Active","NA","19581231"
"9001568","NA","NA","belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet","Active","NA","19590101"
