mp_code,mp_formal_name,changes
"00000809","ISOPTO TEARS 0.5% (hypromellose 0.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000817","ISOPTO TEARS 1% (hypromellose 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000841","ISOPTO CARPINE (pilocarpine hydrochloride 10 mg per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000868","ISOPTO CARPINE (pilocarpine hydrochloride 20 mg per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000884","ISOPTO CARPINE (pilocarpine hydrochloride 40 mg per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000981","MYDRIACYL (tropicamide 0.5 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00001007","MYDRIACYL (tropicamide 1 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00004715","ALKERAN (melphalan 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00010200","PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN LABS INC","ADDED"
"00010219","PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN LABS INC","ADDED"
"00021172","NOVO-RYTHRO ESTOLATE SUSPENSION (erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED","mp_status_effective_time: ""20170901"" -> ""20180606"""
"00022799","ZARONTIN CAP 250MG (ethosuximide 250 mg oral capsule) ERFA CANADA 2012 INC","ADDED"
"00023485","ZARONTIN SYR 250MG/5ML (ethosuximide 250 mg per 5 mL syrup) ERFA CANADA 2012 INC","ADDED"
"00026123","SENOKOT S (docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet) PURDUE PHARMA","mp_formal_name: ""SENOKOT S (docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet) PURDUE PHARMA"" -> ""SENOKOT S (docusate sodium 50 mg and sennosides 8.6 mg oral tablet) PURDUE PHARMA"""
"00027944","VALISONE SCALP LOTION (betamethasone (betamethasone valerate) 0.1 % lotion) VALEANT CANADA LP/VALEANT CANADA S.E.C.","DELETED"
"00030635","SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution  per vial) PFIZER CANADA INC","mp_formal_name: ""SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution  per vial) PFIZER CANADA INC"" -> ""SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA INC"""
"00030678","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial NA) PFIZER CANADA INC","mp_formal_name: ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial NA) PFIZER CANADA INC"" -> ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial kit) PFIZER CANADA INC"""
"00030708","BACITRACIN USP (bacitracin 50000 unit per 10 mL powder for solution for injection) PFIZER CANADA INC","ADDED"
"00030732","LINCOCIN (lincomycin (lincomycin hydrochloride) 300 mg per mL solution for injection) PFIZER CANADA INC","ADDED"
"00030759","DEPO-MEDROL 40 MG/ML (methylprednisolone acetate 40 mg per mL suspension for injection) PFIZER CANADA INC","mp_formal_name: ""DEPO-MEDROL 40 MG/ML (methylprednisolone acetate 40 mg per mL suspension for injection) PFIZER CANADA INC"" -> ""DEPO-MEDROL 40 MG/ML (methylprednisolone acetate 40 mg per 1 mL suspension for injection vial) PFIZER CANADA INC"""
