mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"00015229","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC","9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","8000026","nortriptyline"
"00015237","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC","9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","8000026","nortriptyline"
"00010332","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001498","acetylsalicylic acid 325 mg gastro-resistant tablet","8000795","acetylsalicylic acid"
"00021016","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED","9000040","quinine sulfate 300 mg oral capsule","8000029","quinine sulfate"
"00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC","9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","8000009","hydroxyzine"
"00028096","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC","9001611","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","8000794","betamethasone acetate and betamethasone (base)"
"00178799","PHENOBARB (phenobarbital 15 mg oral tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001557","phenobarbital 15 mg oral tablet","8000799","phenobarbital"
"00178802","PHENOBARB (phenobarbital 30 mg oral tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001558","phenobarbital 30 mg oral tablet","8000799","phenobarbital"
"00178810","PHENOBARB (phenobarbital 60 mg oral tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001559","phenobarbital 60 mg oral tablet","8000799","phenobarbital"
"00178829","PHENOBARB (phenobarbital 100 mg oral tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001556","phenobarbital 100 mg oral tablet","8000799","phenobarbital"
"00030937","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC","9000027","medroxyprogesterone acetate 5 mg oral tablet","8000018","medroxyprogesterone"
"00030910","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC","9000011","hydrocortisone 10 mg oral tablet","8000008","hydrocortisone"
"00030929","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC","9000012","hydrocortisone 20 mg oral tablet","8000008","hydrocortisone"
"00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC","9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","8000018","medroxyprogesterone"
"00010340","ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9001623","acetylsalicylic acid 650 mg gastro-resistant tablet","8000795","acetylsalicylic acid"
"00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED","9000024","prednisone 5 mg oral tablet","8000014","prednisone"
