ntp_code,ntp_formal_name,changes
"9000089","folic acid 25 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19751231"" -> ""20180818"""
"9000145","diazepam 20 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20180801"" -> ""20180904"""
"9000530","lithium (lithium citrate) 8 mmol per 5 mL syrup","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19941231"" -> ""20180802"""
"9000658","fenofibrate 100 mg oral capsule","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19961002"" -> ""20180803"""
"9000770","valsartan 160 mg oral capsule","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19971215"" -> ""20180724"""
"9000771","valsartan 80 mg oral capsule","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19971215"" -> ""20180724"""
"9000819","ibuprofen 40 mg per mL oral suspension","ntp_status_effective_time: ""20180801"" -> ""20180904"""
"9000965","ketorolac tromethamine 30 mg per mL solution for injection","ntp_status_effective_time: ""20180801"" -> ""20180904"""
"9001200","paroxetine (paroxetine hydrochloride) 40 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20070503"" -> ""20180802"""
"9001345","fentanyl (fentanyl citrate) 200 mcg sublingual tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20110418"" -> ""20180629"""
"9001537","ethopropazine (ethopropazine hydrochloride) 50 mg oral tablet","ADDED"
"9001539","crotamiton 10 % cutaneous cream","ADDED"
"9001541","busulfan 2 mg oral tablet","ADDED"
"9001574","atropine sulfate 0.025 mg and diphenoxylate hydrochloride 2.5 mg oral tablet","ADDED"
"9001588","clofedanol hydrochloride 25 mg per 5 mL syrup","ADDED"
"9001601","atropine sulfate 1 % ophthalmic drops","ADDED"
"9001625","chlorpromazine (chlorpromazine hydrochloride) 100 mg oral tablet","ADDED"
"9001626","chlorpromazine (chlorpromazine hydrochloride) 25 mg oral tablet","ADDED"
"9001627","chlorpromazine (chlorpromazine hydrochloride) 50 mg oral tablet","ADDED"
"9001648","periciazine 5 mg oral capsule","ADDED"
"9001684","cyclopentolate hydrochloride 1 % ophthalmic drops","ADDED"
"9001685","danazol 200 mg oral capsule","ADDED"
"9001688","fluorometholone 0.1 % ophthalmic drops","ADDED"
"9001753","danazol 100 mg oral capsule","ADDED"
"9001799","acetylsalicylic acid 975 mg gastro-resistant tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19781231"" -> ""20180802"""
"9001822","sulfinpyrazone 200 mg oral tablet","ADDED"
"9001847","guaifenesin 100 mg per 5 mL syrup","ADDED"
"9001850","hydroxyurea 500 mg oral capsule","ADDED"
"9001878","danazol 50 mg oral capsule","ADDED"
"9001920","tobramycin 0.3 % ophthalmic drops","ADDED"
"9001967","cimetidine 600 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19831231"" -> ""20180803"""
"9001997","tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection","ADDED"
"9002031","promethazine hydrochloride 10 mg per 5 mL syrup","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19841231"" -> ""20180802"""
"9002035","tobramycin 0.3 % ophthalmic ointment","ADDED"
"9002046","diazoxide 100 mg oral capsule","ADDED"
"9002106","estrone 0.1 % vaginal cream","ADDED"
"9002151","nizatidine 300 mg oral capsule","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19980428"" -> ""20180802"""
"9002239","acetylsalicylic acid 150 mg suppository","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19901231"" -> ""20180802"""
"9002240","acetylsalicylic acid 500 mg gastro-resistant tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19901231"" -> ""20180802"""
"9002241","acetylsalicylic acid 650 mg suppository","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19901231"" -> ""20180802"""
"9002246","bethanechol chloride 10 mg oral tablet","ADDED"
"9002247","bethanechol chloride 25 mg oral tablet","ADDED"
"9002248","bethanechol chloride 50 mg oral tablet","ADDED"
"9002412","amantadine hydrochloride 100 mg oral capsule","ADDED"
"9002460","enalaprilat 2.5 mg per 2 mL solution for injection vial","ADDED"
"9002480","moclobemide 150 mg oral tablet","ADDED"
"9002488","podophyllotoxin 0.5 % cutaneous solution","ADDED"
"9002523","auranofin 3 mg oral capsule","ADDED"
"9002573","gemfibrozil 300 mg oral capsule","ADDED"
"9002574","gemfibrozil 600 mg oral tablet","ADDED"
"9002576","halobetasol propionate 0.05 % cutaneous cream","ADDED"
"9002577","halobetasol propionate 0.05 % cutaneous ointment","ADDED"
"9002591","liothyronine (liothyronine sodium) 25 mcg oral tablet","ADDED"
"9002592","liothyronine (liothyronine sodium) 5 mcg oral tablet","ADDED"
"9002613","sucralfate 1 g oral tablet","ADDED"
"9002631","betaxolol (betaxolol hydrochloride) 0.25 % ophthalmic drops","ADDED"
"9002738","aldesleukin 22000000 unit per vial powder for solution for injection","ADDED"
"9002826","guaifenesin 200 mg per 5 mL syrup","ADDED"
"9002845","megestrol acetate 160 mg oral tablet","ADDED"
"9002846","megestrol acetate 40 mg oral tablet","ADDED"
"9002850","moclobemide 300 mg oral tablet","ADDED"
"9002851","mycophenolate mofetil 250 mg oral capsule","ADDED"
"9002876","sucralfate 1 g per 5 mL oral suspension","ADDED"
"9003010","bicalutamide 50 mg oral tablet","ADDED"
"9003045","flutamide 250 mg oral tablet","ADDED"
"9003054","penicillin g (penicillin g sodium) 10000000 unit per vial powder for solution for injection","ADDED"
"9003055","penicillin g (penicillin g sodium) 1000000 unit per vial powder for solution for injection","ADDED"
"9003056","penicillin g (penicillin g sodium) 5000000 unit per vial powder for solution for injection","ADDED"
"9003105","loxapine (loxapine succinate) 5 mg oral tablet","ADDED"
"9003116","loxapine (loxapine succinate) 25 mg oral tablet","ADDED"
"9003138","dyclonine hydrochloride 1.2 mg lozenge","ADDED"
"9003139","nilutamide 50 mg oral tablet","ADDED"
"9003151","moclobemide 100 mg oral tablet","ADDED"
"9003198","anagrelide (anagrelide hydrochloride) 0.5 mg oral capsule","ADDED"
"9003230","bleomycin (bleomycin sulfate) 15 unit per vial powder for solution for injection","ADDED"
"9003239","loxapine (loxapine succinate) 10 mg oral tablet","ADDED"
"9003240","loxapine (loxapine succinate) 50 mg oral tablet","ADDED"
"9003286","nabumetone 500 mg oral tablet","ADDED"
"9003303","capecitabine 150 mg oral tablet","ADDED"
"9003304","capecitabine 500 mg oral tablet","ADDED"
"9003330","mycophenolate mofetil 500 mg oral tablet","ADDED"
"9003333","raloxifene hydrochloride 60 mg oral tablet","ADDED"
"9003383","orlistat 120 mg oral capsule","ADDED"
"9003424","clobetasone butyrate 0.05 % cutaneous cream","ADDED"
"9003442","mycophenolate mofetil (mycophenolate mofetil hydrochloride) 500 mg per vial powder for solution for injection","ADDED"
"9003505","anethole trithione 25 mg oral tablet","ADDED"
"9003526","loxapine (loxapine succinate) 2.5 mg oral tablet","ADDED"
"9003529","basiliximab 20 mg per vial powder for solution for injection","ADDED"
"9003589","hydroquinone 4 % cutaneous cream","ADDED"
"9003665","floctafenine 200 mg oral tablet","ADDED"
"9003666","floctafenine 400 mg oral tablet","ADDED"
"9003726","dimethicone 2 % lotion","ADDED"
"9003775","hydroquinone 4 % cutaneous gel","ADDED"
"9003782","acetaminophen 500 mg and doxylamine succinate 6.25 mg and pseudoephedrine hydrochloride 30 mg oral tablet","ADDED"
"9003820","enfuvirtide 108 mg per vial powder for solution for injection","ADDED"
"9003826","acetylsalicylic acid 162 mg gastro-resistant tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20030902"" -> ""20180802"""
"9003926","chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet","ADDED"
"9003934","cinacalcet (cinacalcet hydrochloride) 30 mg oral tablet","ADDED"
"9003935","cinacalcet (cinacalcet hydrochloride) 60 mg oral tablet","ADDED"
"9003936","cinacalcet (cinacalcet hydrochloride) 90 mg oral tablet","ADDED"
"9003972","voriconazole 200 mg oral tablet","ADDED"
"9003973","voriconazole 200 mg per vial powder for solution for injection","ADDED"
"9003974","voriconazole 50 mg oral tablet","ADDED"
"9003979","dimethicone 6 % cutaneous cream","ADDED"
"9003988","dimethicone 3 % wipe","ADDED"
"9004013","benzethonium chloride 0.2 % and benzocaine 20 % cutaneous spray","ADDED"
"9004015","dimethicone 1 % cutaneous ointment","ADDED"
"9004016","mycophenolic acid (mycophenolate sodium) 180 mg gastro-resistant tablet","ADDED"
"9004017","mycophenolic acid (mycophenolate sodium) 360 mg gastro-resistant tablet","ADDED"
"9004067","erlotinib (erlotinib hydrochloride) 100 mg oral tablet","ADDED"
"9004068","erlotinib (erlotinib hydrochloride) 150 mg oral tablet","ADDED"
"9004095","eflornithine hydrochloride 13.9 % cutaneous cream","ADDED"
"9004196","abatacept 250 mg per vial powder for solution for injection","ADDED"
"9004198","acetylsalicylic acid 81 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20060815"" -> ""20180802"""
"9004200","dextromethorphan hydrobromide 5 mg and phenylephrine hydrochloride 2.5 mg orodispersible tablet","ADDED"
"9004205","acetaminophen 250 mg and guaifenesin 100 mg and phenylephrine hydrochloride 5 mg oral tablet","ntp_status_effective_time: ""20170727"" -> ""20180727"""
"9004213","rasagiline (rasagiline mesylate) 0.5 mg oral tablet","ADDED"
"9004214","rasagiline (rasagiline mesylate) 1 mg oral tablet","ADDED"
"9004226","deferasirox 125 mg dispersible oral tablet","ADDED"
"9004227","deferasirox 250 mg dispersible oral tablet","ADDED"
"9004228","deferasirox 500 mg dispersible oral tablet","ADDED"
"9004236","alglucosidase alfa 50 mg per vial powder for solution for injection","ADDED"
"9004241","telbivudine 600 mg oral tablet","ADDED"
"9004246","erlotinib (erlotinib hydrochloride) 25 mg oral tablet","ADDED"
"9004332","aprepitant 125 mg oral capsule","ADDED"
"9004333","aprepitant 80 mg oral capsule","ADDED"
"9004425","dimethicone 5 % cutaneous cream","ADDED"
"9004575","nimodipine 30 mg oral tablet","ADDED"
"9004593","dronedarone (dronedarone hydrochloride) 400 mg oral tablet","ADDED"
"9004618","azacitidine 100 mg per vial powder for suspension for injection","ADDED"
"9004628","everolimus 10 mg oral tablet","ADDED"
"9004634","chlorpheniramine maleate 1 mg per 5 mL and ibuprofen 100 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL oral suspension","ADDED"
"9004667","everolimus 5 mg oral tablet","ADDED"
"9004680","canakinumab 150 mg per vial powder for solution for injection","ADDED"
"9004728","prasugrel (prasugrel hydrochloride) 10 mg oral tablet","ADDED"
"9004776","febuxostat 80 mg oral tablet","ADDED"
"9004790","alitretinoin 30 mg oral capsule","ADDED"
"9004807","diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule","ADDED"
"9004810","alitretinoin 10 mg oral capsule","ADDED"
"9004861","fosaprepitant (fosaprepitant dimeglumine) 150 mg per vial powder for solution for injection","ADDED"
"9004870","tobramycin 28 mg inhalation powder capsule","ADDED"
"9004897","abiraterone acetate 250 mg oral tablet","ADDED"
"9004904","everolimus 2.5 mg oral tablet","ADDED"
"9004915","belimumab 120 mg per vial powder for solution for injection","ADDED"
"9004916","belimumab 400 mg per vial powder for solution for injection","ADDED"
"9004918","rufinamide 200 mg oral tablet","ADDED"
"9004921","rufinamide 400 mg oral tablet","ADDED"
"9004943","rufinamide 100 mg oral tablet","ADDED"
"9004949","diphenhydramine citrate 38 mg and ibuprofen 200 mg oral tablet","ADDED"
"9004965","dimethicone 50 % cutaneous solution","ADDED"
"9004991","fampridine 10 mg prolonged-release oral tablet","ADDED"
"9005038","crizotinib 200 mg oral capsule","ADDED"
"9005039","crizotinib 250 mg oral capsule","ADDED"
"9005084","axitinib 1 mg oral tablet","ADDED"
"9005085","axitinib 5 mg oral tablet","ADDED"
"9005100","enalaprilat 1.25 mg per 1 mL solution for injection vial","ADDED"
"9005103","bendamustine hydrochloride 100 mg per vial powder for solution for injection","ADDED"
"9005104","bendamustine hydrochloride 25 mg per vial powder for solution for injection","ADDED"
"9005130","ensulizole 3 % cutaneous emulsion","ADDED"
"9005187","brentuximab vedotin 50 mg per vial powder for solution for injection","ADDED"
"9005262","enzalutamide 40 mg oral capsule","ADDED"
"9005313","dabrafenib (dabrafenib mesylate) 50 mg oral capsule","ADDED"
"9005314","dabrafenib (dabrafenib mesylate) 75 mg oral capsule","ADDED"
"9005367","teriflunomide 14 mg oral tablet","ADDED"
"9005397","macitentan 10 mg oral tablet","ADDED"
"9005402","afatinib (afatinib dimaleate) 20 mg oral tablet","ADDED"
"9005403","afatinib (afatinib dimaleate) 30 mg oral tablet","ADDED"
"9005404","afatinib (afatinib dimaleate) 40 mg oral tablet","ADDED"
"9005476","bosutinib 500 mg oral tablet","ADDED"
"9005500","bosutinib 100 mg oral tablet","ADDED"
"9005558","dextromethorphan hydrobromide 5 mg per 5 mL and phenylephrine hydrochloride 2.5 mg per 5 mL syrup","ADDED"
