mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
"02245689","LANTUS (insulin glargine 100 unit per mL solution for injection 10 mL vial) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20020724","DIN","02245689","LANTUS"
"02251930","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20060504","DIN","02251930","LANTUS"
"02444844","BASAGLAR (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) ELI LILLY CANADA INC","NA","NA","Active","20151218","DIN","02444844","BASAGLAR"
"02294338","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL pen) SANOFI-AVENTIS CANADA INC","NA","NA","Active","20070924","DIN","02294338","LANTUS"
"02444852","BASAGLAR KWIKPEN - 60 UNITS PER INJECTION DELIVERY (insulin glargine 100 unit per mL solution for injection 3 mL pen) ELI LILLY CANADA INC","NA","NA","Active","20151218","DIN","02444852","BASAGLAR"
"77700094","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180223","CCDD","02246953","AMIODARONE FOR INJECTION 50MG/ML"
"77700080","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"02374684","AMIODARONE SYRINGE (amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe) SANDOZ CANADA INCORPORATED","NA","NA","Active","20150812","DIN","02374684","AMIODARONE SYRINGE"
"77700081","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"77700095","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180223","CCDD","02246953","AMIODARONE FOR INJECTION 50MG/ML"
"77700082","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","NA","Active","20000614","CCDD","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION"
"02245248","AMIODARONE HYDROCHLORIDE INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","NA","Active","20020423","DIN","02245248","AMIODARONE HYDROCHLORIDE INJECTION"
"77700371","RATIO-IPRATROPIUM UDV (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180518","CCDD","02097168","RATIO-IPRATROPIUM UDV"
"77700372","RATIO-IPRATROPIUM UDV (ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial) TEVA CANADA LIMITED","NA","NA","Inactive","20180518","CCDD","02097168","RATIO-IPRATROPIUM UDV"
"02231136","PMS-IPRATROPIUM (ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle) PHARMASCIENCE INC","NA","NA","Active","19970715","DIN","02231136","PMS-IPRATROPIUM"
"02231244","PMS-IPRATROPIUM (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) PHARMASCIENCE INC","NA","NA","Active","19971029","DIN","02231244","PMS-IPRATROPIUM"
"02231245","PMS-IPRATROPIUM (ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial) PHARMASCIENCE INC","NA","NA","Active","19971029","DIN","02231245","PMS-IPRATROPIUM"
"77700374","TEVA-IPRATROPIUM STERINEBS (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) TEVA CANADA LIMITED","NA","NA","Active","19980304","CCDD","02216221","TEVA-IPRATROPIUM STERINEBS"
"77700375","TEVA-IPRATROPIUM STERINEBS (ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial) TEVA CANADA LIMITED","NA","NA","Active","19980304","CCDD","02216221","TEVA-IPRATROPIUM STERINEBS"
"77700361","MYLAN-IPRATROPIUM SOLUTION (ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle) MYLAN PHARMACEUTICALS ULC","NA","NA","Active","19981204","CCDD","02239131","MYLAN-IPRATROPIUM SOLUTION"
"77700360","MYLAN-IPRATROPIUM SOLUTION (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) MYLAN PHARMACEUTICALS ULC","NA","NA","Active","19981204","CCDD","02239131","MYLAN-IPRATROPIUM SOLUTION"
