mp_code,mp_formal_name,changes
"00013617","OVOL DROPS 40MG (simethicone 40 mg per mL oral drops) CHURCH & DWIGHT CANADA CORP","ADDED"
"00030600","SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","mp_formal_name: ""SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC"" -> ""SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC"""
"00030619","SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","mp_formal_name: ""SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC"" -> ""SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC"""
"00030627","SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","mp_formal_name: ""SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC"" -> ""SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC"""
"00030635","SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","mp_formal_name: ""SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA INC"" -> ""SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC"""
"00030678","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA INC","mp_formal_name: ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA INC"" -> ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA ULC"""
"00036137","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection with diluent solution) PFIZER CANADA INC","mp_formal_name: ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection with diluent solution) PFIZER CANADA INC"" -> ""SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection with diluent solution) PFIZER CANADA ULC"""
"00050466","METHYLENE BLEU LIQ 1% (methylene blue 10 mg per mL oral solution) LABORATOIRE ATLAS INC","ADDED"
"00050474","METHYLENE BLEU LIQ 2% (methylene blue 20 mg per mL oral solution) LABORATOIRE ATLAS INC","ADDED"
"00050857","GENTIANE VIOLET LIQ TOP (gentian violet 1 % cutaneous solution) LABORATOIRE ATLAS INC","ADDED"
"00221570","CERUMOL (chlorobutanol 5 % and dichlorobenzene 2 % and oil of turpentine 10 % and peanut oil 57 % otic drops) THORNTON & ROSS LTD","ADDED"
"00292990","OVOL FOR GAS 80 MG TABLET (simethicone 80 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00297143","LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO","mp_formal_name: ""LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO"" -> ""LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) ALLERGAN INC"""
"00299405","PRED MILD 0.12% (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC","Health_Canada_product_name: ""PRED MILD 0.12%"" -> ""PRED MILD""
mp_formal_name: ""PRED MILD 0.12% (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC"" -> ""PRED MILD (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC"""
"00315966","MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO","mp_formal_name: ""MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO"" -> ""MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) ALLERGAN INC"""
"00318736","PROSTIN F2 ALPHA (dinoprost (dinoprost tromethamine) 5 mg per 1 mL solution for injection ampoule) PFIZER CANADA ULC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19741231"" -> ""20180930"""
"00343838","MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","mp_formal_name: ""MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO"" -> ""MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) ALLERGAN INC"""
"00353027","LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","mp_formal_name: ""LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO"" -> ""LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) ALLERGAN INC"""
"00402516","DDAVP RHINYLE (desmopressin acetate 0.1 mg per mL nasal drops) FERRING INC","ADDED"
"00443832","DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL oral solution) BGP PHARMA ULC","mp_formal_name: ""DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL oral solution) BGP PHARMA ULC"" -> ""DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL syrup) BGP PHARMA ULC"""
"00471526","DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","mp_formal_name: ""DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA INC"" -> ""DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC"""
"00489867","DORMIPHEN EXTRA-FORT CAPSULE (diphenhydramine hydrochloride 50 mg oral capsule) LABORATOIRE LALCO INC.","ADDED"
"00505005","FLUORESCITE (fluorescein (fluorescein sodium) 100 mg per mL solution for injection 5 mL vial) ALCON CANADA INC","ADDED"
"00507415","DAN-GARD (pyrithione zinc 2 % shampoo) VALEO PHARMA INC","ADDED"
"00545279","FRIAR'S BALSAM BENZOIN TINCTURE (aloe 0.02 g per mL and benzoin 0.1 g per mL and myroxylon balsamum 0.04 g per mL and storax 0.08 g per mL inhalation solution) TEVA CANADA LIMITED","ADDED"
"00549703","ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC","mp_formal_name: ""ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC"" -> ""ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH (acetaminophen 500 mg oral tablet) CELLCHEM PHARMACEUTICALS INC."""
"00556734","VERMOX TABLETS 100 MG (mebendazole 100 mg oral tablet) JANSSEN INC","Health_Canada_product_name: ""VERMOX TABLETS 100 MG"" -> ""VERMOX""
mp_formal_name: ""VERMOX TABLETS 100 MG (mebendazole 100 mg oral tablet) JANSSEN INC"" -> ""VERMOX (mebendazole 100 mg oral tablet) JANSSEN INC"""
"00583332","EXTRA STRENGTH NYTOL TAB 50MG (diphenhydramine hydrochloride 50 mg oral tablet) MEDTECH PRODUCTS INC","ADDED"
"00596612","DIPHENHYDRAMINE HYDROCHLORIDE INJECTION USP (diphenhydramine hydrochloride 50 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
"00598208","PODOFILM LIQ 250MG/ML (podophyllin 25 % cutaneous solution) PALADIN LABS INC","ADDED"
"00609900","RINCE BOUCHE ANTISEPTIQUE (cetylpyridinium chloride 0.05 % mouthwash) LABORATOIRE ATLAS INC","ADDED"
"00628131","APO-AMOXI PWR FOR SUSP 125MG/5ML (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC","Health_Canada_product_name: ""APO-AMOXI PWR FOR SUSP 125MG/5ML"" -> ""APO-AMOXI""
mp_formal_name: ""APO-AMOXI PWR FOR SUSP 125MG/5ML (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC"" -> ""APO-AMOXI (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC"""
"00628158","APO-AMOXI PWR FOR SUSP 250MG/5ML (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC","Health_Canada_product_name: ""APO-AMOXI PWR FOR SUSP 250MG/5ML"" -> ""APO-AMOXI""
mp_formal_name: ""APO-AMOXI PWR FOR SUSP 250MG/5ML (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC"" -> ""APO-AMOXI (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC"""
"00692689","APO-THEO-LA SRT 100MG (theophylline 100 mg prolonged-release oral tablet) APOTEX INC","Health_Canada_product_name: ""APO-THEO-LA SRT 100MG"" -> ""APO-THEO LA""
mp_formal_name: ""APO-THEO-LA SRT 100MG (theophylline 100 mg prolonged-release oral tablet) APOTEX INC"" -> ""APO-THEO LA (theophylline 100 mg prolonged-release oral tablet) APOTEX INC"""
