mp_code,mp_formal_name,changes
"00021288","TEVA-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""NOVO-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED"" -> ""TEVA-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED"""
"00115630","LIBRAX (chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg oral capsule) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""LIBRAX (chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIBRAX (chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg oral capsule) BAUSCH HEALTH, CANADA INC."""
"00116815","DIOVOL PLUS SUSPENSION (aluminum hydroxide 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP","ADDED"
"00116882","DIOVOL PLUS TABLETS (aluminum magnesium hydroxide carbonate 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00236683","CARBOLITH (lithium carbonate 300 mg oral capsule) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""CARBOLITH (lithium carbonate 300 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CARBOLITH (lithium carbonate 300 mg oral capsule) BAUSCH HEALTH, CANADA INC."""
"00280437","CORTISONE ACETATE (cortisone acetate 25 mg oral tablet) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""CORTISONE ACETATE TAB 25MG (cortisone acetate 25 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CORTISONE ACETATE (cortisone acetate 25 mg oral tablet) BAUSCH HEALTH, CANADA INC."""
"00294748","CALCIUM CHLORIDE INJECTION USP (calcium chloride 1000 mg per 10 mL solution for injection syringe) PFIZER CANADA ULC","ADDED"
"00363014","PROCTOFOAM HC (hydrocortisone acetate 1 % and pramoxine hydrochloride 1 % rectal foam) DUCHESNAY INC","ADDED"
"00391603","NOVO-PEN VK SYR 500000/5ML (penicillin V potassium 300 mg per 5 mL powder for oral solution) NOVOPHARM LIMITED","mp_formal_name: ""NOVO-PEN VK SYR 500000/5ML (penicillin v potassium 300 mg per 5 mL powder for oral solution) NOVOPHARM LIMITED"" -> ""NOVO-PEN VK SYR 500000/5ML (penicillin V potassium 300 mg per 5 mL powder for oral solution) NOVOPHARM LIMITED""
ntp_formal_name: ""penicillin v potassium 300 mg per 5 mL powder for oral solution"" -> ""penicillin V potassium 300 mg per 5 mL powder for oral solution""
tm_formal_name: ""penicillin v"" -> ""penicillin V"""
"00461733","CARBOLITH (lithium carbonate 150 mg oral capsule) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""CARBOLITH (lithium carbonate 150 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CARBOLITH (lithium carbonate 150 mg oral capsule) BAUSCH HEALTH, CANADA INC."""
"00642215","PEN-VK (penicillin V potassium 300 mg oral tablet) AA PHARMA INC","mp_formal_name: ""PEN-VK (penicillin v potassium 300 mg oral tablet) AA PHARMA INC"" -> ""PEN-VK (penicillin V potassium 300 mg oral tablet) AA PHARMA INC""
ntp_formal_name: ""penicillin v potassium 300 mg oral tablet"" -> ""penicillin V potassium 300 mg oral tablet""
tm_formal_name: ""penicillin v"" -> ""penicillin V"""
"00642223","APO PEN VK (penicillin V potassium 125 mg per 5 mL powder for oral solution) APOTEX INC","mp_formal_name: ""APO PEN VK (penicillin v potassium 125 mg per 5 mL powder for oral solution) APOTEX INC"" -> ""APO PEN VK (penicillin V potassium 125 mg per 5 mL powder for oral solution) APOTEX INC""
ntp_formal_name: ""penicillin v potassium 125 mg per 5 mL powder for oral solution"" -> ""penicillin V potassium 125 mg per 5 mL powder for oral solution""
tm_formal_name: ""penicillin v"" -> ""penicillin V"""
"00642231","APO PEN VK (penicillin V potassium 300 mg per 5 mL powder for oral solution) APOTEX INC","mp_formal_name: ""APO PEN VK (penicillin v potassium 300 mg per 5 mL powder for oral solution) APOTEX INC"" -> ""APO PEN VK (penicillin V potassium 300 mg per 5 mL powder for oral solution) APOTEX INC""
ntp_formal_name: ""penicillin v potassium 300 mg per 5 mL powder for oral solution"" -> ""penicillin V potassium 300 mg per 5 mL powder for oral solution""
tm_formal_name: ""penicillin v"" -> ""penicillin V"""
"00770957","PRAMOX HC CREAM (hydrocortisone (hydrocortisone acetate) 1 % and pramoxine hydrochloride 1 % cutaneous cream) DERMTEK PHARMA INC","ADDED"
"00869961","MESTINON (pyridostigmine bromide 60 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C.","mp_formal_name: ""MESTINON TAB 60MG USP (pyridostigmine bromide 60 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""MESTINON (pyridostigmine bromide 60 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C."""
"00887056","NAPROXEN-NA (naproxen sodium 275 mg oral tablet) PRO DOC LIMITEE","DELETED"
"00887064","DOXYTAB (doxycycline (doxycycline hyclate) 100 mg oral tablet) PRO DOC LIMITEE","mp_formal_name: ""DOXYTAB 100MG (doxycycline (doxycycline hyclate) 100 mg oral tablet) PRO DOC LIMITEE"" -> ""DOXYTAB (doxycycline (doxycycline hyclate) 100 mg oral tablet) PRO DOC LIMITEE"""
"01914022","UROCIT-K (potassium citrate 5 mEq prolonged-release oral tablet) MISSION PHARMACAL COMPANY","ADDED"
"01916947","BACTROBAN (mupirocin 2 % cutaneous ointment) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","DELETED"
"01954210","PRAMOX HC LOTION (hydrocortisone (hydrocortisone acetate) 1 % and pramoxine hydrochloride 1 % lotion) DERMTEK PHARMA INC","ADDED"
"02011239","CARBOLITH (lithium carbonate 600 mg oral capsule) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""CARBOLITH (lithium carbonate 600 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CARBOLITH (lithium carbonate 600 mg oral capsule) BAUSCH HEALTH, CANADA INC."""
"02046733","PULMOZYME 1MG/ML (dornase alfa 2.5 mg per 2.5 mL inhalation solution unit dose vial) HOFFMANN-LA ROCHE LIMITED","mp_formal_name: ""PULMOZYME 1MG/ML (dornase alfa 2.5 mg per 2.5 mL inhalation solution ampoule) HOFFMANN-LA ROCHE LIMITED"" -> ""PULMOZYME 1MG/ML (dornase alfa 2.5 mg per 2.5 mL inhalation solution unit dose vial) HOFFMANN-LA ROCHE LIMITED""
ntp_code: ""9012962"" -> ""9013957""
ntp_formal_name: ""dornase alfa 2.5 mg per 2.5 mL inhalation solution ampoule"" -> ""dornase alfa 2.5 mg per 2.5 mL inhalation solution unit dose vial"""
"02142775","ROBITUSSIN EXTRA STRENGTH COUGH CONTROL (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL syrup) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","mp_formal_name: ""ROBITUSSIN COUGH CONTROL EXTRA STRENGTH (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL syrup) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBITUSSIN EXTRA STRENGTH COUGH CONTROL (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL syrup) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"""
