mp_code,mp_formal_name,mp_fr_description,changes
"00003875","DULCOLAX (bisacodyl 10 mg suppository) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","mp_formal_name: ""DULCOLAX (bisacodyl 10 mg suppository) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 10 mg suppository) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC""
mp_fr_description: ""DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"""
"00016055","CUPRIMINE (penicillamine 250 mg oral capsule) BAUSCH HEALTH, CANADA INC.","CUPRIMINE (pénicillamine 250 mg capsule orale) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""CUPRIMINE (penicillamine 250 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CUPRIMINE (penicillamine 250 mg oral capsule) BAUSCH HEALTH, CANADA INC.""
mp_fr_description: ""CUPRIMINE (pénicillamine 250 mg capsule orale) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CUPRIMINE (pénicillamine 250 mg capsule orale) BAUSCH HEALTH, CANADA INC."""
"00254142","DULCOLAX (bisacodyl 5 mg gastro-resistant tablet) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","mp_formal_name: ""DULCOLAX (bisacodyl 5 mg gastro-resistant tablet) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 5 mg gastro-resistant tablet) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC""
mp_fr_description: ""DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI-AVENTIS CANADA INC"" -> ""DULCOLAX (bisacodyl 5 mg comprimé gastrorésistant) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"""
"00369810","TEGRETOL CHEWTABS 100 MG (carbamazepine 100 mg chewable tablet) NOVARTIS PHARMACEUTICALS CANADA INC","TEGRETOL CHEWTABS 100 MG (carbamazépine 100 mg comprimé à croquer) NOVARTIS PHARMACEUTICALS CANADA INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19851231"" -> ""20170927"""
"00443794","RETIN-A (tretinoin 0.05 % cutaneous cream) BAUSCH HEALTH, CANADA INC.","RETIN-A (trétinoïne 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""RETIN-A (tretinoin 0.05 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (tretinoin 0.05 % cutaneous cream) BAUSCH HEALTH, CANADA INC.""
mp_fr_description: ""RETIN-A (trétinoïne 0,05 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (trétinoïne 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"00443816","RETIN-A (tretinoin 0.025 % cutaneous gel) BAUSCH HEALTH, CANADA INC.","RETIN-A (trétinoïne 0,025 % gel cutané) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""RETIN-A (tretinoin 0.025 % cutaneous gel) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (tretinoin 0.025 % cutaneous gel) BAUSCH HEALTH, CANADA INC.""
mp_fr_description: ""RETIN-A (trétinoïne 0,025 % gel cutané) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""RETIN-A (trétinoïne 0,025 % gel cutané) BAUSCH HEALTH, CANADA INC."""
"00476714","PYRIDIUM 100MG (phenazopyridine hydrochloride 100 mg oral tablet) ERFA CANADA 2012 INC","PYRIDIUM 100MG (chlorhydrate de phénazopyridine 100 mg comprimé oral) ERFA CANADA 2012 INC","ADDED"
"00566810","HYDROPHIL ONT (mineral oil heavy 64.5 % and urea 5 % cutaneous ointment) OMEGA LABORATORIES LTD","HYDROPHIL ONT (huile minérale lourde 64,5 % et urée 5 % pommade cutanée) OMEGA LABORATORIES LTD","ADDED"
"00616192","VEPESID (etoposide 50 mg oral capsule) CHEPLAPHARM ARZNEIMITTEL GMBH","VEPESID (étoposide 50 mg capsule orale) CHEPLAPHARM ARZNEIMITTEL GMBH","mp_formal_name: ""VEPESID (etoposide 50 mg oral capsule) BRISTOL-MYERS SQUIBB CANADA"" -> ""VEPESID (etoposide 50 mg oral capsule) CHEPLAPHARM ARZNEIMITTEL GMBH""
mp_fr_description: ""VEPESID (étoposide 50 mg capsule orale) BRISTOL-MYERS SQUIBB CANADA"" -> ""VEPESID (étoposide 50 mg capsule orale) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"00688622","DIPROLENE (betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream) MERCK CANADA INC","DIPROLENE (bétaméthasone (dipropionate de bétaméthasone) 0,05 % crème cutanée) MERCK CANADA INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19871231"" -> ""20190628"""
