ntp_code,ntp_formal_name,ntp_fr_description,changes
"9000396","acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet","acétaminophène 325 mg et chlorhydrate d'oxycodone 2,5 mg comprimé oral","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19921231"" -> ""20171013"""
"9001304","hydromorphone hydrochloride 16 mg prolonged-release oral tablet","chlorhydrate d'hydromorphone 16 mg comprimé oral à libération prolongée","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20100304"" -> ""20181031"""
"9001305","hydromorphone hydrochloride 32 mg prolonged-release oral tablet","chlorhydrate d'hydromorphone 32 mg comprimé oral à libération prolongée","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20100304"" -> ""20181031"""
"9001307","hydromorphone hydrochloride 8 mg prolonged-release oral tablet","chlorhydrate d'hydromorphone 8 mg comprimé oral à libération prolongée","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20100304"" -> ""20181031"""
"9001515","lidocaine hydrochloride 20 mg per mL cutaneous gel","chlorhydrate de lidocaïne 20 mg par mL gel cutané","ADDED"
"9001703","phenazopyridine hydrochloride 100 mg oral tablet","chlorhydrate de phénazopyridine 100 mg comprimé oral","ADDED"
"9002717","sulfacetamide sodium 10 % ophthalmic drops","sulfacétamide sodique 10 % gouttes ophtalmiques","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19941231"" -> ""20191004"""
"9005208","calcium chloride 7.45 g per vial powder for concentrate for solution for haemodialysis","chlorure de calcium 7,45 g par fiole poudre pour solution à diluer pour solution pour hémodialyse","ADDED"
"9005319","arsenic trioxide 1 mg per mL solution for injection","trioxyde d'arsénic 1 mg par mL solution injectable","ADDED"
"9005659","benzoyl peroxide 2.5 % kit","peroxyde de benzoyle 2,5 % kit","ADDED"
"9005762","benzoyl peroxide 5 % kit","peroxyde de benzoyle 5 % kit","ADDED"
"9006256","benztropine mesylate 2 mg per 5 mL oral solution","mésylate de benztropine 2 mg par 5 mL solution orale","ntp_status_effective_time: ""20170803"" -> ""20191016"""
"9013032","alprostadil 20 mcg per vial powder for solution for injection","alprostadil 20 mcg par fiole poudre pour solution injectable","ADDED"
"9013128","follitropin alfa 1050 unit per vial powder for solution for injection with diluent solution syringe","follitropine alfa 1050 unité par fiole poudre pour solution injectable avec solution diluante seringue","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20031230"" -> ""20190430"""
"9013271","calcium chloride 14.9 g per bottle powder for concentrate for solution for haemodialysis","chlorure de calcium 14,9 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse","ADDED"
"9013272","calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis","chlorure de calcium 7,45 g par bouteille poudre pour solution à diluer pour solution pour hémodialyse","ADDED"
"9013602","pyrithione zinc 0.95 % shampoo","pyrithione zincique 0,95 % shampoing","ADDED"
"9013986","polyethylene glycol 3350 17 g powder for oral solution","polyéthylèneglycol 3350 17 g poudre pour solution orale","ADDED"
"9014171","heparin sodium 1000 unit per 10 mL NA vial","héparine sodique 1000 unité par 10 mL NA fiole","ADDED"
"9014202","dupilumab 200 mg per 1.14 mL solution for injection syringe","dupilumab 200 mg par 1,14 mL solution injectable seringue","ADDED"
"9014203","edaravone 30 mg per 100 mL solution for injection bag","édavarone 30 mg par 100 mL solution injectable sac","ADDED"
"9014204","erdafitinib 3 mg oral tablet","erdafitinib 3 mg comprimé oral","ADDED"
"9014205","erdafitinib 4 mg oral tablet","erdafitinib 4 mg comprimé oral","ADDED"
"9014206","erdafitinib 5 mg oral tablet","erdafitinib 5 mg comprimé oral","ADDED"
"9014207","glucagon 3 mg per actuation nasal powder","glucagon 3 mg par actionnement poudre nasale","ADDED"
"9014208","mepolizumab 100 mg per mL solution for injection","mépolizumab 100 mg par mL solution injectable","ADDED"
"9014209","mineral oil heavy 64.5 % and urea 5 % cutaneous ointment","huile minérale lourde 64,5 % et urée 5 % pommade cutanée","ADDED"
"9014210","neratinib (neratinib maleate) 40 mg oral tablet","nératinib (maléate de nératinib) 40 mg comprimé oral","ADDED"
"9014212","rituximab 100 mg per 10 mL solution for injection","rituximab 100 mg par 10 mL solution injectable","ADDED"
"9014213","rituximab 500 mg per 50 mL solution for injection","rituximab 500 mg par 50 mL solution injectable","ADDED"
"9014214","trastuzumab 440 mg per vial NA","trastuzumab 440 mg par fiole NA","ADDED"
