ntp_code,ntp_formal_name,ntp_fr_description,changes
"9000075","diazepam 5 mg oral tablet","diazépam 5 mg comprimé oral","ntp_status_effective_time: ""19741231"" -> ""19771231"""
"9000094","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet","acétaminophène 325 mg et chlorhydrate d'oxycodone 5 mg comprimé oral","ntp_status_effective_time: ""19771231"" -> ""19841231"""
"9000212","morphine sulfate 5 mg per mL syrup","sulfate de morphine 5 mg par mL sirop","DELETED"
"9000458","carbidopa 25 mg and levodopa 100 mg prolonged-release oral tablet","carbidopa 25 mg et lévodopa 100 mg comprimé oral à libération prolongée","ntp_status_effective_time: ""19931231"" -> ""20090204"""
"9000492","risperidone 4 mg oral tablet","rispéridone 4 mg comprimé oral","ntp_status_effective_time: ""19931231"" -> ""20060705"""
"9001306","hydromorphone hydrochloride 4 mg prolonged-release oral tablet","chlorhydrate d'hydromorphone 4 mg comprimé oral à libération prolongée","DELETED"
"9002356","diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution","chlorhydrate de diphenhydramine 12,5 mg par 5 mL solution orale","ntp_status_effective_time: ""19901231"" -> ""19911231"""
"9002896","stavudine 15 mg oral capsule","stavudine 15 mg capsule orale","DELETED"
"9003416","cefuroxime (cefuroxime axetil) 125 mg per 5 mL powder for oral solution","céfuroxime (céfuroxime axétil) 125 mg par 5 mL poudre pour solution orale","ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""19990913"" -> ""20200301"""
"9005073","temozolomide 180 mg oral capsule","témozolomide 180 mg capsule orale","DELETED"
"9006601","estradiol 45 mcg per 24 hour and levonorgestrel 15 mcg per 24 hour transdermal patch","estradiol 45 mcg par 24 heure et lévonorgestrel 15 mcg par 24 heure timbre transdermique","DELETED"
"9012578","methotrexate (methotrexate sodium) 15 mg per 1.5 mL solution for injection syringe","méthotrexate (méthotrexate sodique) 15 mg par 1,5 mL solution injectable seringue","DELETED"
"9014221","heparin sodium 1000 unit per 10 mL solution for injection vial","héparine sodique 1000 unité par 10 mL solution injectable fiole","ADDED"
"9014234","C1 esterase inhibitor human 2000 unit per vial powder for solution for injection with diluent solution","inhibiteur de la C1 estérase humaine 2000 unité par fiole poudre pour solution injectable avec solution diluante","ADDED"
"9014235","C1 esterase inhibitor human 3000 unit per vial powder for solution for injection with diluent solution","inhibiteur de la C1 estérase humaine 3000 unité par fiole poudre pour solution injectable avec solution diluante","ADDED"
"9014236","acetaminophen 500 mg per sachet and dextromethorphan hydrobromide 20 mg per sachet and phenylephrine hydrochloride 10 mg per sachet powder for oral solution","acétaminophène 500 mg par sachet et bromhydrate de dextrométhorphane 20 mg par sachet et chlorhydrate de phényléphrine 10 mg par sachet poudre pour solution orale","ADDED"
"9014238","buprenorphine 100 mg per 0.5 mL prolonged-release solution for injection syringe","buprénorphine 100 mg par 0,5 mL solution injectable à libération prolongée seringue","ADDED"
"9014239","buprenorphine 300 mg per 1.5 mL prolonged-release solution for injection syringe","buprénorphine 300 mg par 1,5 mL solution injectable à libération prolongée seringue","ADDED"
"9014240","carbetocin 100 mcg per 1 mL solution for injection syringe","carbétocine 100 mcg par 1 mL solution injectable seringue","ADDED"
"9014241","cefuroxime (cefuroxime axetil) 125 mg per 5 mL oral suspension","céfuroxime (céfuroxime axétil) 125 mg par 5 mL suspension orale","ADDED"
"9014242","diphenhydramine hydrochloride 2 % and zinc acetate 0.1 % cutaneous cream","chlorhydrate de diphenhydramine 2 % et acétate de zinc 0,1 % crème cutanée","ADDED"
"9014243","gilteritinib (gilteritinib fumarate) 40 mg oral tablet","giltéritinib (fumarate de giltéritinib) 40 mg comprimé oral","ADDED"
"9014244","icosapent ethyl 1 g oral capsule","icosapent éthyl 1 g capsule orale","ADDED"
"9014245","insulin glargine 300 unit per mL solution for injection 3 mL pen","insuline glargine 300 unité par mL solution injectable 3 mL stylo","ADDED"
"9014246","pyrithione zinc 0.3 % shampoo","pyrithione zincique 0,3 % shampoing","ADDED"
"9014247","ropivacaine hydrochloride 50 mg per 10 mL solution for injection ampoule","chlorhydrate de ropivacaïne 50 mg par 10 mL solution injectable ampoule","ADDED"
