mp_code,mp_formal_name,mp_fr_description,changes
"00013803","GRAVOL TABLETS (dimenhydrinate 50 mg oral tablet) CHURCH & DWIGHT CANADA CORP","GRAVOL TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP","Health_Canada_product_name: ""GRAVOL EASY TO SWALLOW TABLETS"" -> ""GRAVOL TABLETS""
mp_formal_name: ""GRAVOL EASY TO SWALLOW TABLETS (dimenhydrinate 50 mg oral tablet) CHURCH & DWIGHT CANADA CORP"" -> ""GRAVOL TABLETS (dimenhydrinate 50 mg oral tablet) CHURCH & DWIGHT CANADA CORP""
mp_fr_description: ""GRAVOL EASY TO SWALLOW TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP"" -> ""GRAVOL TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP"""
"00230197","KIDS GRAVOL LIQUID (dimenhydrinate 15 mg per 5 mL syrup) CHURCH & DWIGHT CANADA CORP","KIDS GRAVOL LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP","Health_Canada_product_name: ""GRAVOL KIDS LIQUID"" -> ""KIDS GRAVOL LIQUID""
mp_formal_name: ""GRAVOL KIDS LIQUID (dimenhydrinate 15 mg per 5 mL syrup) CHURCH & DWIGHT CANADA CORP"" -> ""KIDS GRAVOL LIQUID (dimenhydrinate 15 mg per 5 mL syrup) CHURCH & DWIGHT CANADA CORP""
mp_fr_description: ""GRAVOL KIDS LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP"" -> ""KIDS GRAVOL LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP"""
"00313580","DIAZEPAM 5 TAB (diazepam 5 mg oral tablet) PRO DOC LIMITEE","DIAZEPAM 5 TAB (diazépam 5 mg comprimé oral) PRO DOC LIMITEE","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19741231"" -> ""20170505"""
"00330582","EFUDEX (fluorouracil 5 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C.","EFUDEX (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C.","Health_Canada_product_name: ""EFUDEX CRM 5%"" -> ""EFUDEX""
mp_formal_name: ""EFUDEX CRM 5% (fluorouracil 5 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""EFUDEX (fluorouracil 5 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C.""
mp_fr_description: ""EFUDEX CRM 5% (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""EFUDEX (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."""
"00591475","STATEX SYRUP 5MG/ML (morphine sulfate 5 mg per mL syrup) PALADIN LABS INC","STATEX SYRUP 5MG/ML (sulfate de morphine 5 mg par mL sirop) PALADIN LABS INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19841231"" -> ""20180918"""
"00727520","HEPARIN LEO 100UNIT/ML (heparin sodium 1000 unit per 10 mL solution for injection vial) LEO PHARMA INC","HEPARIN LEO 100UNIT/ML (héparine sodique 1000 unité par 10 mL solution injectable fiole) LEO PHARMA INC","ADDED"
"00792705","PMS-DIPHENHYDRAMINE ELIXIR 2.5MG/ML (diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution) PHARMASCIENCE INC","PMS-DIPHENHYDRAMINE ELIXIR 2.5MG/ML (chlorhydrate de diphenhydramine 12,5 mg par 5 mL solution orale) PHARMASCIENCE INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19901231"" -> ""20180621"""
"00812366","CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % vaginal cream) TARO PHARMACEUTICALS INC","CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC","Health_Canada_product_name: ""CLOTRIMADERM VAG CREAM 1%"" -> ""CLOTRIMADERM VAGINAL 6""
mp_formal_name: ""CLOTRIMADERM VAG CREAM 1% (clotrimazole 1 % vaginal cream) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % vaginal cream) TARO PHARMACEUTICALS INC""
mp_fr_description: ""CLOTRIMADERM VAG CREAM 1% (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC"""
"00812374","CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % vaginal cream) TARO PHARMACEUTICALS INC","CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC","Health_Canada_product_name: ""CLOTRIMADERM VAG CREAM 2%"" -> ""CLOTRIMADERM VAGINAL 3""
mp_formal_name: ""CLOTRIMADERM VAG CREAM 2% (clotrimazole 2 % vaginal cream) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % vaginal cream) TARO PHARMACEUTICALS INC""
mp_fr_description: ""CLOTRIMADERM VAG CREAM 2% (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC"""
"01916475","PERCOCET (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA","PERCOCET (acétaminophène 325 mg et chlorhydrate d'oxycodone 5 mg comprimé oral) BRISTOL-MYERS SQUIBB CANADA","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19771231"" -> ""20170823"""
