mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00013803","GRAVOL TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 50 mg comprimé oral","dimenhydrinate","mp_fr_description: ""GRAVOL EASY TO SWALLOW TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP"" -> ""GRAVOL TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP"""
"00230197","KIDS GRAVOL LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 15 mg par 5 mL sirop","dimenhydrinate","mp_fr_description: ""GRAVOL KIDS LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP"" -> ""KIDS GRAVOL LIQUID (dimenhydrinate 15 mg par 5 mL sirop) CHURCH & DWIGHT CANADA CORP"""
"00330582","EFUDEX (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C.","fluorouracile 5 % crème cutanée","fluorouracile","mp_fr_description: ""EFUDEX CRM 5% (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""EFUDEX (fluorouracile 5 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."""
"00727520","HEPARIN LEO 100UNIT/ML (héparine sodique 1000 unité par 10 mL solution injectable fiole) LEO PHARMA INC","héparine sodique 1000 unité par 10 mL solution injectable fiole","héparine","ADDED"
"00812366","CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC","clotrimazole 1 % crème vaginale","clotrimazole","mp_fr_description: ""CLOTRIMADERM VAG CREAM 1% (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 6 (clotrimazole 1 % crème vaginale) TARO PHARMACEUTICALS INC"""
"00812374","CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC","clotrimazole 2 % crème vaginale","clotrimazole","mp_fr_description: ""CLOTRIMADERM VAG CREAM 2% (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC"" -> ""CLOTRIMADERM VAGINAL 3 (clotrimazole 2 % crème vaginale) TARO PHARMACEUTICALS INC"""
"02177102","FAMVIR (famciclovir 500 mg comprimé oral) ATNAHS PHARMA UK LIMITED","famciclovir 500 mg comprimé oral","famciclovir","mp_fr_description: ""FAMVIR TABLETS 500MG (famciclovir 500 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""FAMVIR (famciclovir 500 mg comprimé oral) ATNAHS PHARMA UK LIMITED"""
"02212307","CEFTIN (céfuroxime (céfuroxime axétil) 125 mg par 5 mL suspension orale) GLAXOSMITHKLINE INC","céfuroxime (céfuroxime axétil) 125 mg par 5 mL suspension orale","céfuroxime","mp_fr_description: ""CEFTIN - PWS 125MG/5ML (céfuroxime (céfuroxime axétil) 125 mg par 5 mL poudre pour solution orale) GLAXOSMITHKLINE INC"" -> ""CEFTIN (céfuroxime (céfuroxime axétil) 125 mg par 5 mL suspension orale) GLAXOSMITHKLINE INC""
ntp_code: ""9003416"" -> ""9014241""
ntp_fr_description: ""céfuroxime (céfuroxime axétil) 125 mg par 5 mL poudre pour solution orale"" -> ""céfuroxime (céfuroxime axétil) 125 mg par 5 mL suspension orale"""
"02216345","SALAGEN (chlorhydrate de pilocarpine 5 mg comprimé oral) PFIZER CANADA ULC","chlorhydrate de pilocarpine 5 mg comprimé oral","pilocarpine","mp_fr_description: ""SALAGEN TABLETS (chlorhydrate de pilocarpine 5 mg comprimé oral) PFIZER CANADA ULC"" -> ""SALAGEN (chlorhydrate de pilocarpine 5 mg comprimé oral) PFIZER CANADA ULC"""
"02229110","FAMVIR (famciclovir 125 mg comprimé oral) ATNAHS PHARMA UK LIMITED","famciclovir 125 mg comprimé oral","famciclovir","mp_fr_description: ""FAMVIR TABLETS 125MG (famciclovir 125 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""FAMVIR (famciclovir 125 mg comprimé oral) ATNAHS PHARMA UK LIMITED"""
"02229129","FAMVIR (famciclovir 250 mg comprimé oral) ATNAHS PHARMA UK LIMITED","famciclovir 250 mg comprimé oral","famciclovir","mp_fr_description: ""FAMVIR TABLETS 250MG (famciclovir 250 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""FAMVIR (famciclovir 250 mg comprimé oral) ATNAHS PHARMA UK LIMITED"""
"02230939","BUCKLEY'S NIGHTTIME COUGH & CONGESTION (chlorhydrate de diphenhydramine 12,5 mg par 5 mL et menthol 22 mg par 5 mL sirop) THE BUCKLEY'S COMPANY","chlorhydrate de diphenhydramine 12,5 mg par 5 mL et menthol 22 mg par 5 mL sirop","diphenhydramine et menthol","mp_fr_description: ""BUCKLEY'S NIGHT TIME MIXTURE (chlorhydrate de diphenhydramine 12,5 mg par 5 mL et menthol 22 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"" -> ""BUCKLEY'S NIGHTTIME COUGH & CONGESTION (chlorhydrate de diphenhydramine 12,5 mg par 5 mL et menthol 22 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"""
"02263866","ACT ETIDROCAL (calcium (carbonate de calcium) 500 mg comprimé oral avec étidronate disodique 400 mg comprimé oral) TEVA CANADA LIMITED","calcium (carbonate de calcium) 500 mg comprimé oral avec étidronate disodique 400 mg comprimé oral","carbonate de calcium et étidronate","mp_fr_description: ""ACT ETIDROCAL (calcium (carbonate de calcium) 500 mg comprimé oral avec étidronate disodique 400 mg comprimé oral) ACTAVIS PHARMA COMPANY"" -> ""ACT ETIDROCAL (calcium (carbonate de calcium) 500 mg comprimé oral avec étidronate disodique 400 mg comprimé oral) TEVA CANADA LIMITED"""
"02289164","BUCKLEY'S CHEST CONGESTION (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY","guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop","guaïfénésine et menthol","mp_fr_description: ""BUCKLEY'S COUGH CHEST CONGESTION (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"" -> ""BUCKLEY'S CHEST CONGESTION (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"""
"02302861","ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 15 mg comprimé oral) TEVA CANADA LIMITED","pioglitazone (chlorhydrate de pioglitazone) 15 mg comprimé oral","pioglitazone","mp_fr_description: ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 15 mg comprimé oral) ACTAVIS PHARMA COMPANY"" -> ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 15 mg comprimé oral) TEVA CANADA LIMITED"""
"02302888","ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 30 mg comprimé oral) TEVA CANADA LIMITED","pioglitazone (chlorhydrate de pioglitazone) 30 mg comprimé oral","pioglitazone","mp_fr_description: ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 30 mg comprimé oral) ACTAVIS PHARMA COMPANY"" -> ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 30 mg comprimé oral) TEVA CANADA LIMITED"""
"02302896","ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 45 mg comprimé oral) TEVA CANADA LIMITED","pioglitazone (chlorhydrate de pioglitazone) 45 mg comprimé oral","pioglitazone","mp_fr_description: ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 45 mg comprimé oral) ACTAVIS PHARMA COMPANY"" -> ""ACT PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 45 mg comprimé oral) TEVA CANADA LIMITED"""
"02303949","ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) PHARMASCIENCE INC","escitalopram (oxalate d'escitalopram) 10 mg comprimé oral","escitalopram","mp_fr_description: ""PMS-ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) PHARMASCIENCE INC"" -> ""ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) PHARMASCIENCE INC"""
"02303965","ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 20 mg comprimé oral) PHARMASCIENCE INC","escitalopram (oxalate d'escitalopram) 20 mg comprimé oral","escitalopram","mp_fr_description: ""PMS-ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 20 mg comprimé oral) PHARMASCIENCE INC"" -> ""ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 20 mg comprimé oral) PHARMASCIENCE INC"""
"02310503","TARO-RAMIPRIL (ramipril 1,25 mg capsule orale) SUN PHARMA CANADA INC","ramipril 1,25 mg capsule orale","ramipril","mp_fr_description: ""RAN-RAMIPRIL (ramipril 1,25 mg capsule orale) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-RAMIPRIL (ramipril 1,25 mg capsule orale) SUN PHARMA CANADA INC"""
"02310511","TARO-RAMIPRIL (ramipril 2,5 mg capsule orale) SUN PHARMA CANADA INC","ramipril 2,5 mg capsule orale","ramipril","mp_fr_description: ""RAN-RAMIPRIL (ramipril 2,5 mg capsule orale) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-RAMIPRIL (ramipril 2,5 mg capsule orale) SUN PHARMA CANADA INC"""
"02310538","TARO-RAMIPRIL (ramipril 5 mg capsule orale) SUN PHARMA CANADA INC","ramipril 5 mg capsule orale","ramipril","mp_fr_description: ""RAN-RAMIPRIL (ramipril 5 mg capsule orale) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-RAMIPRIL (ramipril 5 mg capsule orale) SUN PHARMA CANADA INC"""
"02310546","TARO-RAMIPRIL (ramipril 10 mg capsule orale) SUN PHARMA CANADA INC","ramipril 10 mg capsule orale","ramipril","mp_fr_description: ""RAN-RAMIPRIL (ramipril 10 mg capsule orale) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-RAMIPRIL (ramipril 10 mg capsule orale) SUN PHARMA CANADA INC"""
"02346451","BUCKLEY'S MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY","guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop","guaïfénésine et menthol","mp_fr_description: ""BUCKLEY'S COUGH, MUCOUS & PHLEGM (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"" -> ""BUCKLEY'S MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL et menthol 10 mg par 5 mL sirop) THE BUCKLEY'S COMPANY"""
"02357232","BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF (acétaminophène 325 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 20 mg par 5 mL solution orale) THE BUCKLEY'S COMPANY","acétaminophène 325 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 20 mg par 5 mL solution orale","acétaminophène et guaïfénésine et menthol","mp_fr_description: ""BUCKLEY'S COMPLETE PLUS MUCOUS RELIEF EXTRA STRENGTH (acétaminophène 325 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 20 mg par 5 mL solution orale) THE BUCKLEY'S COMPANY"" -> ""BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF (acétaminophène 325 mg par 5 mL et guaïfénésine 200 mg par 5 mL et menthol 20 mg par 5 mL solution orale) THE BUCKLEY'S COMPANY"""
"02384116","KIDS GRAVOL CHEWABLES (dimenhydrinate 15 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 15 mg comprimé à croquer","dimenhydrinate","mp_fr_description: ""GRAVOL KIDS QUICK DISSOLVE CHEWABLE (dimenhydrinate 15 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP"" -> ""KIDS GRAVOL CHEWABLES (dimenhydrinate 15 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP"""
"02384132","GRAVOL CHEWABLES (dimenhydrinate 50 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 50 mg comprimé à croquer","dimenhydrinate","mp_fr_description: ""GRAVOL QUICK DISSOLVE CHEWABLE (dimenhydrinate 50 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP"" -> ""GRAVOL CHEWABLES (dimenhydrinate 50 mg comprimé à croquer) CHURCH & DWIGHT CANADA CORP"""
"02388197","TARO-TRAMADOL/ACET (acétaminophène 325 mg et chlorhydrate de tramadol 37,5 mg comprimé oral) SUN PHARMA CANADA INC","acétaminophène 325 mg et chlorhydrate de tramadol 37,5 mg comprimé oral","acétaminophène et tramadol","mp_fr_description: ""RAN-TRAMADOL/ACET (acétaminophène 325 mg et chlorhydrate de tramadol 37,5 mg comprimé oral) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-TRAMADOL/ACET (acétaminophène 325 mg et chlorhydrate de tramadol 37,5 mg comprimé oral) SUN PHARMA CANADA INC"""
"02390183","ACT EXEMESTANE (exémestane 25 mg comprimé oral) TEVA CANADA LIMITED","exémestane 25 mg comprimé oral","exémestane","mp_fr_description: ""ACT EXEMESTANE (exémestane 25 mg comprimé oral) ACTAVIS PHARMA COMPANY"" -> ""ACT EXEMESTANE (exémestane 25 mg comprimé oral) TEVA CANADA LIMITED"""
"02402610","TARO-LANSOPRAZOLE (lansoprazole 15 mg capsule gastrorésistante) SUN PHARMA CANADA INC","lansoprazole 15 mg capsule gastrorésistante","lansoprazole","mp_fr_description: ""RAN-LANSOPRAZOLE (lansoprazole 15 mg capsule gastrorésistante) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-LANSOPRAZOLE (lansoprazole 15 mg capsule gastrorésistante) SUN PHARMA CANADA INC"""
"02402629","TARO-LANSOPRAZOLE (lansoprazole 30 mg capsule gastrorésistante) SUN PHARMA CANADA INC","lansoprazole 30 mg capsule gastrorésistante","lansoprazole","mp_fr_description: ""RAN-LANSOPRAZOLE (lansoprazole 30 mg capsule gastrorésistante) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-LANSOPRAZOLE (lansoprazole 30 mg capsule gastrorésistante) SUN PHARMA CANADA INC"""
"02425548","TARO-RAMIPRIL (ramipril 15 mg capsule orale) SUN PHARMA CANADA INC","ramipril 15 mg capsule orale","ramipril","mp_fr_description: ""RAN-RAMIPRIL (ramipril 15 mg capsule orale) RANBAXY PHARMACEUTICALS CANADA INC."" -> ""TARO-RAMIPRIL (ramipril 15 mg capsule orale) SUN PHARMA CANADA INC"""
"02434318","OTEZLA (apremilast 10 mg comprimé oral wtih apremilast 20 mg comprimé oral avec apremilast 30 mg comprimé oral) AMGEN CANADA INC","apremilast 10 mg comprimé oral avec apremilast 20 mg comprimé oral avec apremilast 30 mg comprimé oral","apremilast","mp_fr_description: ""OTEZLA (apremilast 10 mg comprimé oral wtih apremilast 20 mg comprimé oral avec apremilast 30 mg comprimé oral) CELGENE INC"" -> ""OTEZLA (apremilast 10 mg comprimé oral wtih apremilast 20 mg comprimé oral avec apremilast 30 mg comprimé oral) AMGEN CANADA INC"""
