tm_code,tm_formal_name,tm_fr_description,changes
"8001810","ingenol mebutate","mébutate d'ingénol","DELETED"
"8002266","risankizumab","risankizumab","DELETED"
"8000827","tobramycin","tobramycine","DELETED"
"8001257","dapagliflozin and metformin","dapagliflozine et metformine","DELETED"
"8002284","nonacog beta pegol","nonacog bêta pégol","DELETED"
"8001122","vandetanib","vandétanib","DELETED"
"8000334","ethinyl estradiol and norelgestromin","éthinylestradiol et norelgestromine","DELETED"
"8001715","cantharidin and podophyllin and salicylic acid","cantharidine et podophylline et acide salicylique","DELETED"
"8001552","aflibercept","aflibercept","DELETED"
"8001331","acetaminophen and dextromethorphan and doxylamine and pseudoephedrine","acétaminophène et dextrométhorphane et doxylamine et pseudoéphédrine","DELETED"
"8000137","dexamethasone sodium phosphate","phosphate de dexaméthasone sodique","DELETED"
"8000806","acetylsalicylic acid and caffeine and codeine","acide acétylsalicylique et caféine et codéine","DELETED"
"8001340","amantadine","amantadine","DELETED"
"8002221","carboxymethylcellulose and gelatin and pectin","carboxyméthylcellulose et gélatine et pectine","DELETED"
"8000986","tolvaptan","tolvaptan","DELETED"
"8001768","ergoloid mesylates","mésylates d'ergoloïdes","DELETED"
"8000110","acebutolol","acébutolol","DELETED"
"8001069","oxtriphylline","oxtriphylline","DELETED"
"8001288","memantine","mémantine","DELETED"
"8001653","floctafenine","floctafénine","DELETED"
"8001803","idarucizumab","idarucizumab","DELETED"
"8000254","venlafaxine","venlafaxine","DELETED"
"8001900","codeine and guaifenesin and pheniramine","codéine et guaïfénésine et phéniramine","DELETED"
"8000095","acyclovir","acyclovir","DELETED"
"8000154","amoxicillin and clavulanic acid","amoxicilline et acide clavulanique","DELETED"
"8002168","alpha tocopherol and retinol","alpha-tocophérol et rétinol","DELETED"
"8001127","brimonidine and brinzolamide","brimonidine et brinzolamide","DELETED"
"8001291","methylprednisolone acetate","acétate de méthylprednisolone","DELETED"
"8001349","chloramphenicol","chloramphénicol","DELETED"
"8001495","mefenamic acid","acide méfénamique","DELETED"
"8001271","fluvastatin","fluvastatine","DELETED"
"8001273","guanfacine","guanfacine","DELETED"
"8001709","calcium carbonate and etidronate","carbonate de calcium et étidronate","DELETED"
"8001774","filgrastim (conventional)","filgrastim (classique)","DELETED"
"8001368","dextromethorphan","dextrométhorphane","DELETED"
"8001315","lomitapide","lomitapide","DELETED"
"8000800","bisacodyl","bisacodyl","DELETED"
"8001739","daratumumab","daratumumab","DELETED"
"8001763","epinephrine and prilocaine","épinéphrine et prilocaïne","DELETED"
"8001929","sapropterin","saproptérine","DELETED"
"8000374","sitagliptin","sitagliptine","DELETED"
"8001951","taliglucerase alfa","taliglucérase alfa","DELETED"
"8001814","interferon beta-1a (conventional)","interféron bêta-1a (classique)","DELETED"
"8000046","allopurinol","allopurinol","DELETED"
"8001365","cyproheptadine","cyproheptadine","DELETED"
"8000045","oxycodone","oxycodone","DELETED"
"8000119","ethinyl estradiol and levonorgestrel","éthinylestradiol et lévonorgestrel","DELETED"
"8000915","levonorgestrel","lévonorgestrel","DELETED"
"8001923","rituximab","rituximab","DELETED"
"8001584","besifloxacin","bésifloxacine","DELETED"
"8001920","remifentanil","rémifentanil","DELETED"
"8000955","timolol and travoprost","timolol et travoprost","DELETED"
"8001256","dapagliflozin","dapagliflozine","DELETED"
"8001410","pamidronate","pamidronate","DELETED"
"8000238","clobazam","clobazam","DELETED"
"8001557","alemtuzumab","alemtuzumab","DELETED"
"8002073","polyvinyl alcohol","alcool polyvinylique","DELETED"
"8002123","glycerin and naphazoline","glycérine et naphazoline","DELETED"
"8002315","upadacitinib","upadacitinib","DELETED"
"8001537","tipiracil and trifluridine","tipiracil et trifluridine","DELETED"
"8001307","tretinoin","trétinoïne","DELETED"
"8001740","dasatinib","dasatinib","DELETED"
"8001440","benralizumab","benralizumab","DELETED"
"8001759","edoxaban","édoxaban","DELETED"
"8000891","naloxone","naloxone","DELETED"
"8001448","dantrolene","dantrolène","DELETED"
"8001827","lanthanum","lanthane","DELETED"
"8001916","pyridoxine","pyridoxine","DELETED"
"8001472","flupentixol","flupentixol","DELETED"
"8002127","glycerin and propylene glycol","glycérine et propylène glycol","DELETED"
"8000124","verapamil","vérapamil","DELETED"
"8000118","enalapril","énalapril","DELETED"
"8002065","pertuzumab and trastuzumab","pertuzumab et trastuzumab","DELETED"
"8001501","pemetrexed","pémétrexed","DELETED"
"8000786","pentazocine","pentazocine","DELETED"
"8001325","acetaminophen and dextromethorphan and diphenhydramine","acétaminophène et dextrométhorphane et diphenhydramine","DELETED"
"8001391","insulin human","insuline humaine","DELETED"
"8001786","gefitinib","géfitinib","DELETED"
