ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
"02496178","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) STERIMAX INC","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"00723770","XANAX (alprazolam 1 mg oral tablet) UPJOHN CANADA ULC","MP","500006","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""XANAX TAB 1MG (alprazolam 1 mg oral tablet) PFIZER CANADA ULC"" -> XANAX (alprazolam 1 mg oral tablet) UPJOHN CANADA ULC"
"02496186","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 50 mcg per mL solution for injection 50 mL vial) STERIMAX INC","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"02496151","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) STERIMAX INC","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"02393581","ACT NABILONE (nabilone 0.5 mg oral capsule) TEVA CANADA LIMITED","MP","500007","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""ACT NABILONE (nabilone 0.5 mg oral capsule) ACTAVIS PHARMA COMPANY"" -> ACT NABILONE (nabilone 0.5 mg oral capsule) TEVA CANADA LIMITED"
"02496186","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 50 mcg per mL solution for injection 50 mL vial) STERIMAX INC","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"02496151","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) STERIMAX INC","MP","500001","http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php","Active","20170919","ADDED"
"00813958","XANAX TS (alprazolam 2 mg oral tablet) UPJOHN CANADA ULC","MP","500006","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""XANAX TS (alprazolam 2 mg oral tablet) PFIZER CANADA ULC"" -> XANAX TS (alprazolam 2 mg oral tablet) UPJOHN CANADA ULC"
"02496178","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) STERIMAX INC","MP","500002","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ADDED"
"02393603","ACT NABILONE (nabilone 1 mg oral capsule) TEVA CANADA LIMITED","MP","500007","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""ACT NABILONE (nabilone 1 mg oral capsule) ACTAVIS PHARMA COMPANY"" -> ACT NABILONE (nabilone 1 mg oral capsule) TEVA CANADA LIMITED"
"00548359","XANAX (alprazolam 0.25 mg oral tablet) UPJOHN CANADA ULC","MP","500006","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""XANAX (alprazolam 0.25 mg oral tablet) PFIZER CANADA ULC"" -> XANAX (alprazolam 0.25 mg oral tablet) UPJOHN CANADA ULC"
"00548367","XANAX (alprazolam 0.5 mg oral tablet) UPJOHN CANADA ULC","MP","500006","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html","Active","20170919","ccdd_formal_name: ""XANAX TAB 0.5MG (alprazolam 0.5 mg oral tablet) PFIZER CANADA ULC"" -> XANAX (alprazolam 0.5 mg oral tablet) UPJOHN CANADA ULC"
