mp_code,mp_formal_name,changes
"00022772","DILANTIN (phenytoin sodium 30 mg oral capsule) UPJOHN CANADA ULC","mp_formal_name: ""DILANTIN (phenytoin sodium 30 mg oral capsule) PFIZER CANADA ULC"" -> ""DILANTIN (phenytoin sodium 30 mg oral capsule) UPJOHN CANADA ULC"""
"00022780","DILANTIN (phenytoin sodium 100 mg oral capsule) UPJOHN CANADA ULC","mp_formal_name: ""DILANTIN (phenytoin sodium 100 mg oral capsule) PFIZER CANADA ULC"" -> ""DILANTIN (phenytoin sodium 100 mg oral capsule) UPJOHN CANADA ULC"""
"00023442","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) UPJOHN CANADA ULC","mp_formal_name: ""DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA ULC"" -> ""DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) UPJOHN CANADA ULC"""
"00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) UPJOHN CANADA ULC","mp_formal_name: ""DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA ULC"" -> ""DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) UPJOHN CANADA ULC"""
"00023698","DILANTIN INFATABS (phenytoin 50 mg oral tablet) UPJOHN CANADA ULC","mp_formal_name: ""DILANTIN INFATABS (phenytoin 50 mg oral tablet) PFIZER CANADA ULC"" -> ""DILANTIN INFATABS (phenytoin 50 mg oral tablet) UPJOHN CANADA ULC"""
"00060410","OSMITROL INJECTION 10% (mannitol 10 % solution for injection 1000 mL bag) BAXTER CORPORATION","mp_formal_name: ""OSMITROL 10% INJ USP (mannitol 10 % solution for injection 1000 mL bag) BAXTER CORPORATION"" -> ""OSMITROL INJECTION 10% (mannitol 10 % solution for injection 1000 mL bag) BAXTER CORPORATION"""
"00060437","OSMITROL INJECTION 20% (mannitol 20 % solution for injection 500 mL bag) BAXTER CORPORATION","mp_formal_name: ""OSMITROL 20% INJ USP (mannitol 20 % solution for injection 500 mL bag) BAXTER CORPORATION"" -> ""OSMITROL INJECTION 20% (mannitol 20 % solution for injection 500 mL bag) BAXTER CORPORATION"""
"00299561","CREO-RECTAL ADULTES/ADULTS (camphor 5 mg and diphenylpyraline hydrochloride 1.5 mg and guaiacol carbonate 600 mg suppository) LABORATOIRES CONFAB INC","mp_formal_name: ""CREO-RECTAL ADULTE (camphor 5 mg and diphenylpyraline hydrochloride 1.5 mg and guaiacol carbonate 600 mg suppository) LABORATOIRES CONFAB INC"" -> ""CREO-RECTAL ADULTES/ADULTS (camphor 5 mg and diphenylpyraline hydrochloride 1.5 mg and guaiacol carbonate 600 mg suppository) LABORATOIRES CONFAB INC"""
"00548359","XANAX (alprazolam 0.25 mg oral tablet) UPJOHN CANADA ULC","mp_formal_name: ""XANAX (alprazolam 0.25 mg oral tablet) PFIZER CANADA ULC"" -> ""XANAX (alprazolam 0.25 mg oral tablet) UPJOHN CANADA ULC"""
"00548367","XANAX (alprazolam 0.5 mg oral tablet) UPJOHN CANADA ULC","mp_formal_name: ""XANAX TAB 0.5MG (alprazolam 0.5 mg oral tablet) PFIZER CANADA ULC"" -> ""XANAX (alprazolam 0.5 mg oral tablet) UPJOHN CANADA ULC"""
