mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00319716","DEMO-CINEOL ADULTES/ADULTS (camphre 40 mg et eucalyptol 370 mg et guaïacol 180 mg et carbonate de guaïacol 200 mg suppositoire) LABORATOIRES CONFAB INC","camphre 40 mg et eucalyptol 370 mg et guaïacol 180 mg et carbonate de guaïacol 200 mg suppositoire","camphre et eucalyptol et guaïacol","mp_fr_description: ""DEMO-CINEOL ADULTES/ADULTS (camphre 40 mg et eucalyptol 370 mg et guaïacol 180 mg et carbonate de guaïacol 200 mg suppositoire) SANDOZ CANADA INCORPORATED"" -> ""DEMO-CINEOL ADULTES/ADULTS (camphre 40 mg et eucalyptol 370 mg et guaïacol 180 mg et carbonate de guaïacol 200 mg suppositoire) LABORATOIRES CONFAB INC"""
"00319724","DEMO-CINEOL ENFANTS/CHILDREN (camphre 20 mg et eucalyptol 185 mg et guaïacol 90 mg et carbonate de guaïacol 100 mg suppositoire) LABORATOIRES CONFAB INC","camphre 20 mg et eucalyptol 185 mg et guaïacol 90 mg et carbonate de guaïacol 100 mg suppositoire","camphre et eucalyptol et guaïacol","mp_fr_description: ""DEMO-CINEOL ENFANTS/CHILDREN (camphre 20 mg et eucalyptol 185 mg et guaïacol 90 mg et carbonate de guaïacol 100 mg suppositoire) SANDOZ CANADA INCORPORATED"" -> ""DEMO-CINEOL ENFANTS/CHILDREN (camphre 20 mg et eucalyptol 185 mg et guaïacol 90 mg et carbonate de guaïacol 100 mg suppositoire) LABORATOIRES CONFAB INC"""
"00545007","APO-ACETAMINOPHEN EXTRA STRENGTH (acétaminophène 500 mg comprimé oral) APOTEX INC","acétaminophène 500 mg comprimé oral","acétaminophène","mp_fr_description: ""APO ACETAMINOPHEN TAB 500MG (acétaminophène 500 mg comprimé oral) APOTEX INC"" -> ""APO-ACETAMINOPHEN EXTRA STRENGTH (acétaminophène 500 mg comprimé oral) APOTEX INC"""
"01926691","CALCIMAR (calcitonine de saumon 400 unité par 2 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC","calcitonine de saumon 400 unité par 2 mL solution injectable fiole","calcitonine de saumon","mp_fr_description: ""CALCIMAR SOLUTION INJ 200UNIT/ML (calcitonine de saumon 400 unité par 2 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC"" -> ""CALCIMAR (calcitonine de saumon 400 unité par 2 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC"""
"02036312","ADVIL COLD AND SINUS (ibuprofène 200 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","ibuprofène 200 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral","ibuprofène et pseudoéphédrine","mp_fr_description: ""ADVIL COLD AND SINUS (ibuprofène 200 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ADVIL COLD AND SINUS (ibuprofène 200 mg et chlorhydrate de pseudoéphédrine 30 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"02085852","MICATIN MICONAZOLE NITRATE CREAM 2% USP (nitrate de miconazole 2 % crème cutanée) WELLSPRING PHARMACEUTICAL CANADA CORP","nitrate de miconazole 2 % crème cutanée","miconazole","mp_fr_description: ""MICATIN CREAM - 2% (nitrate de miconazole 2 % crème cutanée) WELLSPRING PHARMACEUTICAL CANADA CORP"" -> ""MICATIN MICONAZOLE NITRATE CREAM 2% USP (nitrate de miconazole 2 % crème cutanée) WELLSPRING PHARMACEUTICAL CANADA CORP"""
"02225158","SUPREFACT (buséréline (acétate de buséréline) 100 mcg par actionnement vaporisation nasale) CHEPLAPHARM ARZNEIMITTEL GMBH","buséréline (acétate de buséréline) 100 mcg par actionnement vaporisation nasale","buséréline","mp_fr_description: ""SUPREFACT (buséréline (acétate de buséréline) 100 mcg par actionnement vaporisation nasale) SANOFI-AVENTIS CANADA INC"" -> ""SUPREFACT (buséréline (acétate de buséréline) 100 mcg par actionnement vaporisation nasale) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"02225166","SUPREFACT (buséréline (acétate de buséréline) 1 mg par mL solution injectable 5,5 mL fiole) CHEPLAPHARM ARZNEIMITTEL GMBH","buséréline (acétate de buséréline) 1 mg par mL solution injectable 5,5 mL fiole","buséréline","mp_fr_description: ""SUPREFACT (buséréline (acétate de buséréline) 1 mg par mL solution injectable 5,5 mL fiole) SANOFI-AVENTIS CANADA INC"" -> ""SUPREFACT (buséréline (acétate de buséréline) 1 mg par mL solution injectable 5,5 mL fiole) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"02228955","SUPREFACT DEPOT 2 MONTHS (buséréline (acétate de buséréline) 6,3 mg implant) CHEPLAPHARM ARZNEIMITTEL GMBH","buséréline (acétate de buséréline) 6,3 mg implant","buséréline","mp_fr_description: ""SUPREFACT DEPOT 2 MONTHS (buséréline (acétate de buséréline) 6,3 mg implant) SANOFI-AVENTIS CANADA INC"" -> ""SUPREFACT DEPOT 2 MONTHS (buséréline (acétate de buséréline) 6,3 mg implant) CHEPLAPHARM ARZNEIMITTEL GMBH"""
"02229977","APO-ACETAMINOPHEN CAPLETS EXTRA STRENGTH (acétaminophène 500 mg comprimé oral) APOTEX INC","acétaminophène 500 mg comprimé oral","acétaminophène","mp_fr_description: ""APO-ACETAMINOPHEN CAPLETS 500MG (acétaminophène 500 mg comprimé oral) APOTEX INC"" -> ""APO-ACETAMINOPHEN CAPLETS EXTRA STRENGTH (acétaminophène 500 mg comprimé oral) APOTEX INC"""
"02231593","DURATOCIN (carbétocine 100 mcg par 1 mL solution injectable fiole) FERRING INC","carbétocine 100 mcg par 1 mL solution injectable fiole","carbétocine","mp_fr_description: ""DURATOCIN INJECTION (carbétocine 100 mcg par 1 mL solution injectable fiole) FERRING INC"" -> ""DURATOCIN (carbétocine 100 mcg par 1 mL solution injectable fiole) FERRING INC"""
