tm_code,tm_formal_name,tm_fr_description,changes
"8002039","ocriplasmin","ocriplasmine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20131120"" -> ""20200320"""
"8001580","benzethonium and benzocaine","benzéthonium et benzocaïne","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20050209"" -> ""20200729"""
"8002345","glasdegib","glasdégib","ADDED"
"8002337","fremanezumab","frémanézumab","ADDED"
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8001771","ethinyl estradiol and ethynodiol","éthinylestradiol et éthynodiol","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19791231"" -> ""20190704"""
"8001866","petrolatum","pétrolatum","ADDED"
"8001690","abciximab","abciximab","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19961030"" -> ""20180614"""
"8002342","cabotegravir and rilpivirine","cabotégravir et rilpivirine","ADDED"
"8002344","etonogestrel","étonogestrel","ADDED"
"8002341","cabotegravir","cabotégravir","ADDED"
"8001514","propylthiouracil","propylthiouracile","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19451231"" -> ""20200407"""
