ntp_code,ntp_formal_name,ntp_en_description,ntp_fr_description,ntp_status,ntp_status_effective_time,ntp_type
"9000001","meperidine hydrochloride 50 mg oral tablet","NA","chlorhydrate de mépéridine 50 mg comprimé oral","Active","19441231","NA"
"9001494","primaquine phosphate 26.3 mg oral tablet","NA","phosphate de primaquine 26,3 mg comprimé oral","Active","19451231","NA"
"9012957","dihydroergotamine mesylate 1 mg per 1 mL solution for injection ampoule","NA","mésylate de dihydroergotamine 1 mg par 1 mL solution injectable ampoule","Active","19461231","NA"
"9001497","bismuth dipropylacetate 135 mg suppository","NA","dipropylacétate de bismuth 135 mg suppositoire","Active","19501231","NA"
"9000002","levothyroxine sodium 50 mcg oral tablet","NA","lévothyroxine sodique 50 mcg comprimé oral","Active","19511230","NA"
"9013494","papaverine hydrochloride 65 mg per 2 mL solution for injection vial","NA","chlorhydrate de papavérine 65 mg par 2 mL solution injectable fiole","Active","19511231","NA"
"9001534","tropicamide 0.5 % ophthalmic drops","NA","tropicamide 0,5 % gouttes ophtalmiques","Active","19511231","NA"
"9003625","mineral oil light 100 % cutaneous liquid","NA","huile minérale légère 100 % liquide cutané","Active","19511231","NA"
"9001511","dimenhydrinate 100 mg suppository","NA","dimenhydrinate 100 mg suppositoire","Active","19511231","NA"
"9003824","bacitracin 50000 unit per vial powder for solution for injection","NA","bacitracine 50000 unité par fiole poudre pour solution injectable","Active","19511231","NA"
"9013712","mineral oil heavy 100 % oral liquid","NA","huile minérale lourde 100 % liquide oral","Active","19511231","NA"
"9013830","methylene blue 20 mg per mL oral solution","NA","bleu de méthylène 20 mg par mL solution orale","Active","19511231","NA"
"9000006","phenytoin sodium 100 mg oral capsule","NA","phénytoïne sodique 100 mg capsule orale","Active","19511231","NA"
"9001504","camphor 2 mg and diphenylpyraline hydrochloride 0.5 mg and guaiacol carbonate 200 mg suppository","NA","camphre 2 mg et chlorhydrate de diphénylpyraline 0,5 mg et carbonate de guaïacol 200 mg suppositoire","Active","19511231","NA"
"9000005","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","NA","épinéphrine (chlorhydrate d'épinéphrine) 30 mg par 30 mL solution injectable ampoule","Active","19511231","NA"
"9013829","methylene blue 10 mg per mL oral solution","NA","bleu de méthylène 10 mg par mL solution orale","Active","19511231","NA"
