drug_code,mp_code,mp_formal_name,changes
1470,00247855,FML (fluorometholone 0.1 % ophthalmic drops) ABBVIE CORPORATION,"mp_formal_name: ""FML ̲0̲.̲1̲%̲ (fluorometholone 0.1 % ophthalmic drops) AL̲L̲E̲R̲G̲A̲N̲ ̲I̲N̲C̲"" -> ""FML (fluorometholone 0.1 % ophthalmic drops) AB̲B̲V̲I̲E̲ ̲C̲O̲R̲P̲O̲R̲A̲T̲I̲O̲N̲"""
13121,01968300,ACULAR (ketorolac tromethamine 0.5 % ophthalmic drops) ALLERGAN INC,"mp_formal_name: ""ACULAR ̲L̲I̲Q̲ ̲0̲.̲5̲%̲ (ketorolac tromethamine 0.5 % ophthalmic drops) ALLERGAN INC"" -> ""ACULAR (ketorolac tromethamine 0.5 % ophthalmic drops) ALLERGAN INC"""
13990,02031116,LAMISIL (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,"mp_formal_name: ""LAMISIL ̲T̲A̲B̲ ̲2̲5̲0̲M̲G̲ (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""LAMISIL (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
14532,02031094,LAMISIL (terbinafine hydrochloride 1 % cutaneous cream) NOVARTIS PHARMACEUTICALS CANADA INC,"mp_formal_name: ""LAMISIL ̲C̲R̲M̲ ̲1̲%̲ (terbinafine hydrochloride 1 % cutaneous cream) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""LAMISIL (terbinafine hydrochloride 1 % cutaneous cream) NOVARTIS PHARMACEUTICALS CANADA INC"""
18491,02143291,OCUFLOX (ofloxacin 0.3 % ophthalmic drops) ABBVIE CORPORATION,"mp_formal_name: ""OCUFLOX (ofloxacin 0.3 % ophthalmic drops) AL̲L̲E̲R̲G̲A̲N̲ ̲I̲N̲C̲"" -> ""OCUFLOX (ofloxacin 0.3 % ophthalmic drops) AB̲B̲V̲I̲E̲ ̲C̲O̲R̲P̲O̲R̲A̲T̲I̲O̲N̲"""
49920,02230661,TENOXICAM (tenoxicam 20 mg oral tablet) AA PHARMA INC,"mp_formal_name: ""TENOXICAM ̲T̲A̲B̲L̲E̲T̲S̲ (tenoxicam 20 mg oral tablet) AA PHARMA INC"" -> ""TENOXICAM (tenoxicam 20 mg oral tablet) AA PHARMA INC"""
66642,02242814,"LACTULOSE SOLUTION USP (lactulose 667 mg per mL oral solution) BAJAJ MEDICAL, LLC","mp_formal_name: ""A̲P̲O̲-̲L̲A̲C̲T̲U̲L̲O̲S̲E̲ (lactulose 667 mg per mL oral solution) BAJAJ MEDICAL, LLC"" -> ""L̲A̲C̲T̲U̲L̲O̲S̲E̲ ̲S̲O̲L̲U̲T̲I̲O̲N̲ ̲U̲S̲P̲ (lactulose 667 mg per mL oral solution) BAJAJ MEDICAL, LLC"""
69271,02245248,"AMIODARONE HYDROCHLORIDE FOR INJECTION, USP (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD","mp_formal_name: ""AMIODARONE HYDROCHLORIDE INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD"" -> ""AMIODARONE HYDROCHLORIDE F̲O̲R̲ ̲INJECTION,̲ ̲U̲S̲P̲ (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD"""
72483,02248151,ALPHAGAN P (brimonidine tartrate 0.15 % ophthalmic drops) ABBVIE CORPORATION,"mp_formal_name: ""ALPHAGAN P (brimonidine tartrate 0.15 % ophthalmic drops) AL̲L̲E̲R̲G̲A̲N̲ ̲I̲N̲C̲"" -> ""ALPHAGAN P (brimonidine tartrate 0.15 % ophthalmic drops) AB̲B̲V̲I̲E̲ ̲C̲O̲R̲P̲O̲R̲A̲T̲I̲O̲N̲"""
74247,02257270,ZYMAR (gatifloxacin 0.3 % ophthalmic drops) ABBVIE CORPORATION,"mp_formal_name: ""ZYMAR (gatifloxacin 0.3 % ophthalmic drops) AL̲L̲E̲R̲G̲A̲N̲ ̲I̲N̲C̲"" -> ""ZYMAR (gatifloxacin 0.3 % ophthalmic drops) AB̲B̲V̲I̲E̲ ̲C̲O̲R̲P̲O̲R̲A̲T̲I̲O̲N̲"""
