drug_code,mp_code,mp_formal_name,mp_fr_description,changes
4390,00505781,ANUGESIC-HC OINTMENT (hydrocortisone acetate 0.5 % and pramoxine hydrochloride 1 % and zinc sulfate 0.5 % rectal ointment) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,"ANUGESIC-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19811231"" -> ""20210211"""
12331,01947664,ACCUPRIL 5MG TAB (quinapril (quinapril hydrochloride) 5 mg oral tablet) PFIZER CANADA ULC,ACCUPRIL 5MG TAB (quinapril (chlorhydrate de quinapril) 5 mg comprimé oral) PFIZER CANADA ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19921231"" -> ""20230210"""
16171,02088339,TRIPLE ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) MELALEUCA OF CANADA INC.,"TRIPLE ANTIBIOTIC OINTMENT (bacitracine (bacitracine de zinc) 500 unité par g et gramicidine 0,25 mg par g et polymyxine B (sulfate de polymyxine B) 10000 unité par g pommade cutanée) MELALEUCA OF CANADA INC.","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20210831"""
18744,02148463,MINIMS PILOCARPINE NITRATE (pilocarpine nitrate 2 % ophthalmic drops) BAUSCH & LOMB INC,MINIMS PILOCARPINE NITRATE (nitrate de pilocarpine 2 % gouttes ophtalmiques) BAUSCH & LOMB INC,"mp_formal_name: ""MINIMS PILOCARPINE NITRATE (pilocarpine nitrate 2 % ophthalmic drops) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS PILOCARPINE NITRATE (pilocarpine nitrate 2 % ophthalmic drops) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲""
mp_fr_description: ""MINIMS PILOCARPINE NITRATE (nitrate de pilocarpine 2 % gouttes ophtalmiques) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS PILOCARPINE NITRATE (nitrate de pilocarpine 2 % gouttes ophtalmiques) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲"""
18749,02148544,MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 1 % ophthalmic drops) BAUSCH & LOMB INC,MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) BAUSCH & LOMB INC,"mp_formal_name: ""MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 1 % ophthalmic drops) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 1 % ophthalmic drops) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲""
mp_fr_description: ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 1 % gouttes ophtalmiques) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲"""
18751,02148528,MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 0.5 % ophthalmic drops) BAUSCH & LOMB INC,"MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) BAUSCH & LOMB INC","mp_formal_name: ""MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 0.5 % ophthalmic drops) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS TETRACAINE HYDROCHLORIDE (tetracaine hydrochloride 0.5 % ophthalmic drops) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲""
mp_fr_description: ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""MINIMS TETRACAINE HYDROCHLORIDE (chlorhydrate de tétracaïne 0,5 % gouttes ophtalmiques) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲"""
19627,02049392,SANDOSTATIN (octreotide (octreotide acetate) 1000 mcg per 5 mL solution for injection vial) NOVARTIS PHARMACEUTICALS CANADA INC,SANDOSTATIN (octréotide (acétate d'octréotide) 1000 mcg par 5 mL solution injectable fiole) NOVARTIS PHARMACEUTICALS CANADA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19961231"" -> ""20220525"""
37384,02224860,SOFRAMYCIN NASAL SPRAY (framycetin sulfate 12.5 mg per mL and gramicidin 0.05 mg per mL and phenylephrine hydrochloride 2.5 mg per mL nasal spray) SEARCHLIGHT PHARMA INC,"SOFRAMYCIN NASAL SPRAY (sulfate de framycétine 12,5 mg par mL et gramicidine 0,05 mg par mL et chlorhydrate de phényléphrine 2,5 mg par mL vaporisation nasale) SEARCHLIGHT PHARMA INC","mp_formal_name: ""SOFRAMYCIN NASAL SPRAY (framycetin sulfate 12.5 mg per mL and gramicidin 0.05 mg per mL and phenylephrine hydrochloride 2.5 mg per mL nasal spray) E̲R̲F̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲2̲0̲1̲2̲ INC"" -> ""SOFRAMYCIN NASAL SPRAY (framycetin sulfate 12.5 mg per mL and gramicidin 0.05 mg per mL and phenylephrine hydrochloride 2.5 mg per mL nasal spray) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ INC""
mp_fr_description: ""SOFRAMYCIN NASAL SPRAY (sulfate de framycétine 12,5 mg par mL et gramicidine 0,05 mg par mL et chlorhydrate de phényléphrine 2,5 mg par mL vaporisation nasale) E̲R̲F̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲2̲0̲1̲2̲ INC"" -> ""SOFRAMYCIN NASAL SPRAY (sulfate de framycétine 12,5 mg par mL et gramicidine 0,05 mg par mL et chlorhydrate de phényléphrine 2,5 mg par mL vaporisation nasale) S̲E̲A̲R̲C̲H̲L̲I̲G̲H̲T̲ ̲P̲H̲A̲R̲M̲A̲ INC"""
62650,02239194,HEPTOVIR (lamivudine 5 mg per mL oral solution) GLAXOSMITHKLINE INC,HEPTOVIR (lamivudine 5 mg par mL solution orale) GLAXOSMITHKLINE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19990330"" -> ""20220810"""
78324,02297914,SANDOZ PIOGLITAZONE (pioglitazone (pioglitazone hydrochloride) 30 mg oral tablet) SANDOZ CANADA INCORPORATED,SANDOZ PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 30 mg comprimé oral) SANDOZ CANADA INCORPORATED,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20071205"" -> ""20230111"""
