drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
12458,00851779,PLENDIL (félodipine 5 mg comprimé oral à libération prolongée) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE,félodipine 5 mg comprimé oral à libération prolongée,félodipine,"mp_fr_description: ""PLENDIL ̲5̲ ̲M̲G̲ (félodipine 5 mg comprimé oral à libération prolongée) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""PLENDIL (félodipine 5 mg comprimé oral à libération prolongée) G̲L̲E̲N̲W̲O̲O̲D̲ ̲G̲M̲B̲H̲ ̲P̲H̲A̲R̲M̲A̲Z̲E̲U̲T̲I̲S̲C̲H̲E̲ ̲E̲R̲Z̲E̲U̲G̲N̲I̲S̲S̲E̲"""
12459,00851787,PLENDIL (félodipine 10 mg comprimé oral à libération prolongée) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE,félodipine 10 mg comprimé oral à libération prolongée,félodipine,"mp_fr_description: ""PLENDIL ̲1̲0̲ ̲M̲G̲ (félodipine 10 mg comprimé oral à libération prolongée) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""PLENDIL (félodipine 10 mg comprimé oral à libération prolongée) G̲L̲E̲N̲W̲O̲O̲D̲ ̲G̲M̲B̲H̲ ̲P̲H̲A̲R̲M̲A̲Z̲E̲U̲T̲I̲S̲C̲H̲E̲ ̲E̲R̲Z̲E̲U̲G̲N̲I̲S̲S̲E̲"""
15574,02057778,"PLENDIL (félodipine 2,5 mg comprimé oral à libération prolongée) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE","félodipine 2,5 mg comprimé oral à libération prolongée",félodipine,"mp_fr_description: ""PLENDIL ̲2̲.̲5̲ ̲M̲G̲ (félodipine 2,5 mg comprimé oral à libération prolongée) A̲S̲T̲R̲A̲Z̲E̲N̲E̲C̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""PLENDIL (félodipine 2,5 mg comprimé oral à libération prolongée) G̲L̲E̲N̲W̲O̲O̲D̲ ̲G̲M̲B̲H̲ ̲P̲H̲A̲R̲M̲A̲Z̲E̲U̲T̲I̲S̲C̲H̲E̲ ̲E̲R̲Z̲E̲U̲G̲N̲I̲S̲S̲E̲"""
23194,01964070,PMS-DEXAMETHASONE (dexaméthasone 4 mg comprimé oral) PHARMASCIENCE INC,dexaméthasone 4 mg comprimé oral,dexaméthasone (base),"mp_fr_description: ""PMS ̲DEXAMETHASONE ̲T̲A̲B̲ ̲4̲M̲G̲ (dexaméthasone 4 mg comprimé oral) PHARMASCIENCE INC"" -> ""PMS-̲DEXAMETHASONE (dexaméthasone 4 mg comprimé oral) PHARMASCIENCE INC"""
23260,01964968,"PMS-DEXAMETHASONE (dexaméthasone 0,75 mg comprimé oral) PHARMASCIENCE INC","dexaméthasone 0,75 mg comprimé oral",dexaméthasone (base),"mp_fr_description: ""PMS ̲D̲E̲X̲A̲M̲E̲T̲H̲A̲S̲O̲N̲E̲ ̲T̲A̲B̲ ̲0̲.̲7̲5̲M̲G̲ ̲U̲S̲P̲ (dexaméthasone 0,75 mg comprimé oral) PHARMASCIENCE INC"" -> ""PMS-̲D̲E̲X̲A̲M̲E̲T̲H̲A̲S̲O̲N̲E̲ (dexaméthasone 0,75 mg comprimé oral) PHARMASCIENCE INC"""
23261,01964976,"PMS-DEXAMETHASONE (dexaméthasone 0,5 mg comprimé oral) PHARMASCIENCE INC","dexaméthasone 0,5 mg comprimé oral",dexaméthasone (base),"mp_fr_description: ""PMS ̲D̲E̲X̲A̲M̲E̲T̲H̲A̲S̲O̲N̲E̲ ̲T̲A̲B̲ ̲0̲.̲5̲M̲G̲ ̲U̲S̲P̲ (dexaméthasone 0,5 mg comprimé oral) PHARMASCIENCE INC"" -> ""PMS-̲D̲E̲X̲A̲M̲E̲T̲H̲A̲S̲O̲N̲E̲ (dexaméthasone 0,5 mg comprimé oral) PHARMASCIENCE INC"""
28979,02100207,"DEQUADIN (chlorure de déqualinium 0,25 mg pastille) PHARMASCIENCE INC","chlorure de déqualinium 0,25 mg pastille",déqualinium,"mp_fr_description: ""DEQUADIN (chlorure de déqualinium 0,25 mg pastille) B̲O̲Y̲D̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲I̲N̲C̲.̲"" -> ""DEQUADIN (chlorure de déqualinium 0,25 mg pastille) P̲H̲A̲R̲M̲A̲S̲C̲I̲E̲N̲C̲E̲ ̲I̲N̲C̲"""
29540,02106256,COLACE CAPSULES (docusate sodique 100 mg capsule orale) PHARMASCIENCE INC,docusate sodique 100 mg capsule orale,docusate,"mp_fr_description: ""COLACE CAPSULES (docusate sodique 100 mg capsule orale) B̲O̲Y̲D̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲I̲N̲C̲.̲"" -> ""COLACE CAPSULES (docusate sodique 100 mg capsule orale) P̲H̲A̲R̲M̲A̲S̲C̲I̲E̲N̲C̲E̲ ̲I̲N̲C̲"""
69944,02245828,"CLASTEON (clodronate disodique 400 mg capsule orale) SUMITOMO PHARMA CANADA, INC.",clodronate disodique 400 mg capsule orale,clodronate,"mp_fr_description: ""CLASTEON (clodronate disodique 400 mg capsule orale) SUN̲O̲V̲I̲O̲N̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲"" -> ""CLASTEON (clodronate disodique 400 mg capsule orale) SUM̲I̲T̲O̲M̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲,̲ ̲I̲N̲C̲.̲"""
74515,02259893,APO-TIZANIDINE (tizanidine (chlorhydrate de tizanidine) 4 mg comprimé oral) APOTEX INC,tizanidine (chlorhydrate de tizanidine) 4 mg comprimé oral,tizanidine,"mp_fr_description: ""TIZANIDINE (tizanidine (chlorhydrate de tizanidine) 4 mg comprimé oral) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲TIZANIDINE (tizanidine (chlorhydrate de tizanidine) 4 mg comprimé oral) AP̲O̲T̲E̲X̲ INC"""
