mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
"02536536","DIMENHYDRINATE INJECTION USP (dimenhydrinate 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","NA","DIMENHYDRINATE INJECTION USP (dimenhydrinate 250 mg par 5 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","Active","20240827","DIN","02536536","DIMENHYDRINATE INJECTION USP"
"02545004","EYLEA HD (aflibercept 8 mg per 0.07 mL solution for injection vial) BAYER INC","NA","EYLEA HD (aflibercept 8 mg par 0,07 mL solution injectable fiole) BAYER INC","Active","20240903","DIN","02545004","EYLEA HD"
"02530635","FULVESTRANT INJECTABLE (fulvestrant 250 mg per 5 mL solution for injection syringe) JAMP PHARMA CORPORATION","NA","FULVESTRANT INJECTABLE (fulvestrant 250 mg par 5 mL solution injectable seringue) JAMP PHARMA CORPORATION","Active","20240912","DIN","02530635","FULVESTRANT INJECTABLE"
"02550245","STEQEYMA (ustekinumab 45 mg per 0.5 mL solution for injection syringe) CELLTRION INC.","NA","STEQEYMA (ustékinumab 45 mg par 0,5 mL solution injectable seringue) CELLTRION INC.","Active","20240829","DIN","02550245","STEQEYMA"
"02550253","STEQEYMA (ustekinumab 90 mg per 1 mL solution for injection syringe) CELLTRION INC.","NA","STEQEYMA (ustékinumab 90 mg par 1 mL solution injectable seringue) CELLTRION INC.","Active","20240829","DIN","02550253","STEQEYMA"
"02550261","STEQEYMA IV (ustekinumab 130 mg per 26 mL solution for injection vial) CELLTRION INC.","NA","STEQEYMA IV (ustékinumab 130 mg par 26 mL solution injectable fiole) CELLTRION INC.","Active","20240829","DIN","02550261","STEQEYMA IV"
"77701162","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) EUGIA PHARMA INC.","NA","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodique) 500 mg par 10 mL solution injectable fiole) EUGIA PHARMA INC.","Active","20240806","CCDD","02531224","ACYCLOVIR SODIUM INJECTION"
"77701163","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) EUGIA PHARMA INC.","NA","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodique) 1000 mg par 20 mL solution injectable fiole) EUGIA PHARMA INC.","Active","20240806","CCDD","02531224","ACYCLOVIR SODIUM INJECTION"
"02528800","IRINOTECAN HYDROCHLORIDE INJECTION (irinotecan hydrochloride 100 mg per 5 mL solution for injection vial) EUGIA PHARMA INC.","NA","IRINOTECAN HYDROCHLORIDE INJECTION (chlorhydrate d'irinotécan 100 mg par 5 mL solution injectable fiole) EUGIA PHARMA INC.","Active","20240812","DIN","02528800","IRINOTECAN HYDROCHLORIDE INJECTION"
"02546558","NORDIMET (methotrexate (methotrexate sodium) 10 mg per 0.4 mL solution for injection pen) NORDIC GROUP B.V.","NA","NORDIMET (méthotrexate (méthotrexate sodique) 10 mg par 0,4 mL solution injectable stylo) NORDIC GROUP B.V.","Active","20240801","DIN","02546558","NORDIMET"
"02546574","NORDIMET (methotrexate (methotrexate sodium) 15 mg per 0.6 mL solution for injection pen) NORDIC GROUP B.V.","NA","NORDIMET (méthotrexate (méthotrexate sodique) 15 mg par 0,6 mL solution injectable stylo) NORDIC GROUP B.V.","Active","20240801","DIN","02546574","NORDIMET"
"02546590","NORDIMET (methotrexate (methotrexate sodium) 20 mg per 0.8 mL solution for injection pen) NORDIC GROUP B.V.","NA","NORDIMET (méthotrexate (méthotrexate sodique) 20 mg par 0,8 mL solution injectable stylo) NORDIC GROUP B.V.","Active","20240801","DIN","02546590","NORDIMET"
"02546612","NORDIMET (methotrexate (methotrexate sodium) 25 mg per mL solution for injection pen) NORDIC GROUP B.V.","NA","NORDIMET (méthotrexate (méthotrexate sodique) 25 mg par mL solution injectable stylo) NORDIC GROUP B.V.","Active","20240801","DIN","02546612","NORDIMET"
"02546531","NORDIMET (methotrexate (methotrexate sodium) 7.5 mg per 0.3 mL solution for injection pen) NORDIC GROUP B.V.","NA","NORDIMET (méthotrexate (méthotrexate sodique) 7,5 mg par 0,3 mL solution injectable stylo) NORDIC GROUP B.V.","Active","20240801","DIN","02546531","NORDIMET"
"02545411","JUBBONTI (denosumab 60 mg per 1 mL solution for injection syringe) SANDOZ CANADA INCORPORATED","NA","JUBBONTI (dénosumab 60 mg par 1 mL solution injectable seringue) SANDOZ CANADA INCORPORATED","Active","20240725","DIN","02545411","JUBBONTI"
"77701160","ETOMIDATE INJECTION, USP (etomidate 20 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","ETOMIDATE INJECTION, USP (étomidate 20 mg par 10 mL solution injectable fiole) FRESENIUS KABI CANADA LTD","Active","20240703","CCDD","02537508","ETOMIDATE INJECTION, USP"
"77701161","ETOMIDATE INJECTION, USP (etomidate 40 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD","NA","ETOMIDATE INJECTION, USP (étomidate 40 mg par 20 mL solution injectable fiole) FRESENIUS KABI CANADA LTD","Active","20240703","CCDD","02537508","ETOMIDATE INJECTION, USP"
"77701158","FINLIUS (ustekinumab 45 mg per 0.5 mL solution for injection vial) JANSSEN INC","NA","FINLIUS (ustékinumab 45 mg par 0,5 mL solution injectable fiole) JANSSEN INC","Active","20240702","CCDD","02537303","FINLIUS"
