ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
8001940,sodium oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
8002542,sodium oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
02244290,METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500008,https://www.tppalberta.ca/medication-lists,Active,20240201,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 10 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD."
8002530,oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Inactive,20250505,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250505"
02244290,METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 10 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 10 mg per mL oral solution) ENDO OPERATIONS LTD."
02242003,"DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC",MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Active,20170919,"ccdd_formal_name: ""DEMEROL 50 MG/ML   (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"" -> DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"
02242003,"DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC",MP,500008,https://www.tppalberta.ca/medication-lists,Active,20240201,"ccdd_formal_name: ""DEMEROL 50 MG/ML   (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"" -> DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"
02242003,"DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC",MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""DEMEROL 50 MG/ML   (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"" -> DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE) (meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE ULC"
02247374,METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500002,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 1 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD."
02247374,METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD.,MP,500008,https://www.tppalberta.ca/medication-lists,Active,20240201,"ccdd_formal_name: ""METADOL-D (methadone hydrochloride 1 mg per mL oral solution) PALADIN PHARMA INC."" -> METADOL-D (methadone hydrochloride 1 mg per mL oral solution) ENDO OPERATIONS LTD."
8002536,calcium oxybate and magnesium oxybate and potassium oxybate and sodium oxybate,TM,500003,http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html,Active,20170919,ADDED
