drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
2211,00312797,APO-IMIPRAMINE TABLETS (chlorhydrate d'imipramine 25 mg comprimé oral) APOTEX INC,chlorhydrate d'imipramine 25 mg comprimé oral,imipramine,"mp_fr_description: ""IMIPRAMINE (chlorhydrate d'imipramine 25 mg comprimé oral) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲IMIPRAMINE ̲T̲A̲B̲L̲E̲T̲S̲ (chlorhydrate d'imipramine 25 mg comprimé oral) AP̲O̲T̲E̲X̲ INC"""
2212,00326852,APO-IMIPRAMINE TABLETS (chlorhydrate d'imipramine 50 mg comprimé oral) APOTEX INC,chlorhydrate d'imipramine 50 mg comprimé oral,imipramine,"mp_fr_description: ""IMIPRAMINE (chlorhydrate d'imipramine 50 mg comprimé oral) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲IMIPRAMINE ̲T̲A̲B̲L̲E̲T̲S̲ (chlorhydrate d'imipramine 50 mg comprimé oral) AP̲O̲T̲E̲X̲ INC"""
2444,00360201,APO-IMIPRAMINE TABLETS (chlorhydrate d'imipramine 10 mg comprimé oral) APOTEX INC,chlorhydrate d'imipramine 10 mg comprimé oral,imipramine,"mp_fr_description: ""IMIPRAMINE (chlorhydrate d'imipramine 10 mg comprimé oral) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲IMIPRAMINE ̲T̲A̲B̲L̲E̲T̲S̲ (chlorhydrate d'imipramine 10 mg comprimé oral) AP̲O̲T̲E̲X̲ INC"""
6512,00648019,PRO-METOPROLOL-L (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE,tartrate de métoprolol 50 mg comprimé oral,métoprolol,"mp_fr_description: ""PRO-METOPROLOL (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE"" -> ""PRO-METOPROLOL̲-̲L (tartrate de métoprolol 50 mg comprimé oral) PRO DOC LIMITEE"""
10008,00644579,APO-IMIPRAMINE TABLETS (chlorhydrate d'imipramine 75 mg comprimé oral) APOTEX INC,chlorhydrate d'imipramine 75 mg comprimé oral,imipramine,"mp_fr_description: ""IMIPRAMINE (chlorhydrate d'imipramine 75 mg comprimé oral) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲IMIPRAMINE ̲T̲A̲B̲L̲E̲T̲S̲ (chlorhydrate d'imipramine 75 mg comprimé oral) AP̲O̲T̲E̲X̲ INC"""
18314,02130181,PROLEUKIN (aldesleukine 22000000 unité par fiole poudre pour solution injectable) IOVANCE BIOTHERAPEUTICS MANUFACTURING LLC,aldesleukine 22000000 unité par fiole poudre pour solution injectable,aldesleukine,"mp_fr_description: ""PROLEUKIN (aldesleukine 22000000 unité par fiole poudre pour solution injectable) S̲T̲E̲R̲I̲M̲A̲X̲ ̲I̲N̲C"" -> ""PROLEUKIN (aldesleukine 22000000 unité par fiole poudre pour solution injectable) I̲O̲V̲A̲N̲C̲E̲ ̲B̲I̲O̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲M̲A̲N̲U̲F̲A̲C̲T̲U̲R̲I̲N̲G̲ ̲L̲L̲C"""
49241,02230402,CLOPIXOL (zuclopenthixol (chlorhydrate de zuclopenthixol) 10 mg comprimé oral) LUNDBECK CANADA INC,zuclopenthixol (chlorhydrate de zuclopenthixol) 10 mg comprimé oral,zuclopenthixol,"mp_fr_description: ""CLOPIXOL ̲T̲A̲B̲L̲E̲T̲S̲ ̲1̲0̲M̲G̲ (zuclopenthixol (chlorhydrate de zuclopenthixol) 10 mg comprimé oral) LUNDBECK CANADA INC"" -> ""CLOPIXOL (zuclopenthixol (chlorhydrate de zuclopenthixol) 10 mg comprimé oral) LUNDBECK CANADA INC"""
49242,02230403,CLOPIXOL (zuclopenthixol (chlorhydrate de zuclopenthixol) 25 mg comprimé oral) LUNDBECK CANADA INC,zuclopenthixol (chlorhydrate de zuclopenthixol) 25 mg comprimé oral,zuclopenthixol,"mp_fr_description: ""CLOPIXOL ̲T̲A̲B̲L̲E̲T̲S̲ ̲2̲5̲M̲G̲ (zuclopenthixol (chlorhydrate de zuclopenthixol) 25 mg comprimé oral) LUNDBECK CANADA INC"" -> ""CLOPIXOL (zuclopenthixol (chlorhydrate de zuclopenthixol) 25 mg comprimé oral) LUNDBECK CANADA INC"""
72943,02248588,INFACOL (siméticone 40 mg par mL gouttes orales) PHOENIX LABS UNLIMITED COMPANY,siméticone 40 mg par mL gouttes orales,siméticone,"mp_fr_description: ""INFACOL (siméticone 40 mg par mL gouttes orales) L̲E̲D̲A̲ ̲H̲E̲A̲L̲T̲H̲ ̲I̲N̲N̲O̲V̲A̲T̲I̲O̲N̲S̲ ̲I̲N̲C̲.̲"" -> ""INFACOL (siméticone 40 mg par mL gouttes orales) P̲H̲O̲E̲N̲I̲X̲ ̲L̲A̲B̲S̲ ̲U̲N̲L̲I̲M̲I̲T̲E̲D̲ ̲C̲O̲M̲P̲A̲N̲Y̲"""
73935,02254468,TYLENOL ULTRA RELIEF (acétaminophène 500 mg et caféine 65 mg comprimé oral) KENVUE CANADA INC.,acétaminophène 500 mg et caféine 65 mg comprimé oral,acétaminophène et caféine,"mp_fr_description: ""TYLENOL ULTRA RELIEF (acétaminophène 500 mg et caféine 65 mg comprimé oral) M̲C̲N̲E̲I̲L̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ̲D̲I̲V̲I̲S̲I̲O̲N̲ ̲O̲F̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""TYLENOL ULTRA RELIEF (acétaminophène 500 mg et caféine 65 mg comprimé oral) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
74661,02261219,HUMATE-P (facteur VIII de coagulation humain 250 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC,facteur VIII de coagulation humain 250 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante,facteur VIII de coagulation humain et facteur de von Willebrand humain,"mp_fr_description: ""HUMATE-P (facteur VIII de coagulation humain 20̲0̲-̲3̲0̲0 unité par fiole et facteur de von Willebrand humain 3̲60-̲8̲4̲0 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC"" -> ""HUMATE-P (facteur VIII de coagulation humain 25̲0 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC""
ntp_fr_description: ""facteur VIII de coagulation humain 20̲0̲-̲3̲0̲0 unité par fiole et facteur de von Willebrand humain 3̲60-̲8̲4̲0 unité par fiole poudre pour solution injectable avec solution diluante"" -> ""facteur VIII de coagulation humain 25̲0 unité par fiole et facteur de von Willebrand humain 600 unité par fiole poudre pour solution injectable avec solution diluante"""
74662,02261227,HUMATE-P (facteur VIII de coagulation humain 500 unité par fiole et facteur de von Willebrand humain 1200 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC,facteur VIII de coagulation humain 500 unité par fiole et facteur de von Willebrand humain 1200 unité par fiole poudre pour solution injectable avec solution diluante,facteur VIII de coagulation humain et facteur de von Willebrand humain,"mp_fr_description: ""HUMATE-P (facteur VIII de coagulation humain 4̲0̲0̲-̲6̲00 unité par fiole et facteur de von Willebrand humain 7̲2̲0̲-̲1̲6̲8̲0 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC"" -> ""HUMATE-P (facteur VIII de coagulation humain 5̲00 unité par fiole et facteur de von Willebrand humain 1̲2̲0̲0 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC""
ntp_fr_description: ""facteur VIII de coagulation humain 4̲0̲0̲-̲6̲00 unité par fiole et facteur de von Willebrand humain 7̲2̲0̲-̲1̲6̲8̲0 unité par fiole poudre pour solution injectable avec solution diluante"" -> ""facteur VIII de coagulation humain 5̲00 unité par fiole et facteur de von Willebrand humain 1̲2̲0̲0 unité par fiole poudre pour solution injectable avec solution diluante"""
74663,02261235,HUMATE-P (facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2400 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC,facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2400 unité par fiole poudre pour solution injectable avec solution diluante,facteur VIII de coagulation humain et facteur de von Willebrand humain,"mp_fr_description: ""HUMATE-P (facteur VIII de coagulation humain 8̲10-̲1̲2̲00 unité par fiole et facteur de von Willebrand humain 1̲4̲4̲0̲-̲3̲3̲6̲0 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC"" -> ""HUMATE-P (facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2̲4̲0̲0 unité par fiole poudre pour solution injectable avec solution diluante) CSL BEHRING CANADA INC""
ntp_fr_description: ""facteur VIII de coagulation humain 8̲10-̲1̲2̲00 unité par fiole et facteur de von Willebrand humain 1̲4̲4̲0̲-̲3̲3̲6̲0 unité par fiole poudre pour solution injectable avec solution diluante"" -> ""facteur VIII de coagulation humain 1000 unité par fiole et facteur de von Willebrand humain 2̲4̲0̲0 unité par fiole poudre pour solution injectable avec solution diluante"""
85328,02368307,"BENZOYL PEROXIDE ACNE TREATMENT 5% (peroxyde de benzoyle 5 % lotion) MARINI SKINSOLUTIONS, INC.",peroxyde de benzoyle 5 % lotion,peroxyde de benzoyle,"mp_fr_description: ""BENZOYL PEROXIDE ACNE TREATMENT 5% (peroxyde de benzoyle 5 % lotion) J̲A̲N̲ ̲M̲A̲R̲I̲N̲I̲ ̲S̲K̲I̲N̲ ̲R̲E̲S̲E̲A̲R̲C̲H̲ ̲I̲N̲C̲"" -> ""BENZOYL PEROXIDE ACNE TREATMENT 5% (peroxyde de benzoyle 5 % lotion) M̲A̲R̲I̲N̲I̲ ̲S̲K̲I̲N̲S̲O̲L̲U̲T̲I̲O̲N̲S̲,̲ ̲I̲N̲C̲.̲"""
93668,02450526,PRO-CETIRIZINE (chlorhydrate de cétirizine 20 mg comprimé oral) PRO DOC LIMITEE,chlorhydrate de cétirizine 20 mg comprimé oral,cétirizine,"mp_fr_description: ""CETIRIZINE (chlorhydrate de cétirizine 20 mg comprimé oral) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲CETIRIZINE (chlorhydrate de cétirizine 20 mg comprimé oral) PRO DOC LIMITEE"""
94142,02454734,RIVA-TADALAFIL (tadalafil 10 mg comprimé oral) LABORATOIRE RIVA INC.,tadalafil 10 mg comprimé oral,tadalafil,ADDED
98811,02498332,JAMP ROSUVASTATIN TABLETS (rosuvastatine (rosuvastatine calcique) 5 mg comprimé oral) JAMP PHARMA CORPORATION,rosuvastatine (rosuvastatine calcique) 5 mg comprimé oral,rosuvastatine,"mp_fr_description: ""JAMP ROSUVASTATIN C̲A̲L̲C̲I̲U̲M̲ (rosuvastatine (rosuvastatine calcique) 5 mg comprimé oral) JAMP PHARMA CORPORATION"" -> ""JAMP ROSUVASTATIN T̲A̲B̲L̲E̲T̲S̲ (rosuvastatine (rosuvastatine calcique) 5 mg comprimé oral) JAMP PHARMA CORPORATION"""
98812,02498340,JAMP ROSUVASTATIN TABLETS (rosuvastatine (rosuvastatine calcique) 10 mg comprimé oral) JAMP PHARMA CORPORATION,rosuvastatine (rosuvastatine calcique) 10 mg comprimé oral,rosuvastatine,"mp_fr_description: ""JAMP ROSUVASTATIN C̲A̲L̲C̲I̲U̲M̲ (rosuvastatine (rosuvastatine calcique) 10 mg comprimé oral) JAMP PHARMA CORPORATION"" -> ""JAMP ROSUVASTATIN T̲A̲B̲L̲E̲T̲S̲ (rosuvastatine (rosuvastatine calcique) 10 mg comprimé oral) JAMP PHARMA CORPORATION"""
98813,02498359,JAMP ROSUVASTATIN TABLETS (rosuvastatine (rosuvastatine calcique) 20 mg comprimé oral) JAMP PHARMA CORPORATION,rosuvastatine (rosuvastatine calcique) 20 mg comprimé oral,rosuvastatine,"mp_fr_description: ""JAMP ROSUVASTATIN C̲A̲L̲C̲I̲U̲M̲ (rosuvastatine (rosuvastatine calcique) 20 mg comprimé oral) JAMP PHARMA CORPORATION"" -> ""JAMP ROSUVASTATIN T̲A̲B̲L̲E̲T̲S̲ (rosuvastatine (rosuvastatine calcique) 20 mg comprimé oral) JAMP PHARMA CORPORATION"""
98814,02498367,JAMP ROSUVASTATIN TABLETS (rosuvastatine (rosuvastatine calcique) 40 mg comprimé oral) JAMP PHARMA CORPORATION,rosuvastatine (rosuvastatine calcique) 40 mg comprimé oral,rosuvastatine,"mp_fr_description: ""JAMP ROSUVASTATIN C̲A̲L̲C̲I̲U̲M̲ (rosuvastatine (rosuvastatine calcique) 40 mg comprimé oral) JAMP PHARMA CORPORATION"" -> ""JAMP ROSUVASTATIN T̲A̲B̲L̲E̲T̲S̲ (rosuvastatine (rosuvastatine calcique) 40 mg comprimé oral) JAMP PHARMA CORPORATION"""
101295,02523906,TEPADINA (thiotépa 400 mg poudre pour solution injectable avec solution diluante par sac) ADIENNE SA,thiotépa 400 mg poudre pour solution injectable avec solution diluante par sac,thiotépa,ADDED
101993,02530775,"METHOFILL SELF-DOSE INJECTOR (méthotrexate (méthotrexate sodique) 10 mg par 0,2 mL solution injectable seringue) ACCORD HEALTHCARE INC","méthotrexate (méthotrexate sodique) 10 mg par 0,2 mL solution injectable seringue",méthotrexate,ADDED
101994,02530783,"METHOFILL SELF-DOSE INJECTOR (méthotrexate (méthotrexate sodique) 12,5 mg par 0,25 mL solution injectable seringue) ACCORD HEALTHCARE INC","méthotrexate (méthotrexate sodique) 12,5 mg par 0,25 mL solution injectable seringue",méthotrexate,ADDED
