ntp_code,ntp_formal_name,ntp_fr_description,changes
9001209,omeprazole 10 mg gastro-resistant capsule,oméprazole 10 mg capsule gastrorésistante,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20070914"" -> ""20250731"""
9001778,chlorpropamide 100 mg oral tablet,chlorpropamide 100 mg comprimé oral,"ntp_status_effective_time: ""20190802"" -> ""20250417"""
9015236,meropenem 1 g per vial and vaborbactam 1 g per vial powder for solution for injection,méropénem 1 g par fiole et vaborbactam 1 g par fiole poudre pour solution injectable,ADDED
9015227,acetaminophen 650 mg per 30 mL and chlorpheniramine maleate 4 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL syrup,acétaminophène 650 mg par 30 mL et maléate de chlorphéniramine 4 mg par 30 mL et bromhydrate de dextrométhorphane 30 mg par 30 mL sirop,ADDED
9014747,SARS-CoV-2 recombinant spike protein 5 mcg per 0.5 mL suspension for injection 5 mL vial,"protéine de spicule du SRAS-CoV-2 recombinante 5 mcg par 0,5 mL suspension injectable 5 mL fiole","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20220331"" -> ""20250714"""
9002331,acetaminophen 300 mg and chlorzoxazone 250 mg and codeine phosphate 8 mg oral tablet,acétaminophène 300 mg et chlorzoxazone 250 mg et phosphate de codéine 8 mg comprimé oral,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19911231"" -> ""20211130"""
9001711,chlorpropamide 250 mg oral tablet,chlorpropamide 250 mg comprimé oral,"ntp_status_effective_time: ""20190802"" -> ""20250417"""
9003228,diphenhydramine hydrochloride 12.5 mg chewable tablet,"chlorhydrate de diphenhydramine 12,5 mg comprimé à croquer","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19980306"" -> ""20250729"""
9015235,fecal microbiota 5e10 cfu per mL rectal suspension 150 mL bag,microbiota fécal 5e10 cfu par mL suspension rectale 150 mL sac,ADDED
9005253,benzalkonium chloride 0.13 % and lidocaine 4 % cutaneous cream,"chlorure de benzalkonium 0,13 % et lidocaïne 4 % crème cutanée","ntp_status_effective_time: ""20240619"" -> ""20250721"""
9000385,hydromorphone hydrochloride 3 mg suppository,chlorhydrate d'hydromorphone 3 mg suppositoire,"ntp_status_effective_time: ""20180630"" -> ""20250704"""
9015240,thiotepa 400 mg powder for solution for injection with diluent solution per bag,thiotépa 400 mg poudre pour solution injectable avec solution diluante par sac,ADDED
