drug_code,mp_code,mp_formal_name,changes
15104,02050048,APO-DOXEPIN (doxepin (doxepin hydrochloride) 100 mg oral capsule) APOTEX INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 100 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 100 mg oral capsule) AP̲O̲T̲E̲X̲ INC"""
15105,02050056,APO-DOXEPIN (doxepin (doxepin hydrochloride) 150 mg oral capsule) APOTEX INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 150 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 150 mg oral capsule) AP̲O̲T̲E̲X̲ INC"""
15106,02050005,APO-DOXEPIN (doxepin (doxepin hydrochloride) 25 mg oral capsule) APOTEX INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 25 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 25 mg oral capsule) AP̲O̲T̲E̲X̲ INC"""
15107,02050013,APO-DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AA PHARMA INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AA PHARMA INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AA PHARMA INC"""
15108,02050021,APO-DOXEPIN (doxepin (doxepin hydrochloride) 75 mg oral capsule) APOTEX INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 75 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 75 mg oral capsule) AP̲O̲T̲E̲X̲ INC"""
15118,02049996,APO-DOXEPIN (doxepin (doxepin hydrochloride) 10 mg oral capsule) APOTEX INC,"mp_formal_name: ""DOXEPIN (doxepin (doxepin hydrochloride) 10 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""A̲P̲O̲-̲DOXEPIN (doxepin (doxepin hydrochloride) 10 mg oral capsule) AP̲O̲T̲E̲X̲ INC"""
50105,02230844,POLYSPORIN ANTIBIOTIC CREAM (gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous cream) KENVUE CANADA INC.,"mp_formal_name: ""POLYSPORIN ANTIBIOTIC CREAM (gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous cream) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN ANTIBIOTIC CREAM (gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous cream) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
51742,02232297,CHILDREN'S ADVIL (ibuprofen 100 mg per 5 mL oral suspension) HALEON CANADA ULC,"mp_formal_name: ""CHILDREN'S ADVIL (ibuprofen 100 mg per 5 mL oral suspension) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""CHILDREN'S ADVIL (ibuprofen 100 mg per 5 mL oral suspension) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
60545,02237226,POLYSPORIN TRIPLE ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) KENVUE CANADA INC.,"mp_formal_name: ""POLYSPORIN TRIPLE ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN TRIPLE ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and gramicidin 0.25 mg per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
60546,02237227,POLYSPORIN ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) KENVUE CANADA INC.,"mp_formal_name: ""POLYSPORIN ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) J̲O̲H̲N̲S̲O̲N̲ ̲&̲ ̲J̲O̲H̲N̲S̲O̲N̲ ̲I̲N̲C̲"" -> ""POLYSPORIN ANTIBIOTIC OINTMENT (bacitracin (bacitracin zinc) 500 unit per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) K̲E̲N̲V̲U̲E̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
