drug_code,mp_code,mp_formal_name,mp_fr_description,changes
2214,00335061,ELAVIL (amitriptyline hydrochloride 25 mg oral tablet) AA PHARMA INC,ELAVIL (chlorhydrate d'amitriptyline 25 mg comprimé oral) AA PHARMA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19751231"" -> ""20251025"""
2426,00370991,PRO-AMITRIPTYLINE (amitriptyline hydrochloride 10 mg oral tablet) PRO DOC LIMITEE,PRO-AMITRIPTYLINE (chlorhydrate d'amitriptyline 10 mg comprimé oral) PRO DOC LIMITEE,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251024"" -> ""19761231"""
2427,00371009,PRO-AMITRIPTYLINE (amitriptyline hydrochloride 25 mg oral tablet) PRO DOC LIMITEE,PRO-AMITRIPTYLINE (chlorhydrate d'amitriptyline 25 mg comprimé oral) PRO DOC LIMITEE,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251024"" -> ""19761231"""
3141,00456349,PRO-AMITRIPTYLINE (amitriptyline hydrochloride 50 mg oral tablet) PRO DOC LIMITEE,PRO-AMITRIPTYLINE (chlorhydrate d'amitriptyline 50 mg comprimé oral) PRO DOC LIMITEE,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251024"" -> ""19781231"""
10907,00893609,APO-CAPTO TAB 25MG (captopril 25 mg oral tablet) APOTEX INC,APO-CAPTO TAB 25MG (captopril 25 mg comprimé oral) APOTEX INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19901231"" -> ""20251016"""
15104,02050048,APO-DOXEPIN (doxepin (doxepin hydrochloride) 100 mg oral capsule) APOTEX INC,APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 100 mg capsule orale) APOTEX INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20250827"" -> ""19931231"""
15106,02050005,APO-DOXEPIN (doxepin (doxepin hydrochloride) 25 mg oral capsule) APOTEX INC,APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 25 mg capsule orale) APOTEX INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20250827"" -> ""19931231"""
15107,02050013,APO-DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) APOTEX INC,APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 50 mg capsule orale) APOTEX INC,"mp_formal_name: ""APO-DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""APO-DOXEPIN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AP̲O̲T̲E̲X̲ INC""
mp_fr_description: ""APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 50 mg capsule orale) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"" -> ""APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 50 mg capsule orale) AP̲O̲T̲E̲X̲ INC""
mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20250827"" -> ""19931231"""
15108,02050021,APO-DOXEPIN (doxepin (doxepin hydrochloride) 75 mg oral capsule) APOTEX INC,APO-DOXEPIN (doxépine (chlorhydrate de doxépine) 75 mg capsule orale) APOTEX INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20250827"" -> ""19931231"""
16586,02041472,ATIVAN (lorazepam 2 mg sublingual tablet) PFIZER CANADA ULC,ATIVAN (lorazépam 2 mg comprimé sublingual) PFIZER CANADA ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20241229"""
16588,02041421,ATIVAN (lorazepam 1 mg oral tablet) PFIZER CANADA ULC,ATIVAN (lorazépam 1 mg comprimé oral) PFIZER CANADA ULC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20251105"""
16589,02041413,ATIVAN (lorazepam 0.5 mg oral tablet) PFIZER CANADA ULC,"ATIVAN (lorazépam 0,5 mg comprimé oral) PFIZER CANADA ULC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20251105"""
16754,02100495,VERELAN (verapamil hydrochloride 240 mg prolonged-release oral capsule) RECRO GAINESVILLE LLC,VERELAN (chlorhydrate de vérapamil 240 mg capsule orale à libération prolongée) RECRO GAINESVILLE LLC,"mp_status_effective_time: ""20170711"" -> ""20251124"""
16755,02100487,VERELAN (verapamil hydrochloride 180 mg prolonged-release oral capsule) RECRO GAINESVILLE LLC,VERELAN (chlorhydrate de vérapamil 180 mg capsule orale à libération prolongée) RECRO GAINESVILLE LLC,"mp_status_effective_time: ""20170711"" -> ""20251124"""
16756,02100479,VERELAN (verapamil hydrochloride 120 mg prolonged-release oral capsule) RECRO GAINESVILLE LLC,VERELAN (chlorhydrate de vérapamil 120 mg capsule orale à libération prolongée) RECRO GAINESVILLE LLC,"mp_status_effective_time: ""20170711"" -> ""20251124"""
20011,02211076,APO-BUSPIRONE (buspirone hydrochloride 10 mg oral tablet) APOTEX INC,APO-BUSPIRONE (chlorhydrate de buspirone 10 mg comprimé oral) APOTEX INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19961231"" -> ""20251002"""
31582,02144409,WATER-JEL BURN JEL-2% (lidocaine hydrochloride 2 % cutaneous gel) ZEE MEDICAL,WATER-JEL BURN JEL-2% (chlorhydrate de lidocaïne 2 % gel cutané) ZEE MEDICAL,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19941231"" -> ""20241217"""
41869,00875988,TEMPRA INFANT DROPS (acetaminophen 80 mg per mL oral drops) KNIGHT THERAPEUTICS INC.,TEMPRA INFANT DROPS (acétaminophène 80 mg par mL gouttes orales) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TEMPRA INFANT DROPS (acetaminophen 80 mg per mL oral drops) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TEMPRA INFANT DROPS (acetaminophen 80 mg per mL oral drops) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.""
mp_fr_description: ""TEMPRA INFANT DROPS (acétaminophène 80 mg par mL gouttes orales) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TEMPRA INFANT DROPS (acétaminophène 80 mg par mL gouttes orales) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.""
mp_status_effective_time: ""20241220"" -> ""20251106"""
69944,02245828,CLASTEON (clodronate disodium 400 mg oral capsule) KNIGHT THERAPEUTICS INC.,CLASTEON (clodronate disodique 400 mg capsule orale) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""CLASTEON (clodronate disodium 400 mg oral capsule) S̲U̲M̲I̲T̲O̲M̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲,̲ INC."" -> ""CLASTEON (clodronate disodium 400 mg oral capsule) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ INC.""
mp_fr_description: ""CLASTEON (clodronate disodique 400 mg capsule orale) S̲U̲M̲I̲T̲O̲M̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲,̲ INC."" -> ""CLASTEON (clodronate disodique 400 mg capsule orale) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ INC."""
71508,02247265,PENNSAID (diclofenac sodium 1.5 % cutaneous solution) KNIGHT THERAPEUTICS INC.,"PENNSAID (diclofénac sodique 1,5 % solution pour application cutanée) KNIGHT THERAPEUTICS INC.","mp_formal_name: ""PENNSAID (diclofenac sodium 1.5 % cutaneous solution) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""PENNSAID (diclofenac sodium 1.5 % cutaneous solution) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.""
mp_fr_description: ""PENNSAID (diclofénac sodique 1,5 % solution pour application cutanée) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""PENNSAID (diclofénac sodique 1,5 % solution pour application cutanée) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
75209,02266687,AA-METHYLPHENIDATE SR (methylphenidate hydrochloride 20 mg prolonged-release oral tablet) AA PHARMA INC,AA-METHYLPHENIDATE SR (chlorhydrate de méthylphénidate 20 mg comprimé oral à libération prolongée) AA PHARMA INC,"Health_Canada_product_name: ""APO-METHYLPHENIDATE SR"" -> ""AA-METHYLPHENIDATE SR""
mp_formal_name: ""AP̲O̲-METHYLPHENIDATE SR (methylphenidate hydrochloride 20 mg prolonged-release oral tablet) AP̲O̲T̲E̲X̲ INC"" -> ""AA̲-METHYLPHENIDATE SR (methylphenidate hydrochloride 20 mg prolonged-release oral tablet) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC""
mp_fr_description: ""AP̲O̲-METHYLPHENIDATE SR (chlorhydrate de méthylphénidate 20 mg comprimé oral à libération prolongée) AP̲O̲T̲E̲X̲ INC"" -> ""AA̲-METHYLPHENIDATE SR (chlorhydrate de méthylphénidate 20 mg comprimé oral à libération prolongée) AA̲ ̲P̲H̲A̲R̲M̲A̲ INC"""
77893,02293579,SPC-CEFPROZIL (cefprozil (cefprozil monohydrate) 250 mg per 5 mL oral suspension) SUN PHARMA CANADA INC,SPC-CEFPROZIL (cefprozil (monohydrate de cefprozil) 250 mg par 5 mL suspension orale) SUN PHARMA CANADA INC,"Health_Canada_product_name: ""TARO-CEFPROZIL"" -> ""SPC-CEFPROZIL""
mp_formal_name: ""T̲A̲R̲O̲-CEFPROZIL (cefprozil (cefprozil monohydrate) 250 mg per 5 mL oral suspension) SUN PHARMA CANADA INC"" -> ""S̲P̲C̲-CEFPROZIL (cefprozil (cefprozil monohydrate) 250 mg per 5 mL oral suspension) SUN PHARMA CANADA INC""
mp_fr_description: ""T̲A̲R̲O̲-CEFPROZIL (cefprozil (monohydrate de cefprozil) 250 mg par 5 mL suspension orale) SUN PHARMA CANADA INC"" -> ""S̲P̲C̲-CEFPROZIL (cefprozil (monohydrate de cefprozil) 250 mg par 5 mL suspension orale) SUN PHARMA CANADA INC"""
78824,02302942,APO-PIOGLITAZONE (pioglitazone (pioglitazone hydrochloride) 15 mg oral tablet) APOTEX INC,APO-PIOGLITAZONE (pioglitazone (chlorhydrate de pioglitazone) 15 mg comprimé oral) APOTEX INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20071205"" -> ""20251001"""
