"tm_code","tm_formal_name","tm_status","tm_status_effective_time"
"8000110","acebutolol","Active","19861231"
"8000023","acetaminophen and caffeine and codeine","Active","19641231"
"8000065","acetaminophen and codeine","Active","19781231"
"8000059","acetaminophen and oxycodone","Active","19771231"
"8000349","acetaminophen and tramadol","Active","20050722"
"8000774","acetylsalicylic acid and oxycodone","Active","19841231"
"8000095","acyclovir","Active","19821231"
"8000779","alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate","Active","19831231"
"8000312","alendronic acid","Active","20020214"
"8000413","alendronic acid and vitamin D3 (cholecalciferol)","Active","20060313"
"8000313","alfuzosin","Active","20020221"
"8000046","allopurinol","Active","19741231"
"8000088","alprazolam","Active","19811231"
"8000269","amiodarone","Active","19990329"
"8000024","amitriptyline","Active","19651231"
"8000153","amlodipine","Active","19921231"
"8000154","amoxicillin and clavulanic acid","Active","19921231"
"8000389","aripiprazole","Active","20090930"
"8000121","atenolol","Active","19881231"
"8000347","atomoxetine","Active","20050224"
"8000235","atorvastatin","Active","19970305"
"8000027","azathioprine","Active","19661231"
"8000066","baclofen","Active","19781231"
"8000208","beclomethasone","Active","19951231"
"8000788","belladonna and ergotamine and phenobarbital","Active","19590101"
"8000785","belladonna and opium","Active","19911231"
"8000067","benztropine","Active","19781231"
"8000302","betahistine","Active","20010817"
"8000053","betamethasone (base)","Active","19970401"
"8000794","betamethasone acetate and betamethasone (base)","Active","19651231"
"8000791","betamethasone dipropionate","Active","19751231"
"8000315","bimatoprost","Active","20020524"
"8000325","bisoprolol","Active","20030424"
"8000090","bromazepam","Active","19811231"
"8000780","brompheniramine and guaifenesin and hydrocodone and phenylephrine","Active","20010906"
"8000134","budesonide","Active","19901231"
"8000775","buprenorphine","Active","20100526"
"8000372","buprenorphine and naloxone","Active","20071126"
"8000257","bupropion","Active","19980505"
"8000776","butorphanol","Active","20000801"
"8000075","calcitriol","Active","19791231"
"8000266","candesartan","Active","19981207"
"8000300","candesartan and hydrochlorothiazide","Active","20010626"
"8000032","carbamazepine","Active","19691231"
"8000054","carbidopa and levodopa","Active","19751231"
"8000329","carvedilol","Active","20030804"
"8000210","cefprozil","Active","19951231"
"8000271","celecoxib","Active","19990419"
"8000040","cephalexin","Active","19711231"
"8000237","cetirizine","Active","19970306"
"8000367","ciclesonide","Active","20060927"
"8000230","ciclopirox","Active","19961203"
"8000338","ciprofloxacin and dexamethasone (base)","Active","20040513"
"8000267","citalopram","Active","19990308"
"8000160","clarithromycin","Active","19921231"
"8000238","clobazam","Active","19970324"
"8000161","clobetasol","Active","19921231"
"8000061","clonazepam","Active","19771231"
"8000135","clonidine","Active","19901231"
"8000263","clopidogrel","Active","19981013"
"8000773","clotrimazole","Active","19881231"
"8000147","clozapine","Active","19911231"
"8000069","codeine","Active","19781231"
"8000047","colchicine","Active","19741231"
"8000021","conjugated estrogens","Active","19631231"
"8000196","cyclobenzaprine","Active","19941231"
"8000378","dabigatran","Active","20080703"
"8000385","desvenlafaxine","Active","20090305"
"8000394","dexlansoprazole","Active","20100805"
"8000162","dextroamphetamine","Active","19921231"
"8000048","diazepam","Active","19741231"
"8000082","diclofenac","Active","19801231"
"8000180","diclofenac and misoprostol","Active","19931231"
"8000198","digoxin","Active","19941231"
"8000122","diltiazem","Active","19881231"
"8000181","domperidone","Active","19931231"
"8000246","donepezil","Active","19970820"
"8000272","dorzolamide and timolol","Active","19990527"
"8000163","doxazosin","Active","19921231"
"8000117","doxycycline","Active","19871231"
"8000375","duloxetine","Active","20080118"
"8000330","dutasteride","Active","20031114"
"8000037","erythromycin","Active","19701231"
"8000346","escitalopram","Active","20050214"
"8000303","esomeprazole","Active","20010820"
"8000398","esomeprazole and naproxen","Active","20110204"
"8000343","ethinyl estradiol and etonogestrel","Active","20041202"
"8000334","ethinyl estradiol and norelgestromin","Active","20031224"
"8000345","drospirenone and ethinyl estradiol","Active","20041222"
"8000326","ezetimibe","Active","20030615"
"8000165","felodipine","Active","19921231"
"8000225","fenofibrate","Active","19961002"
"8000166","finasteride","Active","19921231"
"8000128","fluoxetine","Active","19891231"
"8000091","flurazepam","Active","19811231"
"8000173","fluticasone","Active","19980402"
"8000279","fluticasone and salmeterol","Active","19990924"
"8000332","fosinopril","Active","20031205"
"8000104","fusidic acid","Active","19841231"
"8000200","gabapentin","Active","19941231"
"8000396","galantamine","Active","20101112"
"8000139","gliclazide","Active","19901231"
"8000115","glyburide","Active","19861231"
"8000084","haloperidol","Active","19801231"
"8000031","hydrochlorothiazide","Active","19681231"
"8000284","hydrochlorothiazide and irbesartan","Active","20000316"
"8000201","hydrochlorothiazide and lisinopril","Active","19941231"
"8000229","hydrochlorothiazide and losartan","Active","19961122"
"8000382","hydrochlorothiazide and olmesartan","Active","20081222"
"8000262","hydrochlorothiazide and quinapril","Active","19981001"
"8000368","hydrochlorothiazide and ramipril","Active","20061116"
"8000092","hydrochlorothiazide and triamterene","Active","19811231"
"8000286","hydrochlorothiazide and valsartan","Active","20000510"
"8000781","hydrocodone and phenylephrine","Active","19941231"
"8000778","hydrocodone and phenyltoloxamine","Active","19571231"
"8000008","hydrocortisone","Active","19541231"
"8000012","hydroxychloroquine","Active","19571231"
"8000009","hydroxyzine","Active","19561231"
"8000043","ibuprofen","Active","19721231"
"8000097","indapamide","Active","19821231"
"8000321","indapamide and perindopril","Active","20021219"
"8000085","indomethacin","Active","19801231"
"8000307","insulin aspart","Active","20011031"
"8000353","insulin detemir","Active","20051114"
"8000317","insulin glargine","Active","20020724"
"8000168","insulin isophane human","Active","19921231"
"8000787","insulin lispro","Active","19961115"
"8000259","irbesartan","Active","19980622"
"8000203","isosorbide mononitrate","Active","19941231"
"8000169","ketorolac","Active","19921231"
"8000214","lamotrigine","Active","19951231"
"8000215","lansoprazole","Active","19951231"
"8000244","latanoprost","Active","19970728"
"8000328","levetiracetam","Active","20030723"
"8000001","levothyroxine","Active","19511230"
"8000387","lisdexamfetamine","Active","20090804"
"8000140","lisinopril","Active","19901231"
"8000204","lithium (ion)","Active","19941231"
"8000041","lithium carbonate","Active","19711231"
"8000109","lorazepam","Active","19851231"
"8000216","losartan","Active","19951231"
"8000018","medroxyprogesterone","Active","19601231"
"8000290","meloxicam","Active","20000926"
"8000184","metformin","Active","19931231"
"8000390","metformin and sitagliptin","Active","20091008"
"8000285","methadone","Active","20000505"
"8000010","methylphenidate","Active","19561231"
"8000130","metoclopramide","Active","19891231"
"8000063","metoprolol","Active","19771231"
"8000038","metronidazole","Active","19701231"
"8000205","minocycline","Active","19941231"
"8000298","mirtazapine","Active","20010524"
"8000148","mometasone","Active","19911231"
"8000261","montelukast","Active","19980821"
"8000291","moxifloxacin","Active","20001020"
"8000783","naloxone and oxycodone","Active","20101005"
"8000218","naproxen","Active","19821231"
"8000123","nifedipine","Active","19881231"
"8000050","nitrofurantoin","Active","19741231"
"8000020","norethindrone","Active","19611231"
"8000784","normethadone and p-hydroxyephedrine","Active","19970123"
"8000026","nortriptyline","Active","19651231"
"8000078","nystatin","Active","19791231"
"8000383","olmesartan","Active","20081222"
"8000251","olopatadine","Active","19980209"
"8000131","omeprazole","Active","19891231"
"8000079","oxazepam","Active","19791231"
"8000045","oxycodone","Active","19731231"
"8000236","pantoprazole","Active","19970305"
"8000185","paroxetine","Active","19931231"
"8000064","penicillin v","Active","19771231"
"8000786","pentazocine","Active","19701231"
"8000206","perindopril","Active","19941231"
"8000005","phenytoin (base)","Active","19521231"
"8000004","phenytoin sodium","Active","19511231"
"8000289","pioglitazone","Active","20000828"
"8000253","pramipexole","Active","19980226"
"8000141","pravastatin","Active","19901231"
"8000051","prednisolone","Active","19741231"
"8000014","prednisone","Active","19591231"
"8000348","pregabalin","Active","20050718"
"8000107","procyclidine","Active","19841231"
"8000220","progesterone","Active","19951231"
"8000086","propranolol","Active","19801231"
"8000248","quetiapine","Active","19971210"
"8000170","quinapril","Active","19921231"
"8000029","quinine sulfate","Active","19661231"
"8000314","rabeprazole","Active","20020402"
"8000239","ramipril","Active","19970324"
"8000120","ranitidine","Active","19871231"
"8000273","repaglinide","Active","19990621"
"8000278","risedronate","Active","19990907"
"8000187","risperidone","Active","19931231"
"8000379","rivaroxaban","Active","20080916"
"8000276","rizatriptan","Active","19990831"
"8000322","rosuvastatin","Active","20030219"
"8000391","saxagliptin","Active","20091029"
"8000171","sertraline","Active","19921231"
"8000268","sildenafil","Active","19990309"
"8000142","simvastatin","Active","19901231"
"8000374","sitagliptin","Active","20080102"
"8000360","solifenacin","Active","20060623"
"8000015","spironolactone","Active","19591231"
"8000234","sumatriptan","Active","19970211"
"8000222","tacrolimus","Active","19960814"
"8000331","tadalafil","Active","20031125"
"8000352","tamsulosin","Active","20051011"
"8000789","tapentadol","Active","20120320"
"8000277","telmisartan","Active","19990901"
"8000087","temazepam","Active","19801231"
"8000247","terazosin","Active","19970926"
"8000188","terbinafine","Active","19931231"
"8000081","timolol","Active","19791231"
"8000320","tiotropium","Active","20021121"
"8000265","tolterodine","Active","19981123"
"8000240","topiramate","Active","19970325"
"8000369","tramadol","Active","20061207"
"8000250","trandolapril","Active","19980107"
"8000381","travoprost","Active","20081110"
"8000189","trazodone","Active","19931231"
"8000030","triamcinolone acetonide","Active","19661231"
"8000793","triamcinolone hexacetonide","Inactive","20170705"
"8000233","valacyclovir","Active","19961231"
"8000221","valproic acid","Active","19951231"
"8000108","valproic acid (divalproex)","Active","19841231"
"8000249","valsartan","Active","19971215"
"8000371","varenicline","Active","20070411"
"8000254","venlafaxine","Active","19980304"
"8000172","vitamin D3 (cholecalciferol)","Active","19921231"
"8000013","warfarin","Active","19571231"
"8000143","zopiclone","Active","19901231"
