"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"betamethasone (betamethasone sodium phosphate) 3 mg per mL and betamethasone acetate 3 mg per mL suspension for injection",TRUE,1,FALSE,1965-12-31,9006198
"penicillin v potassium 300 mg per 5 mL powder for oral solution",TRUE,2,FALSE,1977-12-31,9006199
"codeine phosphate 10 mg per 5 mL oral solution",TRUE,1,FALSE,1978-12-31,9006200
"epinephrine 0.09 mg per 0.3 mL solution for injection syringe",TRUE,1,FALSE,1980-12-31,9006201
"alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup",TRUE,2,FALSE,1983-12-31,9006202
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norethindrone 0.75 mg and norethindrone 1 mg and norethindrone 0.5 mg oral tablet",TRUE,1,TRUE,1983-12-31,9006203
"hydrocortisone acetate 10 % NA",TRUE,1,FALSE,1983-12-31,9006204
"epinephrine 0.045 mg per 0.3 mL solution for injection syringe",TRUE,2,FALSE,1984-12-31,9006205
"hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial",TRUE,2,FALSE,1984-12-31,9006206
"penicillin v potassium 125 mg per 5 mL powder for oral solution",TRUE,1,FALSE,1985-12-31,9006207
"penicillin v potassium 300 mg oral tablet",TRUE,1,FALSE,1985-12-31,9006208
"codeine phosphate 25 mg per 5 mL syrup",TRUE,1,FALSE,1986-12-18,9006209
"meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial",TRUE,1,FALSE,1986-12-31,9006210
"ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and ethinyl estradiol 30 mcg and levonorgestrel 125 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg oral tablet",TRUE,1,TRUE,1987-12-31,9006211
"ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and ethinyl estradiol 30 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg and levonorgestrel 125 mcg oral tablet",TRUE,1,TRUE,1987-12-31,9006212
"morphine sulfate 250 mg per 5 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006213
"morphine sulfate 500 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006214
"morphine sulfate 50 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006215
"morphine sulfate 50 mg per mL solution for injection 50 mL vial",TRUE,3,FALSE,1987-12-31,9006216
"nitroglycerin 500 mg per 10 mL solution for injection vial",TRUE,2,FALSE,1988-12-31,9006217
"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL ophthalmic/otic drops",TRUE,1,FALSE,1989-12-31,9006218
"budesonide 100 mcg per actuation NA",TRUE,1,FALSE,1990-12-31,9006219
"budesonide 200 mcg per actuation NA",TRUE,1,FALSE,1990-12-31,9006220
"dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection",TRUE,1,FALSE,1990-12-31,9006221
"folic acid 50 mg per 10 mL and folic acid 50 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1990-12-31,9006222
"morphine sulfate 50 mg per mL solution for injection 20 mL vial",TRUE,1,FALSE,1990-12-31,9006223
