"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
8000026,"nortriptyline",9000034,"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","00015229","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC"
8000026,"nortriptyline",9000035,"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","00015237","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC"
8000029,"quinine sulfate",9000040,"quinine sulfate 300 mg oral capsule","00021016","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED"
8000009,"hydroxyzine",9000014,"hydroxyzine hydrochloride 10 mg per 5 mL syrup","00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC"
8000018,"medroxyprogesterone",9000027,"medroxyprogesterone acetate 5 mg oral tablet","00030937","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC"
8000008,"hydrocortisone",9000011,"hydrocortisone 10 mg oral tablet","00030910","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC"
8000008,"hydrocortisone",9000012,"hydrocortisone 20 mg oral tablet","00030929","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC"
8000018,"medroxyprogesterone",9000026,"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC"
8000014,"prednisone",9000024,"prednisone 5 mg oral tablet","00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED"
8000005,"phenytoin (base)",9000009,"phenytoin 125 mg per 5 mL oral suspension","00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC"
8000029,"quinine sulfate",9000039,"quinine sulfate 200 mg oral capsule","00021008","TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED"
8000014,"prednisone",9000024,"prednisone 5 mg oral tablet","00156876","PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE"
8000005,"phenytoin (base)",9000045,"phenytoin 30 mg per 5 mL oral suspension","00023442","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA INC"
8000032,"carbamazepine",9000047,"carbamazepine 200 mg oral tablet","00010405","TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"
8000031,"hydrochlorothiazide",9000043,"hydrochlorothiazide 25 mg oral tablet","00021474","TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 25 mg oral tablet) TEVA CANADA LIMITED"
8000010,"methylphenidate",9000015,"methylphenidate hydrochloride 10 mg oral tablet","00005606","RITALIN 10MG (methylphenidate hydrochloride 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"
8000010,"methylphenidate",9000023,"methylphenidate hydrochloride 20 mg oral tablet","00005614","RITALIN 20MG (methylphenidate hydrochloride 20 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"
8000031,"hydrochlorothiazide",9000044,"hydrochlorothiazide 50 mg oral tablet","00021482","TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 50 mg oral tablet) TEVA CANADA LIMITED"
8000036,"clindamycin",9000048,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule","00030570","DALACIN C 150 MG (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) PFIZER CANADA INC"
8000044,"nitroglycerin",9000624,"nitroglycerin 18 mg per 6.7 sq cm transdermal patch","02162806","MINITRAN (nitroglycerin 18 mg per 6.7 sq cm transdermal patch) VALEANT CANADA LP/VALEANT CANADA S.E.C."
8000003,"epinephrine",9000003,"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","700001","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC"
8000003,"epinephrine",9000005,"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","700002","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC"
8000069,"codeine",9006207,"codeine phosphate 25 mg per 5 mL syrup","00050024","CODEINE PHOSPHATE SYRUP (codeine phosphate 25 mg per 5 mL syrup) LABORATOIRE ATLAS INC"
