"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
700065,"ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02236926","ACYCLOVIR SODIUM INJECTION",NA
700066,"ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02236926","ACYCLOVIR SODIUM INJECTION",NA
700080,"AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION",NA
700081,"AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION",NA
700082,"AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION",NA
700092,"AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION","WITH PRESERVATIVE"
700093,"AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 300 mg per 6 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION","WITH PRESERVATIVE"
700094,"AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED","02246953","AMIODARONE FOR INJECTION 50MG/ML",NA
700095,"AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED","02246953","AMIODARONE FOR INJECTION 50MG/ML",NA
700067,"DIASTAT (diazepam 2.5 mg per 0.5 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","02238162","DIASTAT",NA
700068,"DIASTAT (diazepam 5 mg per 1 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","02238162","DIASTAT",NA
700069,"DIASTAT (diazepam 7.5 mg per 1.5 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","02238162","DIASTAT",NA
700070,"DIASTAT (diazepam 15 mg per 3 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","02238162","DIASTAT",NA
700071,"DIASTAT (diazepam 20 mg per 4 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","02238162","DIASTAT",NA
700058,"DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) TEVA CANADA LIMITED","02230274","DILTIAZEM HYDROCHLORIDE INJECTION","PRESERVATIVE-FREE. SINGLE USE VIALS (5ML AND 10ML)"
700059,"DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED","02230274","DILTIAZEM HYDROCHLORIDE INJECTION","PRESERVATIVE-FREE. SINGLE USE VIALS (5ML AND 10ML)"
700086,"DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02244728","DILTIAZEM HYDROCHLORIDE INJECTION",NA
700087,"DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02244728","DILTIAZEM HYDROCHLORIDE INJECTION",NA
700024,"HALOPERIDOL LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","02130300","HALOPERIDOL LA",NA
700025,"HALOPERIDOL LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02130300","HALOPERIDOL LA",NA
700123,"HALOPERIDOL INJECTION, USP (haloperidol 5 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02406411","HALOPERIDOL INJECTION, USP","1ML & 10 ML MULTIDOSE VIALS"
700124,"HALOPERIDOL INJECTION, USP (haloperidol 50 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02406411","HALOPERIDOL INJECTION, USP","1ML & 10 ML MULTIDOSE VIALS"
700167,"PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) PHARMASCIENCE INC","02230708","PMS-HALOPERIDOL-LA",NA
700168,"PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) PHARMASCIENCE INC","02230708","PMS-HALOPERIDOL-LA",NA
700169,"CALDOLOR (ibuprofen 400 mg per 4 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC","02376857","CALDOLOR","I.V INFUSION ONLY. 4ML & 8ML SINGLE DOSE VIALS."
700170,"CALDOLOR (ibuprofen 800 mg per 8 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC","02376857","CALDOLOR","I.V INFUSION ONLY. 4ML & 8ML SINGLE DOSE VIALS."
700088,"KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02244947","KETOROLAC TROMETHAMINE INJECTION, USP",NA
700089,"KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 60 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02244947","KETOROLAC TROMETHAMINE INJECTION, USP",NA
700015,"METRONIDAZOLE 5MG/ML INJECTION (metronidazole 500 mg per 100 mL solution for injection bag) BAXTER CORPORATION","00870420","METRONIDAZOLE 5MG/ML INJECTION",NA
700016,"METRONIDAZOLE 5MG/ML INJECTION (metronidazole 1500 mg per 300 mL solution for injection bag) BAXTER CORPORATION","00870420","METRONIDAZOLE 5MG/ML INJECTION",NA
700013,"PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 100 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00780626","PHENYTOIN SODIUM INJECTION USP",NA
700014,"PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 250 mg per 5 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00780626","PHENYTOIN SODIUM INJECTION USP",NA
