"ccdd","mp_code","drug_identification_number","brand_name","company_name","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time"
FALSE,"00015741","00015741","TAPAZOLE 5MG TABLET","PALADIN LABS INC","TAPAZOLE 5MG TABLET (thiamazole 5 mg oral tablet) PALADIN LABS INC",NA,NA,"active",1951-12-31
TRUE,"00015229","00015229","AVENTYL","AA PHARMA INC","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC",NA,NA,"active",1965-12-31
TRUE,"00015237","00015237","AVENTYL","AA PHARMA INC","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC",NA,NA,"active",1965-12-31
FALSE,"00147680","00147680","NEO-BEX INJECTABLE","BROSTEL INC.","NEO-BEX INJECTABLE (dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin B1 50 mg per mL and vitamin B2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL solution for injection) BROSTEL INC.",NA,NA,"active",1951-12-31
FALSE,"00050857","00050857","GENTIANE VIOLET LIQ TOP","LABORATOIRE ATLAS INC","GENTIANE VIOLET LIQ TOP (gentian violet 1 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA,"active",1951-12-31
FALSE,"00050520","00050520","MINERALE LEGERE HUILE","LABORATOIRE ATLAS INC","MINERALE LEGERE HUILE (mineral oil 100 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA,"active",1951-12-31
FALSE,"00050466","00050466","METHYLENE BLEU LIQ 1%","LABORATOIRE ATLAS INC","METHYLENE BLEU LIQ 1% (methylene blue 1 % oral liquid) LABORATOIRE ATLAS INC",NA,NA,"active",1951-12-31
FALSE,"00050474","00050474","METHYLENE BLEU LIQ 2%","LABORATOIRE ATLAS INC","METHYLENE BLEU LIQ 2% (methylene blue 2 % oral liquid) LABORATOIRE ATLAS INC",NA,NA,"active",1951-12-31
FALSE,"00037818","00037818","BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP","PFIZER CANADA INC","BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP (sodium chloride 9 mg per mL solution for injection) PFIZER CANADA INC",NA,NA,"active",1951-12-31
FALSE,"00038202","00038202","BACTERIOSTATIC WATER FOR INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","BACTERIOSTATIC WATER FOR INJECTION USP (water 100 % solution for injection) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"active",1952-12-31
FALSE,"00010332","00010332","ENTROPHEN 325MG TABLETS","PENDOPHARM DIVISION OF DE PHARMASCIENCE INC","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"active",1951-12-31
FALSE,"00010200","00010200","PROPYL-THYRACIL","PALADIN LABS INC","PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN LABS INC",NA,NA,"active",1951-12-31
FALSE,"00010219","00010219","PROPYL-THYRACIL","PALADIN LABS INC","PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN LABS INC",NA,NA,"active",1945-12-31
FALSE,"00009881","00009881","PAPAVERINE HYDROCHLORIDE INJECTION USP","SANDOZ CANADA INCORPORATED","PAPAVERINE HYDROCHLORIDE INJECTION USP (papaverine hydrochloride 65 mg per 2 mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA,"active",1951-12-31
FALSE,"00116815","00116815","DIOVOL PLUS SUSPENSION","CHURCH & DWIGHT CANADA CORP","DIOVOL PLUS SUSPENSION (aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP",NA,NA,"active",1963-12-31
FALSE,"00116882","00116882","DIOVOL PLUS TABLETS","CHURCH & DWIGHT CANADA CORP","DIOVOL PLUS TABLETS (aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg oral tablet) CHURCH & DWIGHT CANADA CORP",NA,NA,"active",1963-12-31
FALSE,"00013617","00013617","OVOL DROPS 40MG","CHURCH & DWIGHT CANADA CORP","OVOL DROPS 40MG (simethicone 40 mg per mL oral drops) CHURCH & DWIGHT CANADA CORP",NA,NA,"active",1963-12-31
FALSE,"00001686","00001686","XYLOCAINE VISCOUS 2%","ASTRAZENECA CANADA INC","XYLOCAINE VISCOUS 2% (lidocaine hydrochloride 20 mg per mL NA) ASTRAZENECA CANADA INC",NA,NA,"active",1954-12-31
FALSE,"00001961","00001961","XYLOCAINE OINTMENT 5%","ASPEN PHARMACARE CANADA INC.","XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1954-12-31
FALSE,"00001694","00001694","XYLOCAINE JELLY 2%","ASPEN PHARMACARE CANADA INC.","XYLOCAINE JELLY 2% (lidocaine hydrochloride 20 mg per mL cutaneous gel) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1951-12-31
FALSE,"00038172","00038172","QUELICIN","PFIZER CANADA INC","QUELICIN (succinylcholine chloride 20 mg per mL solution for injection) PFIZER CANADA INC",NA,NA,"active",1952-12-31
FALSE,"00037834","00037834","SODIUM CHLORIDE IRRIGATION 9MG/ML","HOSPIRA HEALTHCARE CORPORATION","SODIUM CHLORIDE IRRIGATION 9MG/ML (sodium chloride 9 mg per mL NA) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"active",1966-12-31
FALSE,"00038229","00038229","STERILE WATER FOR IRRIGATION","HOSPIRA HEALTHCARE CORPORATION","STERILE WATER FOR IRRIGATION (water 100 % NA) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"active",1964-12-31
FALSE,"00213071","00213071","COSMEGEN","RECORDATI RARE DISEASES INC","COSMEGEN (dactinomycin 0.5 mg per vial powder for solution for injection) RECORDATI RARE DISEASES INC",NA,NA,"active",1963-12-31
FALSE,"00035017","00035017","ISOPTO ATROPINE","NOVARTIS PHARMACEUTICALS CANADA INC","ISOPTO ATROPINE (atropine sulfate 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active",1964-12-31
FALSE,"00042676","00042676","MAXITROL","NOVARTIS PHARMACEUTICALS CANADA INC","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active",1963-12-31
FALSE,"00016055","00016055","CUPRIMINE","VALEANT CANADA LP/VALEANT CANADA S.E.C.","CUPRIMINE (d-penicillamine 250 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"active",1964-12-31
TRUE,"00021016","00021016","TEVA-QUININE","TEVA CANADA LIMITED","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active",1966-12-31
TRUE,"00024694","00024694","ATARAX SYRUP 2MG/ML","ERFA CANADA 2012 INC","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC",NA,NA,"active",1956-12-31
TRUE,"00028096","00028096","CELESTONE SOLUSPAN","MERCK CANADA INC","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC",NA,NA,"active",1965-12-31
FALSE,"00027243","00027243","DIHYDROERGOTAMINE (DHE), 1MG/ML","STERIMAX INC","DIHYDROERGOTAMINE (DHE), 1MG/ML (dihydroergotamine mesylate 1 mg per mL solution for injection) STERIMAX INC",NA,NA,"active",1946-12-31
TRUE,"00030937","00030937","PROVERA 5MG TABLETS","PFIZER CANADA INC","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC",NA,NA,"active",1961-12-31
FALSE,"00030708","00030708","BACITRACIN USP","PFIZER CANADA INC","BACITRACIN USP (bacitracin 50000 unit per 10 mL powder for solution for injection) PFIZER CANADA INC",NA,NA,"active",1951-12-31
TRUE,"00030910","00030910","CORTEF TABLETS 10MG","PFIZER CANADA INC","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC",NA,NA,"active",1954-12-31
TRUE,"00030929","00030929","CORTEF TABLETS 20 MG","PFIZER CANADA INC","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC",NA,NA,"active",1954-12-31
TRUE,"00030848","00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML","PFIZER CANADA INC","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC",NA,NA,"active",1960-12-31
FALSE,"00010340","00010340","ENTROPHEN ECT 650MG","PENDOPHARM DIVISION OF DE PHARMASCIENCE INC","ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"active",1967-12-31
TRUE,"00021695","00021695","TEVA-PREDNISONE","TEVA CANADA LIMITED","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active",1967-12-31
FALSE,"00021423","00021423","TEVA-DIMENATE","TEVA CANADA LIMITED","TEVA-DIMENATE (dimenhydrinate 50 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active",1967-12-31
FALSE,"00021288","00021288","NOVO-PHENIRAM","TEVA CANADA LIMITED","NOVO-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active",1967-12-31
FALSE,"00001732","00001732","XYLOCAINE 1%","ASPEN PHARMACARE CANADA INC.","XYLOCAINE 1% (lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1954-12-31
FALSE,"00036641","00036641","XYLOCAINE 2%","ASPEN PHARMACARE CANADA INC.","XYLOCAINE 2% (lidocaine hydrochloride 20 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1954-12-31
FALSE,"00001791","00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000","ASPEN PHARMACARE CANADA INC.","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1954-12-31
FALSE,"00001805","00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000","ASPEN PHARMACARE CANADA INC.","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.",NA,NA,"active",1954-12-31
TRUE,"00023450","00023450","DILANTIN-125 SUSPENSION","PFIZER CANADA INC","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC",NA,NA,"active",1953-12-31
FALSE,"00268313","00268313","SODIUM EDECRIN","VALEANT CANADA LP/VALEANT CANADA S.E.C.","SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"active",1968-12-31
FALSE,"00074462","00074462","LOCACORTEN VIOFORM","PALADIN LABS INC","LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN LABS INC",NA,NA,"active",1968-12-31
FALSE,"00151874","00151874","OCTOCAINE HCL 2% EPINEPHRINE 1:50000","NOVOCOL PHARMACEUTICAL OF CANADA INC","OCTOCAINE HCL 2% EPINEPHRINE 1:50000 (epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC",NA,NA,"active",1964-12-31
FALSE,"00151866","00151866","OCTOCAINE HCL 2% EPINEPHRINE 1:100000","NOVOCOL PHARMACEUTICAL OF CANADA INC","OCTOCAINE HCL 2% EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC",NA,NA,"active",1964-12-31
TRUE,"00021008","00021008","TEVA-QUININE","TEVA CANADA LIMITED","TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active",1966-12-31
FALSE,"00021261","00021261","TEVA-CHLOROQUINE","TEVA CANADA LIMITED","TEVA-CHLOROQUINE (chloroquine diphosphate 250 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active",1968-12-31
FALSE,"00176176","00176176","HYDERGINE TABLETS, 1MG","STERIMAX INC","HYDERGINE TABLETS, 1MG (ergoloid mesylates 1 mg oral tablet) STERIMAX INC",NA,NA,"active",1968-12-31
FALSE,"00107875","00107875","FLEET ENEMA MINERAL OIL","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","FLEET ENEMA MINERAL OIL (mineral oil 100 % rectal liquid) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC",NA,NA,"active",1969-12-31
FALSE,"00023485","00023485","ZARONTIN SYR 250MG/5ML","ERFA CANADA 2012 INC","ZARONTIN SYR 250MG/5ML (ethosuximide 250 mg per 5 mL syrup) ERFA CANADA 2012 INC",NA,NA,"active",1964-12-31
TRUE,"00156876","00156876","PREDNISONE TAB 5MG","PRO DOC LIMITEE","PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active",1959-12-31
FALSE,"00039411","00039411","ELLIOTT'S SOLUTION A","HOSPIRA HEALTHCARE CORPORATION","ELLIOTT'S SOLUTION A (calcium chloride 0.2 mg per mL and magnesium chloride 0.116 mg per mL and potassium chloride 0.3 mg per mL and sodium chloride 8.6 mg per mL solution for injection) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"active",1969-12-31
TRUE,"00023442","00023442","DILANTIN-30 SUSPENSION","PFIZER CANADA INC","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA INC",NA,NA,"active",1968-12-31
FALSE,"00022799","00022799","ZARONTIN CAP 250MG","ERFA CANADA 2012 INC","ZARONTIN CAP 250MG (ethosuximide 250 mg oral capsule) ERFA CANADA 2012 INC",NA,NA,"active",1960-12-31
FALSE,"00023949","00023949","THYROID TAB 30MG","ERFA CANADA 2012 INC","THYROID TAB 30MG (thyroid 30 mg oral tablet) ERFA CANADA 2012 INC",NA,NA,"active",1951-12-31
FALSE,"00023957","00023957","THYROID TAB 60MG","ERFA CANADA 2012 INC","THYROID TAB 60MG (thyroid 60 mg oral tablet) ERFA CANADA 2012 INC",NA,NA,"active",1951-12-31
FALSE,"00023965","00023965","THYROID TAB 125MG","ERFA CANADA 2012 INC","THYROID TAB 125MG (thyroid 125 mg oral tablet) ERFA CANADA 2012 INC",NA,NA,"active",1951-12-31
TRUE,"00010405","00010405","TEGRETOL 200MG","NOVARTIS PHARMACEUTICALS CANADA INC","TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active",1969-12-31
